"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218"
"CE 16_2",251.43706519062,223.545293198864,223.545293198864,283.927080665847,1294.782669757,468.12906795181,488.550869887022,544.522375388823
"CE 16_0",2724.5793195552,3296.42027279908,2347.1043421304,2510.72455565872,2969.9778247057,2510.72455565872,2057.41867699427,2664.79874083962
"CE 22_6",6370.12295766941,4780.75993694419,7989.04291578823,3947.68276337239,5370.9411307013,3915.41370986772,2362.98400548809,5413.99020214328
"CE 18_2",21891.214775356,27279.5745919317,19627.1270103753,17417.3638930097,24300.2153389872,21281.716105718,21891.214775356,22122.286032615
"DG 34_2",4548799.77765387,4357197.78400929,5570843.99885273,4548799.77765387,4548799.77765387,5268696.54947492,4879775.52485589,3940207.45922362
"DG 37_4",9457.06140130954,15941.6762991514,9305.37965226405,6811.53938918706,7989.04291578823,10827.3663226472,11524.5059639606,8389.90272731045
"DG 40_8",138838.766552366,274042.873629878,165049.156497165,209728.588613599,147639.332734624,104241.280521005,129757.033367477,146684.209558101
"DG 40_4",12595.2879669237,23183.7528204903,16254.5599799933,11275.622571761,10043.2766494492,13510.288389398,21716.9374580112,12774.047051995
"DG 38_4",377238.270128437,643104.444289737,433898.337453131,360678.721318249,416231.501497429,416231.501497429,496126.631724723,469176.033228127
"DG 34_0",18281.2092683311,37880.7574159998,13083.5577641879,8451.02017039113,14996.1771760577,17914.6728062189,18281.2092683311,9157.37485495905
"DG 36_2",3940207.45922362,3940207.45922362,3940207.45922362,3354188.31645269,4152883.96004135,4357197.78400929,4357197.78400929,4152883.96004135
"DG 42_10",8963.20183685301,10277.655315727,17063.1665377589,11427.4024649282,17227.026328746,5164.46357938691,6064.23020432577,11524.5059639606
"DG 38_2",263009.855006669,171549.19389106,324367.258046751,133578.194443024,169004.920664712,230335.205077582,312313.446709965,230335.205077582
"DG 36_4",2417071.8535538,2262226.30154771,2417071.8535538,3241192.62060232,1659805.95321523,2174210.99429714,2361033.38820366,2262226.30154771
"DG 32_0",45318.3935503201,96776.1655260265,52125.4570300496,25826.4289464022,60429.0992623498,58522.2469545577,69075.0141810134,45318.3935503201
"DG 35_2",59295.6593322572,89829.9594643393,58522.2469545577,41371.2783282,47727.9679118561,69075.0141810134,87403.209724609,47727.9679118561
"DG 40_6",52956.3951662452,412431.667696579,224515.234726437,85119.4370989657,203605.199452851,46764.7572681307,80019.2865962125,224515.234726437
"DG 32_2",104241.280521005,52125.4570300496,115924.669786895,104241.280521005,122038.914022224,124433.043449919,102499.731965587,82430.4668837162
"DG 42_8",22833.0337552682,81047.2777540216,26507.7173171222,16117.4974673831,23696.9896538028,20132.9424723763,32877.522425997,29101.4604065852
"DG 44_10",11707.0603577913,31286.7108140912,13180.8142668834,9407.2863116555,17063.1665377589,10217.7567972871,12265.7524091103,15185.1170197429
