"Sample","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266"
"CE 16_2",604.512858606365,2201.01173635389,3393.37782830152,2347.1043421304,1638.48253188433,324.751165357629,2126.78304823275,4942.01514868249
"CE 16_0",3460.63880356535,3653.12836411614,22833.0337552682,6302.67907815243,8813.69018530194,11463.9837683774,3915.41370986772,6064.23020432577
"CE 22_6",2549.9478142938,5641.91454082801,4561.97948587872,7296.91110402939,5413.99020214328,7799.28331799802,3538.48345389949,5004.0916647346
"CE 18_2",5858.54372244989,19402.2718164687,21891.214775356,24565.479577935,13681.1088522039,90872.1535862592,10335.0614774214,15441.3314525348
"DG 34_2",5268696.54947492,5838334.37089802,4879775.52485589,4879775.52485589,4879775.52485589,3940207.45922362,5570843.99885273,5570843.99885273
"DG 37_4",13968.6818038262,11707.0603577913,18281.2092683311,8723.0067720296,8298.33160095459,16117.4974673831,19734.4956973106,11275.622571761
"DG 40_8",141691.439941726,70028.1124047034,70028.1124047034,40530.7723909027,48260.1465277245,242761.467785837,40530.7723909027,36614.4026570515
"DG 40_4",68377.4265053067,21716.9374580112,30670.7043265908,16117.4974673831,18653.8622896869,22122.286032615,32877.522425997,25295.5130480684
"DG 38_4",853748.211860832,469176.033228127,707252.753175725,459694.713861159,394094.030376164,681473.03166621,621191.591616907,540082.682937104
"DG 34_0",73961.3872605396,29101.4604065852,64347.7833401961,25295.5130480684,34130.6693822138,33158.4929006148,76406.0331345384,46764.7572681307
"DG 36_2",5838334.37089802,4152883.96004135,5268696.54947492,4357197.78400929,4357197.78400929,3241192.62060232,3861215.29778433,5268696.54947492
"DG 42_10",9901.71460703127,3393.37782830152,5588.00734598558,3538.48345389949,4596.3214433127,11057.8169252351,5095.39148358637,4352.74720008174
"DG 38_2",694046.244752706,336287.778342442,439588.312701574,255176.613725738,250662.54663703,154467.700290747,475072.255866054,475072.255866054
"DG 36_4",1220538.32809233,1126925.96936975,1126925.96936975,976513.466727858,1070383.96283891,2519262.74101024,1273086.0311756,828167.217423425
"DG 32_0",300594.491324654,75310.1195569915,227119.100088581,66568.4103653987,99853.8759968656,68377.4265053067,269054.501519072,125864.35974696
"DG 35_2",174653.851017311,89054.874745338,135773.332899154,64931.7923032862,87403.209724609,70028.1124047034,155985.897132277,135773.332899154
"DG 40_6",279726.070307564,64931.7923032862,112611.025065258,50170.3769829691,59923.9218195733,324367.258046751,104241.280521005,79042.4947477102
"DG 32_2",146684.209558101,68377.4265053067,108259.564861215,122038.914022224,95091.3174870818,30670.7043265908,99853.8759968656,161913.223851172
