"Sample","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"CE 16_2",512.224221536547,172.875667470148,172.875667470148,172.875667470148,172.875667470148,223.545293198864,223.545293198864,512.224221536547
"CE 16_0",14129.1047476765,3947.68276337239,4064.43123530729,5004.0916647346,7486.03814800902,2684.16899592295,2969.9778247057,3980.09283918553
"CE 22_6",8154.35757026881,3137.22308896939,3114.51201113667,1796.44019095061,1796.44019095061,2724.5793195552,3681.18608394247,3296.42027279908
"CE 18_2",111158.332499694,11133.2459059991,22554.6299610122,11850.8956648633,21716.9374580112,31834.6772680668,19734.4956973106,32628.5052858994
"DG 34_2",3940207.45922362,5570843.99885273,3940207.45922362,6319225.94346054,4548799.77765387,3581928.81366308,3861215.29778433,4548799.77765387
"DG 37_4",10335.0614774214,20132.9424723763,18050.1628732226,11275.622571761,23183.7528204903,13083.5577641879,10277.655315727,13968.6818038262
"DG 40_8",263009.855006669,493331.907936879,538169.051634409,219895.798058679,893324.137877715,119146.889017984,161913.223851172,439588.312701574
"DG 40_4",17417.3638930097,44779.6960547522,47727.9679118561,41371.2783282,45318.3935503201,23183.7528204903,22358.7957710269,24300.2153389872
"DG 38_4",599896.791424396,964464.234241768,878367.997553723,853748.211860832,1246812.17963396,681473.03166621,609282.213714687,575066.696026512
"DG 34_0",19842.3013124,47727.9679118561,39865.0783604276,63912.7748038651,46295.5868290625,22833.0337552682,33583.9252853003,19986.3389730458
"DG 36_2",3241192.62060232,4879775.52485589,5838334.37089802,5268696.54947492,5838334.37089802,2417071.8535538,2745991.01928605,3581928.81366308
"DG 42_10",8723.0067720296,17647.5742413616,16254.5599799933,15941.6762991514,25295.5130480684,5095.39148358637,8513.7481196235,13339.4186942186
"DG 38_2",159807.161182971,283900.147748847,388549.653473836,388549.653473836,498921.355512567,135773.332899154,149475.507196352,203605.199452851
"DG 36_4",3738273.8547349,3127646.13736274,3471770.91700051,1772184.27558777,4152883.96004135,1344746.17238693,2006486.5564712,3354188.31645269
"DG 32_0",52125.4570300496,203605.199452851,151525.528020157,263009.855006669,178098.597961836,43168.2229758679,79042.4947477102,50170.3769829691
"DG 35_2",71095.2014850835,161913.223851172,141691.439941726,138838.766552366,203605.199452851,48260.1465277245,52956.3951662452,80019.2865962125
"DG 40_6",255176.613725738,250662.54663703,294471.614786708,297147.382170884,616746.36040637,83607.4237730397,85119.4370989657,324367.258046751
"DG 32_2",41371.2783282,62697.4706732821,68377.4265053067,68377.4265053067,102499.731965587,21891.214775356,30670.7043265908,45318.3935503201
"DG 42_8",29275.2218724974,55268.5982785574,72698.9541535975,53942.0594615606,68377.4265053067,38254.2056444587,32319.1975117992,44779.6960547522
"DG 44_10",16434.8192218106,33583.9252853003,38794.2625867384,37622.2355018158,42683.5292181251,15759.6582710285,18050.1628732226,16434.8192218106
"DG 26_2",893.949083022708,604.512858606365,1107.56407097716,1160.42517823827,1433.12521682734,893.949083022708,562.188632767996,3041.7934725039
"DG 33_2",31586.1301321739,37622.2355018158,37622.2355018158,35944.0614955863,53942.0594615606,19627.1270103753,28375.8745004672,33772.9731062559
"DG 37_2",12960.1580578633,27559.8037176293,22122.286032615,21281.716105718,30670.7043265908,9407.2863116555,8618.70487840286,11850.8956648633
