"Sample","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289"
"CE 16_2",4942.01514868249,223.545293198864,172.875667470148,172.875667470148,544.522375388823,223.545293198864,468.12906795181,324.751165357629
"CE 16_0",10651.4909074882,3114.51201113667,3017.81609681193,2222.78484828685,2240.20328686215,4158.14077645848,3017.81609681193,2986.72547879943
"CE 22_6",9305.37965226405,8103.10241384769,3509.81797920138,9745.72162595804,4297.32765293452,4520.52712664271,5370.9411307013,3213.95288849175
"CE 18_2",21499.8675767849,33158.4929006148,37024.2216409409,25526.2930323481,34130.6693822138,41648.3585519013,32877.522425997,21281.716105718
"DG 34_2",5838334.37089802,3581928.81366308,3127646.13736274,3738273.8547349,3861215.29778433,3738273.8547349,3861215.29778433,3630410.70849431
"DG 37_4",11057.8169252351,8723.0067720296,8451.02017039113,9407.2863116555,8867.30103392666,8389.90272731045,10438.2833045293,14696.9302536588
"DG 40_8",64347.7833401961,224515.234726437,209728.588613599,169004.920664712,274042.873629878,187207.809750757,255176.613725738,399638.407278493
"DG 40_4",25038.7220317533,7799.28331799802,13794.9987875219,23405.7501917733,11463.9837683774,10335.0614774214,13794.9987875219,22358.7957710269
"DG 38_4",609282.213714687,503938.022101279,632365.9588003,632365.9588003,416231.501497429,489648.722663748,540082.682937104,587562.002076408
"DG 34_0",59295.6593322572,17647.5742413616,26785.0806580441,60429.0992623498,32877.522425997,22833.0337552682,19986.3389730458,39345.2861958027
"DG 36_2",4357197.78400929,3471770.91700051,3581928.81366308,3861215.29778433,2876646.96950745,3127646.13736274,3354188.31645269,3738273.8547349
"DG 42_10",6537.23053843069,18173.1943736526,10518.6905312509,8103.10241384769,14996.1771760577,16254.5599799933,5339.89556407679,10335.0614774214
"DG 38_2",428208.362204687,50916.1746091036,68377.4265053067,178098.597961836,99853.8759968656,98929.1672032851,178098.597961836,227119.100088581
"DG 36_4",1070383.96283891,3127646.13736274,2596807.49799822,2678086.71346041,2678086.71346041,2174210.99429714,4879775.52485589,5268696.54947492
"DG 32_0",187207.809750757,38794.2625867384,28680.2377966882,95091.3174870818,52125.4570300496,46764.7572681307,64347.7833401961,79042.4947477102
"DG 35_2",169004.920664712,35341.5189546025,36614.4026570515,77939.4761919844,41648.3585519013,44024.0922561105,87403.209724609,90872.1535862592
"DG 40_6",106739.081221889,83607.4237730397,106739.081221889,279726.070307564,161913.223851172,112611.025065258,246780.912515554,187207.809750757
"DG 32_2",141691.439941726,65985.9527328861,59295.6593322572,41371.2783282,42683.5292181251,59295.6593322572,39345.2861958027,53942.0594615606
"DG 42_8",18415.4383711671,11850.8956648633,16434.8192218106,35944.0614955863,34528.7216254758,27279.5745919317,35341.5189546025,52956.3951662452
"DG 44_10",12483.9920387019,8658.72376166879,14129.1047476765,14996.1771760577,17647.5742413616,6841.56958640409,14129.1047476765,21716.9374580112
"DG 26_2",1912.63394023087,893.949083022708,2868.05496409185,4977.01692965908,1107.56407097716,1501.14260139955,1501.14260139955,1256.08208159224
"DG 33_2",26507.7173171222,22833.0337552682,12960.1580578633,29101.4604065852,19986.3389730458,22122.286032615,35944.0614955863,44024.0922561105
"DG 37_2",35341.5189546025,12774.047051995,10438.2833045293,22554.6299610122,8963.20183685301,9745.72162595804,14696.9302536588,18812.488512923
"DG 34_4",17647.5742413616,34130.6693822138,29101.4604065852,21891.214775356,18948.9796782094,24565.479577935,25526.2930323481,31286.7108140912
"DG 30_0",21281.716105718,6064.23020432577,8298.33160095459,10335.0614774214,9640.2457246382,8963.20183685301,8658.72376166879,9567.20449731463
"DG 40_2",23183.7528204903,3348.80427639111,2565.04978497635,18173.1943736526,5413.99020214328,11766.433221824,11275.622571761,18173.1943736526
"DG 42_6",11133.2459059991,4251.26451468607,5339.89556407679,9252.29667955813,16650.4609520606,11057.8169252351,12265.7524091103,19734.4956973106
"DG 36_0",8235.17158255477,2941.20182745196,4046.41168477418,13968.6818038262,3892.40519672107,7149.98832484369,5537.39891337781,9252.29667955813
"DG 42_2",3681.18608394247,1713.15670890654,2396.60695986736,6204.20539970562,1572.0345417168,1840.33635477347,2018.09652912973,2101.85438883992
"DG 38_6",2105833.86715036,581443.631605996,581443.631605996,568689.760447028,773996.423332135,694046.244752706,773996.423332135,1273086.0311756
"DG 36_6",5061.32673980389,31586.1301321739,15441.3314525348,15185.1170197429,12023.0136743158,15759.6582710285,20472.7100910555,30940.6936529974
"DG 30_2",2664.79874083962,10217.7567972871,10335.0614774214,5858.54372244989,3509.81797920138,6420.40335731058,4158.14077645848,4875.8041486049
"DG 33_0",6302.67907815243,3509.81797920138,2266.5747589312,2072.40265456603,3137.22308896939,3509.81797920138,2850.89184530722,3250.01598520178
"DG 38_0",1187.46186529535,754.802255867638,587.828837963357,1776.60150112924,1294.782669757,2590.36775579567,1256.08208159224,2240.20328686215
"DG 39_4",4596.3214433127,2868.05496409185,2734.92864144503,3811.92709393377,2362.98400548809,2126.78304823275,3811.92709393377,4740.58120621564
"DG 39_6",3811.92709393377,639.648945546397,1279.04801721954,661.701726194008,172.875667470148,324.751165357629,821.027429908824,801.32014527493
"DG 37_6",6064.23020432577,3681.18608394247,1990.50457950183,1501.14260139955,3393.37782830152,4651.07417388974,3369.68378296375,61881.1508715951
"DG 32_6",468.12906795181,2831.78157646371,3760.1105090174,3760.1105090174,1043.86007020296,754.802255867638,1131.52388753819,1481.60246230716
"DG 28_2",1210.96009800957,4449.80068863028,5061.32673980389,5588.00734598558,2111.16915565378,2396.60695986736,2201.01173635389,1990.50457950183
"DG 44_8",1713.15670890654,1596.21239451326,729.635614895388,1990.50457950183,3369.68378296375,2266.5747589312,2362.98400548809,3862.93590767801
"DG 35_4",2633.70282567467,13968.6818038262,4449.80068863028,7188.74804537574,9015.61809485474,13339.4186942186,9901.71460703127,15441.3314525348
