"Sample","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"CE 16_2",172.875667470148,488.550869887022,324.751165357629,362.637362261131,2787.46456758213,362.637362261131,535.373865591017,172.875667470148
"CE 16_0",3190.39601988978,3326.11617920981,3608.07627784769,4064.43123530729,5285.23665755958,3793.73605084512,5061.32673980389,4375.30349670509
"CE 22_6",2490.0870873841,6204.20539970562,4251.26451468607,8298.33160095459,4104.47432342739,7149.98832484369,6537.23053843069,4714.57132214172
"CE 18_2",20786.3918220843,33772.9731062559,21891.214775356,46764.7572681307,11427.4024649282,39345.2861958027,46295.5868290625,28680.2377966882
"DG 34_2",4879775.52485589,4152883.96004135,3471770.91700051,2678086.71346041,5838334.37089802,4357197.78400929,3630410.70849431,3861215.29778433
"DG 37_4",11707.0603577913,12595.2879669237,4596.3214433127,7799.28331799802,12774.047051995,17647.5742413616,12023.0136743158,14852.7118496099
"DG 40_8",538169.051634409,428208.362204687,209728.588613599,239649.141858628,47727.9679118561,355430.55585346,279726.070307564,399638.407278493
"DG 40_4",32877.522425997,20132.9424723763,19627.1270103753,13794.9987875219,30670.7043265908,22554.6299610122,18948.9796782094,33158.4929006148
"DG 38_4",1005510.12103246,564000.406396559,555088.6519378,621191.591616907,609282.213714687,681473.03166621,643104.444289737,791213.692335411
"DG 34_0",44779.6960547522,31286.7108140912,24103.5313144553,26025.0430099942,46764.7572681307,34130.6693822138,29275.2218724974,34869.4934917118
"DG 36_2",4357197.78400929,2306544.70134524,2174210.99429714,2519262.74101024,4879775.52485589,3471770.91700051,3127646.13736274,4357197.78400929
"DG 42_10",19516.8618973552,15441.3314525348,7913.38091911515,8867.30103392666,4449.80068863028,11766.433221824,8723.0067720296,13681.1088522039
"DG 38_2",279726.070307564,113815.049295875,95091.3174870818,72698.9541535975,456109.61713212,209728.588613599,129757.033367477,269054.501519072
"DG 36_4",3738273.8547349,2262226.30154771,1772184.27558777,1772184.27558777,828167.217423425,2417071.8535538,2361033.38820366,3738273.8547349
"DG 32_0",161913.223851172,42683.5292181251,33772.9731062559,39345.2861958027,131330.344833363,64931.7923032862,41371.2783282,60429.0992623498
"DG 35_2",131330.344833363,50916.1746091036,31834.6772680668,29101.4604065852,155985.897132277,73961.3872605396,60429.0992623498,91689.4872602494
"DG 40_6",255176.613725738,119146.889017984,81047.2777540216,79042.4947477102,72698.9541535975,475072.255866054,300594.491324654,456109.61713212
"DG 32_2",89054.874745338,30670.7043265908,25038.7220317533,25826.4289464022,149475.507196352,35341.5189546025,24103.5313144553,27279.5745919317
"DG 42_8",46295.5868290625,45693.0241821957,36614.4026570515,36614.4026570515,12635.7637753574,53942.0594615606,44024.0922561105,76406.0331345384
"DG 44_10",22358.7957710269,26025.0430099942,23696.9896538028,21000.2609012931,14354.0048367405,22358.7957710269,24774.4929782752,32319.1975117992
"DG 26_2",1416.2229744169,1160.42517823827,729.635614895388,853.57897892234,1934.98229291972,1416.2229744169,1596.21239451326,1617.97932022628
"DG 33_2",52956.3951662452,25526.2930323481,29101.4604065852,19734.4956973106,32877.522425997,32877.522425997,31286.7108140912,32628.5052858994
"DG 37_2",17914.6728062189,10043.2766494492,8867.30103392666,5588.00734598558,37880.7574159998,12635.7637753574,11057.8169252351,11850.8956648633
"DG 34_4",32628.5052858994,11619.1247947076,4158.14077645848,8658.72376166879,20786.3918220843,11012.8127589136,8389.90272731045,14544.4548822239
"DG 30_0",13794.9987875219,6537.23053843069,5641.91454082801,4104.47432342739,19627.1270103753,8298.33160095459,6204.20539970562,5164.46357938691
"DG 40_2",25038.7220317533,7679.39019365722,9567.20449731463,5927.32513005781,22122.286032615,15441.3314525348,8963.20183685301,29695.7172764468
"DG 42_6",19402.2718164687,16434.8192218106,9252.29667955813,13968.6818038262,10956.5558441073,18948.9796782094,22554.6299610122,28375.8745004672
