"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218"
"CE 22_6",729938.209285714,1334914.06285714,1145645.24982143,1927700.38107143,1587400.85357143,1750917.09642857,1145645.24982143,1479117.02589286
"CE 20_4",1587400.85357143,2707890.17321429,2377512.36607143,3646891.38928571,3147640.32142857,3404619.23928571,2057660.45535714,2917267.36071429
"CE 20_2",22655.337375,26837.4808035714,23786.4344803571,22655.337375,16990.3754589286,34815.1407125,27166.2703839286,42270.1891785714
"CE 18_2",994300.145714286,1401515.98839286,1830197.00892857,2057660.45535714,1927700.38107143,2707890.17321429,1927700.38107143,2057660.45535714
"CE 22_4",40158.8461785714,43291.4779107143,29604.2187464286,65810.4067678571,35409.6194821429,41284.5769428571,31812.2950125,65810.4067678571
"CE 16_0",20701.8814285714,21395.8974232143,24648.4148571429,30024.804525,37210.6875,16990.3754589286,18324.2519410714,25187.8067964286
"DG 32_0",19915.4671964286,37709.0024642857,49173.166625,49173.166625,40158.8461785714,40158.8461785714,30426.4898571429,26171.2539482143
"DG 34_2",134721.242857143,58590.797375,104925.049285714,21395.8974232143,44872.1232142857,47588.3137857143,95086.8434821429,48620.6934642857
"DG 36_2",141663.135,80728.0989821429,91027.3493928571,36345.0238035714,58590.797375,38739.4274821429,99141.5412678571,64910.1661964286
"DG 36_4",53084.9719464286,24338.8607678571,65810.4067678571,10017.8381107143,21115.1249267857,13295.9136892857,54373.6077857143,18849.0058946429
"DG 33_0",2623.71107660714,2301.18930267857,4129.22620732143,2962.86339982143,2200.30958714286,1208.25424607143,1958.08991857143,1208.25424607143
"DG 25_2",3797.53521178571,1958.08991857143,2111.11652232143,3797.53521178571,2524.25251839286,1958.08991857143,4129.22620732143,3698.57423714286
"DG 38_6",29604.2187464286,23535.6674,28136.8426732143,16062.4849892857,11187.2991785714,10821.5161821429,34346.9940660714,13160.214875
"DG 36_0",8062.34949107143,11324.7492232143,12820.3079732143,7149.45778035714,7149.45778035714,8568.66695714286,7446.81342910714,5276.15300892857
"DG 32_2",6547.23283035714,2623.71107660714,5830.36731714286,2111.11652232143,2962.86339982143,4972.19124428571,5707.80606535714,2524.25251839286
"lysoPC 19_0",190104.917589286,257841.348571429,164340.867678571,300330.617678571,322976.941964286,300330.617678571,263002.767857143,329361.089857143
"lysoPC 20_4",5549056.43392857,10316561.6160714,3981165.63392857,10316561.6160714,6336154.78392857,6336154.78392857,4720640.14285714,6336154.78392857
"lysoPC 17_0",281397.249821429,496519.185875,527834.730946428,583411.744732143,477320.170892857,353551.866446429,372047.992285714,353551.866446429
"lysoPC 22_6",2707890.17321429,2917267.36071429,2194597.62678571,4262567.43214286,2917267.36071429,2377512.36607143,2194597.62678571,2707890.17321429
"lysoPC 18_0",20361405.2857143,20361405.2857143,20361405.2857143,20361405.2857143,20361405.2857143,20361405.2857143,22976408.6964286,22976408.6964286
"lysoPC 18_2",13227403.2142857,13227403.2142857,16300016.1428571,13227403.2142857,13227403.2142857,16300016.1428571,16300016.1428571,16300016.1428571
"lysoPC 20_0",207096.979232143,292906.622026786,273842.965982143,245267.81875,356284.348803571,411032.912625,362506.538348214,523287.875294643
"lysoPC 20_2",148082.963214286,197317.689285714,58590.797375,220961.976607143,81740.4788392857,99141.5412678571,91027.3493928571,148082.963214286
"lysoPC 14_0",57274.9927142857,77587.5420535714,47588.3137857143,93520.8039821429,64910.1661964286,53603.7779642857,43291.4779107143,69235.555
"lysoPC 22_0",66790.6490892857,64172.3337857143,55107.5350232143,74354.0717321429,77587.5420535714,77587.5420535714,72407.9940714286,103280.380357143
"lysoPC 16_0",29771910.5178571,29771910.5178571,22976408.6964286,22976408.6964286,27030744.1428571,29771910.5178571,27030744.1428571,39431359.6964286
"lysoPC 23_0",17905.7529821429,10660.3970267857,11031.9292982143,18589.3386625,12961.7473964286,15000.8127196429,13160.214875,19707.9837678571
"lysoPC 15_0",49173.166625,70122.0761785714,60032.3102321429,58590.797375,67625.6619821429,52560.8878035714,60928.3265178571,57274.9927142857
"lysoPC 22_4",44400.4986964286,67625.6619821429,31812.2950125,70122.0761785714,45353.4926071429,27852.3630714286,27516.2858410714,49856.8851607143
"lysoPC 21_0",11664.5865464286,8182.79665892857,7958.53787553571,7446.81342910714,9666.19391607143,8885.06739660714,8885.06739660714,14025.1392089286
"lysoPC 24_0",64910.1661964286,81740.4788392857,71418.1367142857,127190.990535714,73265.899375,83724.0643392857,68428.0165178571,122175.508571429
"lysoPC 17_2",2524.25251839286,3286.37972392857,5276.15300892857,4972.19124428571,3367.97632982143,2853.8806975,4233.94117535714,4347.66305482143
"lysoPC 25_0",3904.26020160714,2853.8806975,3176.56450892857,2738.26377142857,4003.08042589286,3904.26020160714,4347.66305482143,6894.08267107143
"lysoPC 22_2",3286.37972392857,4440.50417821429,2738.26377142857,4565.76887392857,3904.26020160714,5276.15300892857,4565.76887392857,4440.50417821429
"lysoPE 20_4",414307.393392857,435166.857857143,377003.085,518741.019642857,316463.574178571,281397.249821429,201258.031607143,306250.888214286
"lysoPE 18_2",130993.285892857,120778.945660714,151750.858928571,137903.137857143,104925.049285714,89732.2299821428,80728.0989821429,129249.328392857
"lysoPE 16_0",117821.062892857,143734.935357143,114718.668821429,208476.134642857,155129.416142857,136258.970214286,101877.901339286,151750.858928571
"lysoPE 18_0",171733.162857143,137903.137857143,130993.285892857,166881.198089286,143734.935357143,129249.328392857,120778.945660714,184039.758214286
"lysoPE 22_6",554847.643767857,626634.444821429,508610.486392857,816021.157142857,554847.643767857,459518.717321429,316463.574178571,435166.857857143
"lysoPE 20_0",6173.28736053571,5083.32325839286,3797.53521178571,5630.22297285714,3797.53521178571,5510.25820196429,4859.26014035714,7019.53097964286
"lysoPE 19_0",3481.14064946429,3176.56450892857,3698.57423714286,3286.37972392857,5083.32325839286,2409.38093892857,2111.11652232143,2623.71107660714
"MG 17_0",34815.1407125,56548.0280714286,60928.3265178571,64172.3337857143,55107.5350232143,53084.9719464286,40158.8461785714,35812.2215678571
"MG 18_2",12445.6085892857,16062.4849892857,22655.337375,4677.01265857143,5830.36731714286,5083.32325839286,8709.31950178571,5380.08657803571
"PC 34_2",39431359.6964286,43196343.75,43196343.75,43196343.75,43196343.75,43196343.75,43196343.75,43196343.75
"PC 36_2",36431957.5714286,32242602.9285714,36431957.5714286,34589102.4642857,32242602.9285714,39431359.6964286,34589102.4642857,29771910.5178571
"PC 32_2",435166.857857143,443034.381428571,485844.163392857,571729.962142857,459518.717321429,435166.857857143,290126.623517857,554847.643767857
"PC 38_4",50560.2420107143,116331.312910714,111261.935339286,119141.037589286,83724.0643392857,111261.935339286,64910.1661964286,47588.3137857143
"PC 36_4",22976408.6964286,22976408.6964286,29771910.5178571,29771910.5178571,22976408.6964286,22976408.6964286,20361405.2857143,20361405.2857143
"PC 38_6",32242602.9285714,34589102.4642857,32242602.9285714,36431957.5714286,34589102.4642857,32242602.9285714,32242602.9285714,27030744.1428571
"PC 40_4",407758.431857143,393477.473428571,311979.460892857,466485.172642857,518741.019642857,477320.170892857,466485.172642857,638831.869375
"PC 36_6",93520.8039821429,119141.037589286,76376.5748392857,132752.419464286,106251.872142857,78684.2205,69235.555,114718.668821429
"PC 35_2",1145645.24982143,994300.145714286,1750917.09642857,1587400.85357143,1830197.00892857,2057660.45535714,1334914.06285714,1927700.38107143
"PC 33_2",306250.888214286,285347.296428571,414307.393392857,316463.574178571,443034.381428571,342575.355107143,335816.517321429,372047.992285714
"PC 32_0",3646891.38928571,3404619.23928571,3147640.32142857,3404619.23928571,4720640.14285714,4262567.43214286,3981165.63392857,5107607.39642857
"PC 37_6",85871.8150892857,96672.7195,92328.8735892857,104925.049285714,120778.945660714,106251.872142857,100478.048964286,109734.807660714
"PC 41_6",80728.0989821429,71418.1367142857,89732.2299821428,67625.6619821429,125566.644553571,93520.8039821429,123774.517142857,119141.037589286
"PC 35_4",132752.419464286,136258.970214286,103280.380357143,180852.8255,169170.56625,130993.285892857,104925.049285714,146110.468035714
"PC 33_0",36345.0238035714,44400.4986964286,45353.4926071429,56548.0280714286,66790.6490892857,55809.6597678571,44400.4986964286,64172.3337857143
"PC 36_0",166881.198089286,166881.198089286,112896.958089286,212703.797678571,164340.867678571,212703.797678571,151750.858928571,190104.917589286
"PC 34_4",187151.798392857,243308.448035714,171733.162857143,238608.613928571,266987.788392857,201258.031607143,136258.970214286,290126.623517857
"PC 38_2",599307.431678572,708525.935696429,816021.157142857,919618.595714286,1082003.45821429,1145645.24982143,1041433.58625,1211694.65464286
"PC 37_2",583411.744732143,679997.608267857,886650.390178571,1041433.58625,1211694.65464286,1272932.56785714,919618.595714286,1145645.24982143
"PC 40_8",753683.109821429,1211694.65464286,626634.444821429,1662327.25089286,1401515.98839286,1401515.98839286,847475.440892857,2194597.62678571
"PC 42_10",226122.400535714,414307.393392857,139873.235125,485844.163392857,381549.305160714,540163.743267857,386893.902142857,679997.608267857
"PC 37_4",657027.033392857,816021.157142857,599307.431678572,1272932.56785714,1145645.24982143,955879.297321429,753683.109821429,816021.157142857
"PC 42_8",58590.797375,82936.7736785714,25187.8067964286,100478.048964286,57274.9927142857,57274.9927142857,45353.4926071429,54373.6077857143
"PC 40_6",24045.4217035714,50560.2420107143,79587.1851607143,73265.899375,61580.5224107143,73265.899375,42270.1891785714,28827.6476035714
"PC 39_6",238608.613928571,300330.617678571,359016.831160714,348602.556071429,428359.130321429,381549.305160714,329361.089857143,263002.767857143
"PC 34_0",62397.9615714286,150075.023571429,230115.201964286,193773.984285714,171733.162857143,184039.758214286,111261.935339286,87020.9964285714
"PC 39_4",295686.620535714,322976.941964286,187151.798392857,386893.902142857,435166.857857143,372047.992285714,381549.305160714,342575.355107143
"PC 40_10",60928.3265178571,72407.9940714286,58039.6899285714,87020.9964285714,76376.5748392857,63343.01875,37210.6875,76376.5748392857
"PC 42_6",56548.0280714286,51078.9281285714,87020.9964285714,51863.2385178571,141663.135,139873.235125,125566.644553571,130993.285892857
"PC 31_0",14590.6986964286,20896.0796607143,35812.2215678571,25187.8067964286,16305.6618767857,19054.5808375,26496.8920107143,21115.1249267857
"PC 35_0",23535.6674,20184.7195535714,15439.1810178571,19915.4671964286,30426.4898571429,22344.0875178571,33964.91875,31521.0185357143
"PC 30_0",180852.8255,184039.758214286,155129.416142857,201258.031607143,247227.189464286,171733.162857143,150075.023571429,212703.797678571
"PC 44_4",8182.79665892857,8568.66695714286,5630.22297285714,8885.06739660714,8062.34949107143,6894.08267107143,8453.61662321429,10660.3970267857
"PC 42_2",12820.3079732143,12820.3079732143,11515.6484035714,9666.19391607143,11031.9292982143,6173.28736053571,13696.6282857143,18146.6995535714
"PC 39_2",18146.6995535714,14779.4399142857,19508.9562589286,15439.1810178571,24648.4148571429,30426.4898571429,31145.2635178571,29604.2187464286
"PC 41_4",14025.1392089286,13867.7270535714,12961.7473964286,13482.9624910714,20184.7195535714,20184.7195535714,11324.7492232143,15660.504375
"PC 39_8",7674.84652875,7818.80072071429,6074.70763767857,11031.9292982143,6173.28736053571,12445.6085892857,6173.28736053571,8453.61662321429
"PC 19_2",6769.99999642857,6769.99999642857,6413.77860446429,8453.61662321429,10147.4543035714,3286.37972392857,5083.32325839286,6413.77860446429
"PC 44_12",13160.214875,11187.2991785714,9666.19391607143,20896.0796607143,29604.2187464286,28495.2293321429,12252.0707714286,20701.8814285714
"PC 40_0",3698.57423714286,3062.60029232143,1009.10998678571,3598.08826178571,4347.66305482143,5630.22297285714,3598.08826178571,9666.19391607143
"PC 42_4",27852.3630714286,25515.7566642857,21870.113375,15837.7024571429,18589.3386625,24338.8607678571,21870.113375,17648.0953017857
"PC 25_4",5932.3872675,8062.34949107143,5932.3872675,10480.6037157143,5187.78708392857,4859.26014035714,4677.01265857143,5707.80606535714
"PC 44_8",4129.22620732143,5187.78708392857,4677.01265857143,3176.56450892857,5380.08657803571,2200.30958714286,2200.30958714286,2111.11652232143
"PC 38_0",5830.36731714286,4233.94117535714,6295.60251607143,4233.94117535714,8885.06739660714,8321.50644589286,7818.80072071429,9198.65279285714
"plasmenyl-PC 18_0",372047.992285714,657027.033392857,540163.743267857,847475.440892857,638831.869375,518741.019642857,322976.941964286,540163.743267857
"plasmenyl-PC 38_0",65810.4067678571,83724.0643392857,69235.555,88251.3293035714,91027.3493928571,65810.4067678571,78684.2205,91027.3493928571
"plasmenyl-PC 20_0",48380.7803125,45703.46241875,22221.0978875,45112.8079107143,32037.8654258929,25700.6781982143,20798.9805446429,79135.7028303572
"plasmenyl-PC 40_0",16562.38995,14429.5051482143,16562.38995,20184.7195535714,7019.53097964286,14779.4399142857,18146.6995535714,16305.6618767857
"plasmenyl-PC 24_0",1958.08991857143,2200.30958714286,2200.30958714286,2301.18930267857,2111.11652232143,1801.38623892857,1429.82686803571,2301.18930267857
"PE 36_4",386893.902142857,372047.992285714,365996.245535714,342575.355107143,386893.902142857,365996.245535714,353551.866446429,407758.431857143
"PE 38_6",393477.473428571,459518.717321429,638831.869375,401213.237982143,657027.033392857,571729.962142857,554847.643767857,381549.305160714
"PE 34_2",164340.867678571,157757.314821429,285347.296428571,134721.242857143,233684.990357143,180852.8255,220961.976607143,238608.613928571
"PE 40_6",119141.037589286,89732.2299821428,190104.917589286,85871.8150892857,139873.235125,112896.958089286,146110.468035714,104925.049285714
"PE 38_4",708525.935696429,381549.305160714,477320.170892857,372047.992285714,571729.962142857,393477.473428571,527834.730946428,657027.033392857
"PE 34_0",19508.9562589286,28136.8426732143,63343.01875,64910.1661964286,37709.0024642857,46570.3652142857,23786.4344803571,21870.113375
"PE 36_2",217027.624642857,129249.328392857,263002.767857143,122175.508571429,197317.689285714,169170.56625,226122.400535714,257841.348571429
