"Sample","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266"
"CE 22_6",1750917.09642857,1927700.38107143,1927700.38107143,1927700.38107143,2057660.45535714,2057660.45535714,1927700.38107143,1927700.38107143
"CE 20_4",5107607.39642857,5549056.43392857,3981165.63392857,4262567.43214286,4262567.43214286,3646891.38928571,3404619.23928571,3981165.63392857
"CE 20_2",48620.6934642857,35812.2215678571,46053.4322303571,53084.9719464286,55809.6597678571,58590.797375,37709.0024642857,33549.8261214286
"CE 18_2",1830197.00892857,2057660.45535714,2057660.45535714,1587400.85357143,1830197.00892857,1750917.09642857,1662327.25089286,1662327.25089286
"CE 22_4",82936.7736785714,73265.899375,61580.5224107143,99141.5412678571,51078.9281285714,79587.1851607143,53603.7779642857,60032.3102321429
"CE 16_0",35409.6194821429,28827.6476035714,24648.4148571429,19054.5808375,30828.0614821429,30024.804525,32697.9834678571,41284.5769428571
"DG 32_0",48140.8671607143,36345.0238035714,47588.3137857143,33549.8261214286,39672.23125,48620.6934642857,34346.9940660714,43291.4779107143
"DG 34_2",32697.9834678571,31812.2950125,35409.6194821429,24878.3242321429,38739.4274821429,29256.8306071429,40158.8461785714,33163.5863571429
"DG 36_2",55107.5350232143,49173.166625,50560.2420107143,41788.9912446429,69235.555,57274.9927142857,106251.872142857,88251.3293035714
"DG 36_4",6173.28736053571,4565.76887392857,8885.06739660714,1583.11261982143,11324.7492232143,6894.08267107143,10147.4543035714,13295.9136892857
"DG 33_0",1801.38623892857,1208.25424607143,3062.60029232143,5707.80606535714,1583.11261982143,2623.71107660714,4347.66305482143,4003.08042589286
"DG 25_2",4677.01265857143,6547.23283035714,4129.22620732143,9064.79783035714,2111.11652232143,1429.82686803571,9366.42718928572,12054.161475
"DG 38_6",8709.31950178571,1429.82686803571,5510.25820196429,1958.08991857143,4859.26014035714,3698.57423714286,3286.37972392857,2301.18930267857
"DG 36_0",9828.88380535714,23233.7167285714,13867.7270535714,13295.9136892857,4677.01265857143,8062.34949107143,8568.66695714286,5932.3872675
"DG 32_2",1208.25424607143,4767.35150946429,1958.08991857143,4003.08042589286,1429.82686803571,2200.30958714286,1208.25424607143,3062.60029232143
"lysoPC 19_0",300330.617678571,295686.620535714,295686.620535714,386893.902142857,285347.296428571,335816.517321429,342575.355107143,290126.623517857
"lysoPC 20_4",9353458.89285714,8413786.19642857,7750404.18214286,9353458.89285714,8413786.19642857,7750404.18214286,7750404.18214286,7750404.18214286
"lysoPC 17_0",322976.941964286,353551.866446429,443034.381428571,365996.245535714,281397.249821429,365996.245535714,329361.089857143,353551.866446429
"lysoPC 22_6",3981165.63392857,4720640.14285714,3646891.38928571,4720640.14285714,3404619.23928571,5107607.39642857,5107607.39642857,6336154.78392857
"lysoPC 18_0",20361405.2857143,22976408.6964286,22976408.6964286,22976408.6964286,22976408.6964286,22976408.6964286,20361405.2857143,16300016.1428571
"lysoPC 18_2",7750404.18214286,7750404.18214286,10316561.6160714,8413786.19642857,7750404.18214286,8413786.19642857,8413786.19642857,9353458.89285714
"lysoPC 20_0",260422.058214286,255134.295714286,264995.278125,273842.965982143,214865.711160714,314221.517535714,269323.389017857,255134.295714286
"lysoPC 20_2",193773.984285714,329361.089857143,238608.613928571,311979.460892857,316463.574178571,407758.431857143,485844.163392857,459518.717321429
"lysoPC 14_0",21870.113375,22098.1082571429,30426.4898571429,26837.4808035714,22996.4870714286,23535.6674,27516.2858410714,30828.0614821429
"lysoPC 22_0",70122.0761785714,77587.5420535714,70122.0761785714,87020.9964285714,82936.7736785714,112896.958089286,104925.049285714,66790.6490892857
"lysoPC 16_0",16300016.1428571,16300016.1428571,16300016.1428571,16300016.1428571,16300016.1428571,16300016.1428571,16300016.1428571,20361405.2857143
"lysoPC 23_0",16562.38995,14429.5051482143,13295.9136892857,18849.0058946429,16562.38995,17205.0590267857,16990.3754589286,14429.5051482143
