"Sample","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"CE 22_6",2917267.36071429,2707890.17321429,2057660.45535714,2917267.36071429,2194597.62678571,1927700.38107143,1830197.00892857,1750917.09642857
"CE 20_4",4720640.14285714,3404619.23928571,3981165.63392857,4262567.43214286,4262567.43214286,4262567.43214286,3404619.23928571,5107607.39642857
"CE 20_2",25885.5997321429,59235.9577142857,79587.1851607143,36345.0238035714,14025.1392089286,26837.4808035714,25187.8067964286,36743.522125
"CE 18_2",2707890.17321429,2917267.36071429,3147640.32142857,2707890.17321429,2917267.36071429,3404619.23928571,2377512.36607143,3147640.32142857
"CE 22_4",58590.797375,62397.9615714286,75446.9514642857,42270.1891785714,30024.804525,23233.7167285714,17648.0953017857,47138.1425892857
"CE 16_0",35409.6194821429,46570.3652142857,49173.166625,36743.522125,37210.6875,28827.6476035714,41284.5769428571,46570.3652142857
"DG 32_0",41788.9912446429,49856.8851607143,33163.5863571429,44400.4986964286,51863.2385178571,38739.4274821429,32263.4358392857,26171.2539482143
"DG 34_2",31145.2635178571,21870.113375,25515.7566642857,31812.2950125,14251.4973392857,41788.9912446429,52560.8878035714,25187.8067964286
"DG 36_2",47588.3137857143,29256.8306071429,55107.5350232143,40158.8461785714,23233.7167285714,56548.0280714286,72407.9940714286,44400.4986964286
"DG 36_4",16305.6618767857,10821.5161821429,12054.161475,9064.79783035714,21658.0276339286,37709.0024642857,36345.0238035714,13867.7270535714
"DG 33_0",2301.18930267857,2301.18930267857,1009.10998678571,2200.30958714286,2524.25251839286,2623.71107660714,5083.32325839286,3062.60029232143
"DG 25_2",10660.3970267857,9828.88380535714,8062.34949107143,5083.32325839286,1429.82686803571,656.942895535714,1429.82686803571,3797.53521178571
"DG 38_6",18589.3386625,12252.0707714286,15660.504375,13160.214875,18589.3386625,22996.4870714286,23535.6674,16562.38995
"DG 36_0",9828.88380535714,15660.504375,14025.1392089286,12961.7473964286,10660.3970267857,10147.4543035714,8453.61662321429,6173.28736053571
"DG 32_2",2200.30958714286,1801.38623892857,2111.11652232143,2623.71107660714,1583.11261982143,3062.60029232143,4233.94117535714,3367.97632982143
"lysoPC 19_0",252427.242857143,322976.941964286,169170.56625,329361.089857143,381549.305160714,257841.348571429,252427.242857143,220961.976607143
"lysoPC 20_4",5549056.43392857,7750404.18214286,8413786.19642857,8413786.19642857,10316561.6160714,8413786.19642857,5549056.43392857,7750404.18214286
"lysoPC 17_0",353551.866446429,477320.170892857,421091.437803571,496519.185875,428359.130321429,322976.941964286,311979.460892857,295686.620535714
"lysoPC 22_6",3646891.38928571,3646891.38928571,3646891.38928571,3147640.32142857,3646891.38928571,2707890.17321429,2707890.17321429,3646891.38928571
"lysoPC 18_0",22976408.6964286,27030744.1428571,22976408.6964286,29771910.5178571,22976408.6964286,22976408.6964286,22976408.6964286,22976408.6964286
"lysoPC 18_2",9353458.89285714,9353458.89285714,7750404.18214286,11631902.2053571,16300016.1428571,13227403.2142857,20361405.2857143,9353458.89285714
"lysoPC 20_0",332588.803589286,439100.619642857,326169.015910714,455019.660625,606457.71975,463001.944982143,455019.660625,384221.603651786
"lysoPC 20_2",139873.235125,238608.613928571,137903.137857143,166881.198089286,342575.355107143,174443.509642857,166881.198089286,187151.798392857
"lysoPC 14_0",27166.2703839286,31145.2635178571,27852.3630714286,30828.0614821429,24878.3242321429,18324.2519410714,21115.1249267857,17905.7529821429
"lysoPC 22_0",89732.2299821428,96672.7195,78684.2205,101877.901339286,97910.0930892857,84781.2899285714,96672.7195,97910.0930892857
"lysoPC 16_0",20361405.2857143,20361405.2857143,20361405.2857143,27030744.1428571,20361405.2857143,20361405.2857143,16300016.1428571,20361405.2857143
"lysoPC 23_0",15660.504375,23233.7167285714,21870.113375,22098.1082571429,15439.1810178571,13295.9136892857,13867.7270535714,14779.4399142857
"lysoPC 15_0",43924.0483357143,47588.3137857143,44400.4986964286,46053.4322303571,38222.1059642857,28495.2293321429,30024.804525,28495.2293321429
"lysoPC 22_4",48140.8671607143,75446.9514642857,57274.9927142857,62397.9615714286,99141.5412678571,63343.01875,39672.23125,51078.9281285714
"lysoPC 21_0",13482.9624910714,6547.23283035714,4972.19124428571,11515.6484035714,17470.1654285714,9064.79783035714,10480.6037157143,10017.8381107143
"lysoPC 24_0",111261.935339286,112896.958089286,120778.945660714,130993.285892857,100478.048964286,91027.3493928571,91027.3493928571,109734.807660714
"lysoPC 17_2",3367.97632982143,3481.14064946429,1583.11261982143,1429.82686803571,3367.97632982143,2409.38093892857,2524.25251839286,2200.30958714286
"lysoPC 25_0",3176.56450892857,2853.8806975,5187.78708392857,4233.94117535714,656.942895535714,2853.8806975,3367.97632982143,4677.01265857143
"lysoPC 22_2",4129.22620732143,7288.34971535714,4233.94117535714,7958.53787553571,15248.5211732143,6295.60251607143,8182.79665892857,8568.66695714286
"lysoPE 20_4",271658.989642857,386893.902142857,393477.473428571,365996.245535714,252427.242857143,169170.56625,276026.942321429,252427.242857143
"lysoPE 18_2",67625.6619821429,101877.901339286,64910.1661964286,100478.048964286,136258.970214286,83724.0643392857,150075.023571429,92328.8735892857
"lysoPE 16_0",95086.8434821429,111261.935339286,112896.958089286,114718.668821429,88251.3293035714,73265.899375,77587.5420535714,74354.0717321429
"lysoPE 18_0",169170.56625,285347.296428571,208476.134642857,247227.189464286,137903.137857143,129249.328392857,137903.137857143,153655.769107143
"lysoPE 22_6",359016.831160714,508610.486392857,508610.486392857,508610.486392857,353551.866446429,193773.984285714,393477.473428571,407758.431857143
"lysoPE 20_0",5380.08657803571,5830.36731714286,7446.81342910714,7674.84652875,7958.53787553571,4565.76887392857,5276.15300892857,7019.53097964286
"lysoPE 19_0",1429.82686803571,1009.10998678571,3286.37972392857,8709.31950178571,4859.26014035714,2301.18930267857,2738.26377142857,656.942895535714
"MG 17_0",53084.9719464286,67625.6619821429,53603.7779642857,55107.5350232143,96672.7195,70122.0761785714,61580.5224107143,44872.1232142857
"MG 18_2",1801.38623892857,4677.01265857143,5932.3872675,4767.35150946429,6769.99999642857,6173.28736053571,20701.8814285714,4233.94117535714
"PC 34_2",36431957.5714286,36431957.5714286,27030744.1428571,43196343.75,43196343.75,43196343.75,43196343.75,34589102.4642857
"PC 36_2",32242602.9285714,32242602.9285714,29771910.5178571,34589102.4642857,39431359.6964286,39431359.6964286,39431359.6964286,32242602.9285714
"PC 32_2",233684.990357143,311979.460892857,276026.942321429,226122.400535714,153655.769107143,226122.400535714,266987.788392857,271658.989642857
"PC 38_4",75446.9514642857,83724.0643392857,77587.5420535714,103280.380357143,123774.517142857,119141.037589286,66790.6490892857,67625.6619821429
"PC 36_4",29771910.5178571,22976408.6964286,34589102.4642857,20361405.2857143,32242602.9285714,27030744.1428571,27030744.1428571,27030744.1428571
"PC 38_6",39431359.6964286,39431359.6964286,39431359.6964286,36431957.5714286,36431957.5714286,34589102.4642857,34589102.4642857,36431957.5714286
"PC 40_4",583411.744732143,886650.390178571,708525.935696429,638831.869375,679997.608267857,708525.935696429,708525.935696429,753683.109821429
"PC 36_6",104925.049285714,89732.2299821428,117821.062892857,88251.3293035714,60928.3265178571,60032.3102321429,48620.6934642857,104925.049285714
"PC 35_2",1927700.38107143,2524491.27857143,1211694.65464286,2524491.27857143,2707890.17321429,2377512.36607143,2524491.27857143,2524491.27857143
"PC 33_2",381549.305160714,485844.163392857,381549.305160714,381549.305160714,401213.237982143,353551.866446429,626634.444821429,508610.486392857
"PC 32_0",3981165.63392857,4262567.43214286,4262567.43214286,3981165.63392857,3147640.32142857,2917267.36071429,3981165.63392857,5549056.43392857
"PC 37_6",197317.689285714,150075.023571429,157757.314821429,153655.769107143,84781.2899285714,109734.807660714,122175.508571429,164340.867678571
"PC 41_6",201258.031607143,201258.031607143,139873.235125,164340.867678571,130993.285892857,117821.062892857,123774.517142857,127190.990535714
"PC 35_4",266987.788392857,316463.574178571,281397.249821429,171733.162857143,141663.135,180852.8255,151750.858928571,230115.201964286
"PC 33_0",63343.01875,73265.899375,59235.9577142857,63343.01875,53603.7779642857,53084.9719464286,58039.6899285714,49856.8851607143
"PC 36_0",285347.296428571,306250.888214286,247227.189464286,233684.990357143,435166.857857143,290126.623517857,208476.134642857,257841.348571429
"PC 34_4",184039.758214286,230115.201964286,193773.984285714,150075.023571429,134721.242857143,139873.235125,157757.314821429,226122.400535714
"PC 38_2",955879.297321429,1082003.45821429,816021.157142857,1041433.58625,1927700.38107143,1401515.98839286,1927700.38107143,1587400.85357143
"PC 37_2",753683.109821429,847475.440892857,496519.185875,657027.033392857,1272932.56785714,753683.109821429,1479117.02589286,729938.209285714
"PC 40_8",1401515.98839286,1211694.65464286,1401515.98839286,994300.145714286,1401515.98839286,1041433.58625,1082003.45821429,1662327.25089286
"PC 42_10",443034.381428571,421091.437803571,466485.172642857,306250.888214286,359016.831160714,300330.617678571,329361.089857143,443034.381428571
"PC 37_4",2524491.27857143,2377512.36607143,2707890.17321429,1830197.00892857,1750917.09642857,1830197.00892857,1272932.56785714,2057660.45535714
"PC 42_8",103280.380357143,85871.8150892857,91027.3493928571,89732.2299821428,89732.2299821428,78684.2205,53603.7779642857,89732.2299821428
"PC 40_6",55107.5350232143,65810.4067678571,40158.8461785714,92328.8735892857,127190.990535714,120778.945660714,76376.5748392857,48140.8671607143
