"Sample","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"CE 22_6",2057660.45535714,1927700.38107143,1750917.09642857,1662327.25089286,1662327.25089286,1662327.25089286,1401515.98839286,1750917.09642857
"CE 20_4",4262567.43214286,4720640.14285714,3404619.23928571,3646891.38928571,2707890.17321429,2377512.36607143,3404619.23928571,2524491.27857143
"CE 20_2",77587.5420535714,36345.0238035714,42270.1891785714,23535.6674,36743.522125,23233.7167285714,28136.8426732143,38739.4274821429
"CE 18_2",1830197.00892857,2057660.45535714,1662327.25089286,1587400.85357143,1927700.38107143,1479117.02589286,2057660.45535714,1587400.85357143
"CE 22_4",93520.8039821429,62397.9615714286,56548.0280714286,68428.0165178571,84781.2899285714,33549.8261214286,33549.8261214286,51863.2385178571
"CE 16_0",39180.905925,33964.91875,21115.1249267857,15248.5211732143,25515.7566642857,18849.0058946429,27166.2703839286,26496.8920107143
"DG 32_0",31812.2950125,47138.1425892857,35409.6194821429,47138.1425892857,28827.6476035714,35409.6194821429,53603.7779642857,42740.6879821429
"DG 34_2",17648.0953017857,31145.2635178571,84781.2899285714,17470.1654285714,89732.2299821428,73265.899375,26837.4808035714,41788.9912446429
"DG 36_2",44400.4986964286,60928.3265178571,104925.049285714,44400.4986964286,91027.3493928571,85871.8150892857,69235.555,67625.6619821429
"DG 36_4",10017.8381107143,11835.7087017857,43924.0483357143,11515.6484035714,28495.2293321429,23786.4344803571,13482.9624910714,10147.4543035714
"DG 33_0",4233.94117535714,4440.50417821429,1429.82686803571,2301.18930267857,1429.82686803571,2738.26377142857,6547.23283035714,2200.30958714286
"DG 25_2",11515.6484035714,5932.3872675,8568.66695714286,4347.66305482143,1208.25424607143,1009.10998678571,1583.11261982143,3367.97632982143
"DG 38_6",8885.06739660714,11324.7492232143,44400.4986964286,10296.9797839286,29256.8306071429,10147.4543035714,11664.5865464286,6074.70763767857
"DG 36_0",12820.3079732143,19250.3550410714,11835.7087017857,15837.7024571429,12445.6085892857,8182.79665892857,11031.9292982143,8568.66695714286
"DG 32_2",4677.01265857143,3904.26020160714,5083.32325839286,3698.57423714286,3176.56450892857,6894.08267107143,3062.60029232143,3698.57423714286
"lysoPC 19_0",252427.242857143,263002.767857143,230115.201964286,381549.305160714,151750.858928571,197317.689285714,190104.917589286,171733.162857143
"lysoPC 20_4",8413786.19642857,6336154.78392857,7750404.18214286,10316561.6160714,7750404.18214286,5549056.43392857,8413786.19642857,7750404.18214286
"lysoPC 17_0",583411.744732143,638831.869375,428359.130321429,554847.643767857,414307.393392857,295686.620535714,657027.033392857,359016.831160714
"lysoPC 22_6",2917267.36071429,2917267.36071429,3147640.32142857,4262567.43214286,3646891.38928571,2917267.36071429,2707890.17321429,3147640.32142857
"lysoPC 18_0",16300016.1428571,20361405.2857143,16300016.1428571,20361405.2857143,16300016.1428571,16300016.1428571,20361405.2857143,13227403.2142857
"lysoPC 18_2",7750404.18214286,10316561.6160714,11631902.2053571,13227403.2142857,11631902.2053571,11631902.2053571,13227403.2142857,8413786.19642857
"lysoPC 20_0",356284.348803571,362506.538348214,384221.603651786,374525.538642857,249827.216160714,273842.965982143,118481.050241071,309115.174553571
"lysoPC 20_2",139873.235125,171733.162857143,212703.797678571,187151.798392857,155129.416142857,166881.198089286,107961.024285714,208476.134642857
"lysoPC 14_0",73265.899375,71418.1367142857,59235.9577142857,66790.6490892857,39672.23125,37709.0024642857,57274.9927142857,44400.4986964286
"lysoPC 22_0",84781.2899285714,89732.2299821428,82936.7736785714,97910.0930892857,80728.0989821429,79587.1851607143,52560.8878035714,70122.0761785714
"lysoPC 16_0",22976408.6964286,27030744.1428571,22976408.6964286,29771910.5178571,20361405.2857143,22976408.6964286,22976408.6964286,20361405.2857143
"lysoPC 23_0",17205.0590267857,11664.5865464286,9366.42718928572,23786.4344803571,14429.5051482143,16062.4849892857,10017.8381107143,14251.4973392857
"lysoPC 15_0",50560.2420107143,64172.3337857143,61580.5224107143,75446.9514642857,38739.4274821429,33964.91875,49856.8851607143,33163.5863571429
"lysoPC 22_4",49856.8851607143,54373.6077857143,31145.2635178571,64910.1661964286,57274.9927142857,49173.166625,61580.5224107143,64910.1661964286
"lysoPC 21_0",10480.6037157143,7149.45778035714,10660.3970267857,12445.6085892857,8453.61662321429,7674.84652875,6074.70763767857,8321.50644589286
"lysoPC 24_0",111261.935339286,107961.024285714,101877.901339286,153655.769107143,109734.807660714,83724.0643392857,66790.6490892857,88251.3293035714
"lysoPC 17_2",2962.86339982143,5276.15300892857,2111.11652232143,3481.14064946429,4003.08042589286,3176.56450892857,3698.57423714286,2962.86339982143
"lysoPC 25_0",4972.19124428571,6295.60251607143,6413.77860446429,4972.19124428571,1583.11261982143,5380.08657803571,2200.30958714286,2623.71107660714
"lysoPC 22_2",4129.22620732143,3797.53521178571,4859.26014035714,5510.25820196429,5707.80606535714,5830.36731714286,6413.77860446429,8453.61662321429
"lysoPE 20_4",477320.170892857,571729.962142857,300330.617678571,443034.381428571,187151.798392857,233684.990357143,322976.941964286,372047.992285714
"lysoPE 18_2",81740.4788392857,127190.990535714,76376.5748392857,117821.062892857,63343.01875,78684.2205,103280.380357143,72407.9940714286
"lysoPE 16_0",166881.198089286,159336.401428571,97910.0930892857,137903.137857143,67625.6619821429,76376.5748392857,187151.798392857,62397.9615714286
"lysoPE 18_0",205717.823821429,148082.963214286,100478.048964286,201258.031607143,92328.8735892857,107961.024285714,295686.620535714,127190.990535714
"lysoPE 22_6",886650.390178571,1082003.45821429,527834.730946428,847475.440892857,300330.617678571,377003.085,311979.460892857,443034.381428571
"lysoPE 20_0",8321.50644589286,4972.19124428571,4767.35150946429,8062.34949107143,5083.32325839286,5707.80606535714,8062.34949107143,6413.77860446429
"lysoPE 19_0",1583.11261982143,4565.76887392857,7560.55331428571,2962.86339982143,2962.86339982143,3698.57423714286,11835.7087017857,6646.52262571429
"MG 17_0",69235.555,76376.5748392857,53084.9719464286,64172.3337857143,61580.5224107143,54373.6077857143,104925.049285714,57274.9927142857
"MG 18_2",3698.57423714286,6894.08267107143,16562.38995,5380.08657803571,37210.6875,9518.17948142857,2111.11652232143,4859.26014035714
"PC 34_2",32242602.9285714,39431359.6964286,34589102.4642857,36431957.5714286,43196343.75,43196343.75,43196343.75,36431957.5714286
"PC 36_2",29771910.5178571,29771910.5178571,32242602.9285714,34589102.4642857,36431957.5714286,39431359.6964286,36431957.5714286,32242602.9285714
"PC 32_2",613608.007821429,626634.444821429,477320.170892857,386893.902142857,450520.603928571,583411.744732143,300330.617678571,508610.486392857
"PC 38_4",100478.048964286,97910.0930892857,75446.9514642857,95086.8434821429,95086.8434821429,97910.0930892857,193773.984285714,99141.5412678571
"PC 36_4",27030744.1428571,22976408.6964286,27030744.1428571,22976408.6964286,27030744.1428571,27030744.1428571,34589102.4642857,27030744.1428571
"PC 38_6",39431359.6964286,34589102.4642857,39431359.6964286,39431359.6964286,29771910.5178571,32242602.9285714,29771910.5178571,29771910.5178571
"PC 40_4",1082003.45821429,788580.424071429,626634.444821429,613608.007821429,657027.033392857,638831.869375,372047.992285714,753683.109821429
"PC 36_6",187151.798392857,137903.137857143,159336.401428571,132752.419464286,125566.644553571,130993.285892857,39672.23125,141663.135
"PC 35_2",1401515.98839286,1750917.09642857,1272932.56785714,2194597.62678571,1587400.85357143,1750917.09642857,2377512.36607143,1211694.65464286
"PC 33_2",365996.245535714,386893.902142857,306250.888214286,485844.163392857,421091.437803571,443034.381428571,316463.574178571,316463.574178571
"PC 32_0",3646891.38928571,4262567.43214286,4262567.43214286,3981165.63392857,5549056.43392857,3981165.63392857,5107607.39642857,4262567.43214286
"PC 37_6",150075.023571429,157757.314821429,155129.416142857,177587.820892857,148082.963214286,103280.380357143,36743.522125,85871.8150892857
"PC 41_6",123774.517142857,116331.312910714,109734.807660714,197317.689285714,129249.328392857,120778.945660714,31145.2635178571,116331.312910714
"PC 35_4",281397.249821429,276026.942321429,184039.758214286,300330.617678571,220961.976607143,169170.56625,130993.285892857,148082.963214286
"PC 33_0",48140.8671607143,58590.797375,58590.797375,74354.0717321429,68428.0165178571,69235.555,67625.6619821429,63343.01875
"PC 36_0",271658.989642857,217027.624642857,205717.823821429,285347.296428571,208476.134642857,180852.8255,80728.0989821429,205717.823821429
"PC 34_4",372047.992285714,393477.473428571,311979.460892857,306250.888214286,316463.574178571,281397.249821429,153655.769107143,266987.788392857
"PC 38_2",1334914.06285714,1334914.06285714,1211694.65464286,1211694.65464286,1041433.58625,1145645.24982143,729938.209285714,1334914.06285714
"PC 37_2",788580.424071429,955879.297321429,679997.608267857,1272932.56785714,708525.935696429,847475.440892857,753683.109821429,571729.962142857
"PC 40_8",1927700.38107143,1662327.25089286,1927700.38107143,1830197.00892857,1830197.00892857,1272932.56785714,428359.130321429,1830197.00892857
"PC 42_10",955879.297321429,435166.857857143,886650.390178571,729938.209285714,816021.157142857,708525.935696429,75446.9514642857,847475.440892857
"PC 37_4",1587400.85357143,1401515.98839286,1041433.58625,1927700.38107143,1272932.56785714,1041433.58625,1082003.45821429,1082003.45821429
"PC 42_8",122175.508571429,104925.049285714,116331.312910714,78684.2205,83724.0643392857,81740.4788392857,70122.0761785714,109734.807660714
"PC 40_6",52560.8878035714,60032.3102321429,48140.8671607143,53084.9719464286,44872.1232142857,44400.4986964286,68428.0165178571,47138.1425892857
"PC 39_6",459518.717321429,485844.163392857,414307.393392857,919618.595714286,477320.170892857,407758.431857143,252427.242857143,477320.170892857
"PC 34_0",134721.242857143,201258.031607143,148082.963214286,129249.328392857,161801.384107143,155129.416142857,414307.393392857,123774.517142857
"PC 39_4",599307.431678572,443034.381428571,365996.245535714,527834.730946428,401213.237982143,421091.437803571,281397.249821429,386893.902142857
"PC 40_10",129249.328392857,119141.037589286,127190.990535714,109734.807660714,76376.5748392857,111261.935339286,32263.4358392857,114718.668821429
"PC 42_6",136258.970214286,109734.807660714,143734.935357143,100478.048964286,127190.990535714,129249.328392857,37210.6875,132752.419464286
"PC 31_0",28827.6476035714,19915.4671964286,19508.9562589286,32697.9834678571,30024.804525,24338.8607678571,65810.4067678571,30024.804525
"PC 35_0",22098.1082571429,40740.1316785714,19915.4671964286,25187.8067964286,21115.1249267857,29604.2187464286,18324.2519410714,22098.1082571429
