"Sample","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289"
"CE 22_6",2377512.36607143,816021.157142857,2194597.62678571,1927700.38107143,3404619.23928571,1587400.85357143,3147640.32142857,1750917.09642857
"CE 20_4",3981165.63392857,1927700.38107143,3981165.63392857,3981165.63392857,6336154.78392857,3404619.23928571,5107607.39642857,3646891.38928571
"CE 20_2",25187.8067964286,7446.81342910714,30024.804525,25885.5997321429,24338.8607678571,25515.7566642857,67625.6619821429,28136.8426732143
"CE 18_2",2707890.17321429,1662327.25089286,2057660.45535714,2194597.62678571,3646891.38928571,2917267.36071429,3404619.23928571,2377512.36607143
"CE 22_4",40740.1316785714,20701.8814285714,42270.1891785714,40158.8461785714,19054.5808375,31521.0185357143,42740.6879821429,37709.0024642857
"CE 16_0",39180.905925,25187.8067964286,47588.3137857143,31145.2635178571,30024.804525,49173.166625,37210.6875,35409.6194821429
"DG 32_0",42270.1891785714,53084.9719464286,25187.8067964286,28827.6476035714,58590.797375,51863.2385178571,41284.5769428571,40740.1316785714
"DG 34_2",31521.0185357143,77587.5420535714,43924.0483357143,51078.9281285714,44872.1232142857,40740.1316785714,30828.0614821429,43924.0483357143
"DG 36_2",41788.9912446429,64172.3337857143,38739.4274821429,42270.1891785714,46053.4322303571,46570.3652142857,43291.4779107143,44400.4986964286
"DG 36_4",14779.4399142857,51863.2385178571,37210.6875,37210.6875,22996.4870714286,31812.2950125,23233.7167285714,27852.3630714286
"DG 33_0",1583.11261982143,1583.11261982143,2200.30958714286,656.942895535714,4440.50417821429,4347.66305482143,656.942895535714,1801.38623892857
"DG 25_2",8568.66695714286,1009.10998678571,10821.5161821429,5276.15300892857,9518.17948142857,3481.14064946429,6547.23283035714,5187.78708392857
"DG 38_6",16562.38995,24878.3242321429,32697.9834678571,25187.8067964286,24648.4148571429,18849.0058946429,20896.0796607143,16062.4849892857
"DG 36_0",15000.8127196429,11664.5865464286,8568.66695714286,4859.26014035714,10480.6037157143,10017.8381107143,9666.19391607143,9366.42718928572
"DG 32_2",4129.22620732143,4565.76887392857,4677.01265857143,1958.08991857143,1958.08991857143,3176.56450892857,2853.8806975,2853.8806975
"lysoPC 19_0",342575.355107143,166881.198089286,316463.574178571,233684.990357143,243308.448035714,226122.400535714,252427.242857143,266987.788392857
"lysoPC 20_4",4720640.14285714,4720640.14285714,9353458.89285714,3646891.38928571,5107607.39642857,3147640.32142857,3981165.63392857,3404619.23928571
"lysoPC 17_0",638831.869375,527834.730946428,381549.305160714,322976.941964286,708525.935696429,540163.743267857,508610.486392857,626634.444821429
"lysoPC 22_6",3147640.32142857,2377512.36607143,3404619.23928571,2377512.36607143,2524491.27857143,2524491.27857143,2707890.17321429,2707890.17321429
"lysoPC 18_0",22976408.6964286,29771910.5178571,27030744.1428571,27030744.1428571,22976408.6964286,20361405.2857143,20361405.2857143,22976408.6964286
"lysoPC 18_2",13227403.2142857,13227403.2142857,22976408.6964286,13227403.2142857,13227403.2142857,13227403.2142857,13227403.2142857,13227403.2142857
"lysoPC 20_0",260422.058214286,87636.1628660714,298008.619107143,182446.291857143,287736.959973214,255134.295714286,264995.278125,283372.273125
"lysoPC 20_2",109734.807660714,127190.990535714,169170.56625,85871.8150892857,127190.990535714,106251.872142857,117821.062892857,97910.0930892857
"lysoPC 14_0",45353.4926071429,31812.2950125,33549.8261214286,30426.4898571429,25885.5997321429,28495.2293321429,31521.0185357143,32263.4358392857
"lysoPC 22_0",104925.049285714,73265.899375,107961.024285714,74354.0717321429,55809.6597678571,67625.6619821429,79587.1851607143,75446.9514642857
"lysoPC 16_0",29771910.5178571,20361405.2857143,20361405.2857143,22976408.6964286,20361405.2857143,22976408.6964286,27030744.1428571,29771910.5178571
"lysoPC 23_0",27166.2703839286,19250.3550410714,24648.4148571429,24045.4217035714,14779.4399142857,15000.8127196429,16062.4849892857,17470.1654285714
"lysoPC 15_0",62397.9615714286,44872.1232142857,51863.2385178571,58590.797375,39180.905925,47138.1425892857,53603.7779642857,47588.3137857143
"lysoPC 22_4",47588.3137857143,47138.1425892857,70122.0761785714,35812.2215678571,28495.2293321429,31145.2635178571,49856.8851607143,31521.0185357143
