"Sample","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"CE 22_6",1927700.38107143,1830197.00892857,2524491.27857143,2194597.62678571,1750917.09642857,1662327.25089286,1830197.00892857,2194597.62678571
"CE 20_4",3981165.63392857,4720640.14285714,4262567.43214286,5107607.39642857,4720640.14285714,3646891.38928571,5107607.39642857,4720640.14285714
"CE 20_2",34346.9940660714,19707.9837678571,30828.0614821429,36345.0238035714,17470.1654285714,25885.5997321429,22098.1082571429,28495.2293321429
"CE 18_2",2707890.17321429,2377512.36607143,2707890.17321429,3147640.32142857,2524491.27857143,2917267.36071429,3646891.38928571,2917267.36071429
"CE 22_4",26171.2539482143,37709.0024642857,30426.4898571429,22098.1082571429,24878.3242321429,19054.5808375,23233.7167285714,16305.6618767857
"CE 16_0",44872.1232142857,42740.6879821429,43291.4779107143,34346.9940660714,34346.9940660714,32697.9834678571,45353.4926071429,43924.0483357143
"DG 32_0",29256.8306071429,31812.2950125,39672.23125,32697.9834678571,31812.2950125,44400.4986964286,64910.1661964286,47138.1425892857
"DG 34_2",25885.5997321429,26837.4808035714,22098.1082571429,27516.2858410714,38739.4274821429,38739.4274821429,42740.6879821429,29604.2187464286
"DG 36_2",35409.6194821429,38222.1059642857,31812.2950125,46053.4322303571,36345.0238035714,45353.4926071429,35409.6194821429,31145.2635178571
"DG 36_4",16758.3396607143,21395.8974232143,19707.9837678571,21395.8974232143,12445.6085892857,17205.0590267857,15837.7024571429,19250.3550410714
"DG 33_0",1958.08991857143,1801.38623892857,2409.38093892857,1583.11261982143,1583.11261982143,2853.8806975,4767.35150946429,4129.22620732143
"DG 25_2",7288.34971535714,3797.53521178571,7019.53097964286,7019.53097964286,1009.10998678571,656.942895535714,1208.25424607143,1958.08991857143
