"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218"
"DG 34_2",149931.595090387,195751.994832818,110803.361269483,253046.948715379,117834.275494868,65353.683728467,117834.275494868,138334.780008591
"DG 38_4",848209.171972885,505819.673411506,817013.140585522,430834.214148233,714911.878151464,977535.754080651,505819.673411506,977535.754080651
"DG 32_2",18187.6939136266,24853.3908896281,14472.8153843723,44920.290820394,7569.33270324337,1854.63901314069,11546.1641882785,8743.03737327956
"DG 40_2",11840.9053550274,7673.45763461263,18187.6939136266,8542.10920207519,9295.15236708354,12618.8333493546,7122.75331455143,14256.5889273576
"DG 36_2",236581.254552268,273593.712628702,265090.481626636,367151.564201145,319910.382681414,334156.635012901,367151.564201145,310104.381309937
"DG 36_0",3690060.34754154,3218141.73962487,3690060.34754154,5772658.72700205,3499420.79693566,5772658.72700205,4686841.93355262,3499420.79693566
"DG 32_0",12332.1794405939,28993.464117957,13688.4367662645,41493.4848411557,11273.4736028691,35588.2730403146,50116.3302176068,12618.8333493546
"DG 36_4",51873.638520381,34456.083497354,47317.5833278387,65353.683728467,44315.8758536031,52725.2571325448,31366.7141337358,52725.2571325448
"DG 35_0",16250.1035465472,30235.1958660684,11383.9987105799,32627.1825471288,16635.8568564016,29882.8347307373,40539.8678624307,13688.4367662645
"DG 42_2",32962.545244116,17679.5541886965,32962.545244116,17342.0981752716,27670.0936672965,48111.2995296212,13688.4367662645,33305.8925619482
"DG 34_0",294671.854636573,656031.417080701,310104.381309937,1049340.94581209,342721.467376627,1110766.02950714,1232916.63256369,246152.157378492
"DG 40_6",9081.68863387421,8376.80072429699,7771.93478519984,10746.7319360256,7455.48388835241,11840.9053550274,10585.4030459485,9413.31698330455
"DG 40_4",27670.0936672965,16461.9185105772,27286.3180180708,19028.7732969402,22544.1877704726,36067.1033115075,20167.5334982146,25127.7562827948
"DG 38_2",26134.6162467604,15106.4196359861,20723.8087261491,22124.5566343064,21891.5537184833,23507.9832798941,20910.8150978923,20723.8087261491
"DG 38_6",7294.55431427239,6905.43634838432,6905.43634838432,8837.01907379447,6905.43634838432,10333.3513768161,5356.20958603735,9884.69373829821
"DG 38_0",41493.4848411557,68865.4159911298,41493.4848411557,107262.312485813,38664.5565837041,119966.049617415,114832.463512575,45464.0372744196
"DG 40_0",20167.5334982146,37365.7036328191,32254.2506654743,45464.0372744196,24524.5636861208,101448.863644726,62980.3834795584,27087.4875242112
"DG 39_4",2347.39096477112,2347.39096477112,2445.17648560438,3043.53122756663,2511.13227825513,3515.55305378852,867.322201796512,2618.5692247546
"DG 44_2",5785.05303214301,3714.17338211416,9744.92372465852,3130.44089174333,5785.05303214301,9980.98145413166,3232.93503835219,7122.75331455143
"DG 37_0",2902.82107368187,9744.92372465852,5563.09756279768,11145.78705092,4420.77640356408,9646.40068994235,15106.4196359861,2902.82107368187
"DG 41_0",1627.74608298836,5785.05303214301,1338.64304046164,8099.14144085014,2296.76873423381,7376.93467832335,6235.46847186208,3082.74948686888
"DG 42_4",3232.93503835219,1411.04692391368,4640.22791190902,4532.17699145362,5035.99303458581,6235.46847186208,2347.39096477112,4160.77931710736
"DG 42_0",8743.03737327956,4286.3938586557,4772.42405507662,3283.39021609753,10585.4030459485,13021.0867705264,5645.94363028883,8099.14144085014
"DG 33_0",2142.46085230216,5645.94363028883,1532.09554720426,6414.07589437904,2618.5692247546,4160.77931710736,8743.03737327956,2347.39096477112
"DG 44_6",8376.80072429699,8542.10920207519,4066.41069116318,7194.96845122194,6097.54149632318,7673.45763461263,8295.86235620433,6813.54548410478
"DG 30_2",940.261813181366,2296.76873423381,1905.7821167239,5849.40568966629,1123.46535027962,709.339876200706,1478.38811687831,753.882161980778
"DG 39_2",7771.93478519984,42420.0850862687,16789.57049199,24318.9240043805,8376.80072429699,55419.8712241161,39556.1177807976,8376.80072429699
"DG 35_2",1198.94675430264,2395.43871185329,1677.24310014025,5645.94363028883,1258.62638779867,2670.79515161868,2670.79515161868,1953.22247719673
"DG 37_4",2571.09949565564,3393.8336610994,2670.79515161868,2193.16301258689,1992.22622139065,4841.88132293702,2847.53188855849,1338.64304046164
"DG 39_0",3580.15988602528,7294.55431427239,3443.64112843136,7673.45763461263,2670.79515161868,8099.14144085014,6314.38882186503,3043.53122756663
"lysoPC 16_0",1292322.62228349,294671.854636573,873649.246921088,397778.30771661,817013.140585522,656031.417080701,319910.382681414,905287.045004015
"lysoPC 18_2",54302.3577917493,26658.0812070253,61008.804468095,48784.8995749478,61008.804468095,51873.638520381,35588.2730403146,72498.6134936229
"lysoPC 17_0",43871.1143900149,24524.5636861208,32627.1825471288,51022.0681513153,41111.2411963647,90509.0858914233,60166.5128489118,31911.2149348523
"lysoPC 20_4",40539.8678624307,14673.5522850476,30553.0861994212,33305.8925619482,29882.8347307373,23720.7146673046,20723.8087261491,34190.1335949228
"lysoPC 22_6",36539.0195933176,12216.4647436599,34190.1335949228,36539.0195933176,32254.2506654743,27087.4875242112,21891.5537184833,36067.1033115075
"lysoPC 18_0",443608.815411446,160324.769336452,358500.314910743,273593.712628702,430834.214148233,349702.387293389,209636.075455232,443608.815411446
"lysoPC 22_0",133617.563461576,41964.9397968801,117834.275494868,56628.2489575549,126906.029457438,116292.48473204,44920.290820394,126906.029457438
"lysoPC 20_0",38115.5030990945,10746.7319360256,34456.083497354,17027.9137424237,35588.2730403146,32962.545244116,16250.1035465472,32962.545244116
"lysoPC 14_0",19390.5442069508,4640.22791190902,14256.5889273576,5403.07213030986,13311.2638896907,7455.48388835241,4708.76203337811,16461.9185105772
"lysoPC 20_2",7122.75331455143,2511.13227825513,8643.23297631198,2847.53188855849,8743.03737327956,5849.40568966629,3998.54115068617,10866.8464510759
"lysoPC 25_0",17983.8299036484,9884.69373829821,17832.1854382187,11383.9987105799,17514.1100655277,25721.1527974077,10458.9206785961,19203.3429422686
"lysoPC 23_0",26862.5909896027,9295.15236708354,26445.6498018445,13872.4731269625,23159.7373864312,30235.1958660684,14472.8153843723,23720.7146673046
