"Sample","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266"
"DG 34_2",204933.035648811,108768.194434849,88679.2392471334,90509.0858914233,141350.507760114,246152.157378492,342721.467376627,95139.118409496
"DG 38_4",1232916.63256369,873649.246921088,937247.526570316,817013.140585522,443608.815411446,325851.575914495,714911.878151464,738235.701981288
"DG 32_2",47317.5833278387,21891.5537184833,15903.1636719416,19550.4786983602,16789.57049199,17983.8299036484,31911.2149348523,9081.68863387421
"DG 40_2",7294.55431427239,6016.07480905237,9413.31698330455,8643.23297631198,2805.82042661492,3443.64112843136,6608.62976664637,6905.43634838432
"DG 36_2",294671.854636573,236581.254552268,273593.712628702,216662.892799858,349702.387293389,473514.396323247,656031.417080701,294671.854636573
"DG 36_0",2329331.55866882,3835179.60198713,3218141.73962487,2862450.72438281,5772658.72700205,5772658.72700205,4850288.45298836,2329331.55866882
"DG 32_0",11273.4736028691,17514.1100655277,28581.5931744224,16461.9185105772,70138.2473968135,43127.956453077,38115.5030990945,29882.8347307373
"DG 36_4",61008.804468095,55419.8712241161,51873.638520381,60166.5128489118,39556.1177807976,87005.7529160053,114832.463512575,32254.2506654743
"DG 35_0",10746.7319360256,11546.1641882785,22877.4895171125,7194.96845122194,45464.0372744196,30997.9822217921,22292.2234065992,15106.4196359861
"DG 42_2",31366.7141337358,30235.1958660684,20723.8087261491,30997.9822217921,13021.0867705264,11273.4736028691,18352.1386873316,14673.5522850476
"DG 34_0",246152.157378492,358500.314910743,714911.878151464,294671.854636573,1232916.63256369,848209.171972885,605884.428076666,714911.878151464
"DG 40_6",15320.5179280477,14256.5889273576,19390.5442069508,13311.2638896907,10458.9206785961,9413.31698330455,19028.7732969402,12781.7273109445
"DG 40_4",32627.1825471288,30997.9822217921,47317.5833278387,32962.545244116,20723.8087261491,13021.0867705264,21891.5537184833,38664.5565837041
"DG 38_2",16461.9185105772,12031.4387587379,19884.771516843,16250.1035465472,11034.533699935,10585.4030459485,21379.1619379132,16250.1035465472
"DG 38_6",12332.1794405939,11034.533699935,11145.78705092,10458.9206785961,8837.01907379447,14472.8153843723,13021.0867705264,7998.19358554573
"DG 38_0",30997.9822217921,43871.1143900149,42420.0850862687,29559.6127479216,93023.381499912,67312.5417816368,57845.1879812337,31366.7141337358
"DG 40_0",19390.5442069508,22124.5566343064,26862.5909896027,23720.7146673046,56628.2489575549,41964.9397968801,32627.1825471288,19884.771516843
"DG 39_4",3998.54115068617,2445.17648560438,3082.74948686888,2251.81869021205,1905.7821167239,1123.46535027962,1411.04692391368,2670.79515161868
"DG 44_2",7569.33270324337,5718.39377688003,5239.63454479781,5296.8660515496,2052.81109483146,1992.22622139065,2995.74208859765,6496.08711644631
"DG 37_0",2511.13227825513,3232.93503835219,5785.05303214301,2805.82042661492,14673.5522850476,5785.05303214301,4882.87107528133,6813.54548410478
"DG 41_0",1123.46535027962,2395.43871185329,2511.13227825513,2445.17648560438,4932.64129284711,2716.3062741143,3043.53122756663,3232.93503835219
"DG 42_4",9197.27529763568,6235.46847186208,9884.69373829821,8195.52863417798,7294.55431427239,5296.8660515496,7376.93467832335,5785.05303214301
"DG 42_0",5403.07213030986,8837.01907379447,7860.68074802649,9980.98145413166,8295.86235620433,4066.41069116318,4160.77931710736,7771.93478519984
"DG 33_0",2142.46085230216,3998.54115068617,3626.56543918095,2670.79515161868,10084.5243079081,5718.39377688003,5950.32139780381,3626.56543918095
"DG 44_6",3580.15988602528,6743.26506864414,13472.5799988513,6905.43634838432,7122.75331455143,8643.23297631198,5849.40568966629,9646.40068994235
"DG 30_2",4160.77931710736,3818.53011743654,2052.81109483146,2395.43871185329,4286.3938586557,2571.09949565564,3283.39021609753,1411.04692391368
"DG 39_2",8743.03737327956,12781.7273109445,27087.4875242112,8295.86235620433,49328.283990755,27286.3180180708,19203.3429422686,17190.9294185986
"DG 35_2",1905.7821167239,1532.09554720426,4420.77640356408,1123.46535027962,4099.0418512615,6673.20576055493,8295.86235620433,4286.3938586557
"DG 37_4",4841.88132293702,4099.0418512615,3283.39021609753,5480.36106743619,1808.20348206218,1808.20348206218,4591.8598427265,2995.74208859765
"DG 39_0",1580.02568520813,3338.7624604319,3043.53122756663,3580.15988602528,7376.93467832335,5563.09756279768,5356.20958603735,2296.76873423381
"lysoPC 16_0",791344.876364551,656031.417080701,349702.387293389,632064.883944359,265090.481626636,376139.7399138,310104.381309937,319910.382681414
"lysoPC 18_2",37679.2324284736,35072.2571670287,21379.1619379132,31366.7141337358,23159.7373864312,55419.8712241161,41964.9397968801,29559.6127479216
"lysoPC 17_0",31911.2149348523,44920.290820394,18529.4487020742,26862.5909896027,62980.3834795584,37679.2324284736,44920.290820394,19550.4786983602
"lysoPC 20_4",43127.956453077,32962.545244116,23720.7146673046,41493.4848411557,19718.7150950917,42420.0850862687,26862.5909896027,19028.7732969402
"lysoPC 22_6",51022.0681513153,39556.1177807976,38115.5030990945,46346.1451413675,25127.7562827948,50116.3302176068,27902.260694099,21379.1619379132
"lysoPC 18_0",387270.617647466,334156.635012901,204933.035648811,319910.382681414,168295.152220327,310104.381309937,294671.854636573,184121.861896287
"lysoPC 22_0",83139.8336152387,72498.6134936229,38664.5565837041,53353.6202968467,30235.1958660684,34456.083497354,51873.638520381,41111.2411963647
"lysoPC 20_0",26445.6498018445,24524.5636861208,13872.4731269625,21163.8866669064,9980.98145413166,13688.4367662645,12781.7273109445,11273.4736028691
"lysoPC 14_0",9646.40068994235,7860.68074802649,5296.8660515496,7673.45763461263,3671.55825258607,4493.79792135863,4841.88132293702,4932.64129284711
"lysoPC 20_2",4708.76203337811,5563.09756279768,4066.41069116318,4286.3938586557,5239.63454479781,6097.54149632318,6097.54149632318,5035.99303458581
"lysoPC 25_0",17027.9137424237,14472.8153843723,8099.14144085014,13021.0867705264,6608.62976664637,8542.10920207519,10866.8464510759,6673.20576055493
"lysoPC 23_0",16789.57049199,15903.1636719416,10084.5243079081,13146.3545478315,11840.9053550274,9197.27529763568,10084.5243079081,11034.533699935
"lysoPC 19_0",4532.17699145362,5183.99948461113,3818.53011743654,3998.54115068617,5718.39377688003,5239.63454479781,4420.77640356408,3283.39021609753
"lysoPC 15_0",7860.68074802649,4493.79792135863,5183.99948461113,4493.79792135863,8940.03285088057,9513.54906936368,3818.53011743654,4841.88132293702
"lysoPC 26_0",14972.2221675654,14673.5522850476,14472.8153843723,13688.4367662645,11546.1641882785,11840.9053550274,13472.5799988513,13688.4367662645
"lysoPC 24_0",302985.693493846,294671.854636573,119966.049617415,273593.712628702,114832.463512575,141350.507760114,184121.861896287,123658.23604849
"lysoPE 22_6",38664.5565837041,28993.464117957,20335.218871122,25721.1527974077,17679.5541886965,26658.0812070253,21163.8866669064,20167.5334982146
"lysoPE 20_4",29559.6127479216,24318.9240043805,14972.2221675654,20910.8150978923,13872.4731269625,19718.7150950917,16461.9185105772,16067.463872993
"lysoPE 22_4",25127.7562827948,21581.1265728941,12332.1794405939,19203.3429422686,9413.31698330455,9646.40068994235,11546.1641882785,16789.57049199
"lysoPE 18_2",18529.4487020742,17190.9294185986,8542.10920207519,14040.7586622347,14472.8153843723,17027.9137424237,12618.8333493546,15508.0548213557
"lysoPE 16_0",58535.5165196886,46346.1451413675,25721.1527974077,50116.3302176068,24318.9240043805,28187.2005027653,27286.3180180708,31911.2149348523
"lysoPE 18_0",5950.32139780381,4708.76203337811,3130.44089174333,4882.87107528133,3626.56543918095,4640.22791190902,4532.17699145362,2716.3062741143
"lysoPE 24_4",6235.46847186208,5296.8660515496,3580.15988602528,5785.05303214301,3998.54115068617,3515.55305378852,4099.0418512615,5563.09756279768
"lysoPE 20_2",1747.80890679262,1580.02568520813,1992.22622139065,1478.38811687831,1198.94675430264,1532.09554720426,2089.28813686937,2052.81109483146
