"Sample","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"DG 34_2",177646.613127887,200904.581953389,334156.635012901,173899.488566082,160324.769336452,117834.275494868,325851.575914495,184121.861896287
"DG 38_4",1049340.94581209,1110766.02950714,905287.045004015,977535.754080651,714911.878151464,817013.140585522,873649.246921088,817013.140585522
"DG 32_2",57845.1879812337,41493.4848411557,112273.979003138,39556.1177807976,12031.4387587379,9513.54906936368,25378.2584819943,16461.9185105772
"DG 40_2",12216.4647436599,7998.19358554573,7998.19358554573,4932.64129284711,9980.98145413166,5849.40568966629,9884.69373829821,9081.68863387421
"DG 36_2",319910.382681414,325851.575914495,285600.905882484,230154.557420029,294671.854636573,273593.712628702,505819.673411506,319910.382681414
"DG 36_0",5772658.72700205,5772658.72700205,4686841.93355262,5772658.72700205,5772658.72700205,3835179.60198713,4686841.93355262,5772658.72700205
"DG 32_0",60166.5128489118,32627.1825471288,34730.4902446366,35588.2730403146,31656.9988202952,41111.2411963647,41964.9397968801,50116.3302176068
"DG 36_4",87005.7529160053,77688.3233362909,90509.0858914233,80589.2574650181,55419.8712241161,91651.5838497487,70138.2473968135,64201.4139458909
"DG 35_0",36539.0195933176,22877.4895171125,23720.7146673046,36539.0195933176,33717.5256255891,38664.5565837041,31366.7141337358,33717.5256255891
"DG 42_2",23159.7373864312,23507.9832798941,19390.5442069508,20562.9661931337,20167.5334982146,18352.1386873316,20723.8087261491,19884.771516843
"DG 34_0",1362378.17713652,738235.701981288,473514.396323247,873649.246921088,738235.701981288,1049340.94581209,817013.140585522,873649.246921088
"DG 40_6",21163.8866669064,17832.1854382187,14972.2221675654,18688.3500713106,11684.1084991369,16789.57049199,18352.1386873316,16635.8568564016
"DG 40_4",59264.4870583515,34730.4902446366,31911.2149348523,32962.545244116,15106.4196359861,26658.0812070253,31911.2149348523,28187.2005027653
"DG 38_2",27670.0936672965,19390.5442069508,19718.7150950917,15106.4196359861,13311.2638896907,21163.8866669064,20335.218871122,15903.1636719416
"DG 38_6",13688.4367662645,9884.69373829821,11145.78705092,10084.5243079081,7194.96845122194,6097.54149632318,14472.8153843723,10333.3513768161
"DG 38_0",99347.903225749,76079.3350327907,61008.804468095,88679.2392471334,112273.979003138,116292.48473204,74499.5627401666,116292.48473204
"DG 40_0",54302.3577917493,42420.0850862687,28581.5931744224,48111.2995296212,61913.9655484281,61008.804468095,46346.1451413675,84918.4763312966
"DG 39_4",3900.70519820493,4420.77640356408,1905.7821167239,4420.77640356408,2296.76873423381,1992.22622139065,2847.53188855849,2251.81869021205
"DG 44_2",7771.93478519984,3515.55305378852,3172.08257104545,2618.5692247546,2847.53188855849,3082.74948686888,4066.41069116318,3759.98949699223
"DG 37_0",11840.9053550274,8099.14144085014,5950.32139780381,13472.5799988513,12618.8333493546,16250.1035465472,8940.03285088057,9646.40068994235
"DG 41_0",3759.98949699223,2089.28813686937,1627.74608298836,4640.22791190902,6905.43634838432,6905.43634838432,5183.99948461113,5239.63454479781
"DG 42_4",8643.23297631198,5356.20958603735,4160.77931710736,6608.62976664637,3759.98949699223,5083.0431779587,3671.55825258607,6235.46847186208
"DG 42_0",7017.19469566664,7194.96845122194,5403.07213030986,7998.19358554573,12216.4647436599,8295.86235620433,7122.75331455143,14472.8153843723
"DG 33_0",11034.533699935,5083.0431779587,4349.42677600596,8542.10920207519,4066.41069116318,5296.8660515496,6813.54548410478,4708.76203337811
"DG 44_6",8376.80072429699,8940.03285088057,6097.54149632318,7122.75331455143,9413.31698330455,17832.1854382187,9081.68863387421,6608.62976664637
"DG 30_2",6016.07480905237,2902.82107368187,13472.5799988513,2716.3062741143,1411.04692391368,1808.20348206218,2142.46085230216,1532.09554720426
"DG 39_2",39077.7767939668,28993.464117957,17514.1100655277,34456.083497354,40539.8678624307,65353.683728467,19718.7150950917,46346.1451413675
"DG 35_2",4286.3938586557,2716.3062741143,5296.8660515496,2445.17648560438,3714.17338211416,4066.41069116318,6743.26506864414,4640.22791190902
"DG 37_4",4841.88132293702,8295.86235620433,6235.46847186208,5296.8660515496,4841.88132293702,5183.99948461113,3082.74948686888,4349.42677600596
"DG 39_0",6496.08711644631,7673.45763461263,9980.98145413166,6905.43634838432,6813.54548410478,6154.27078515524,5239.63454479781,5403.07213030986
"lysoPC 16_0",387270.617647466,505819.673411506,605884.428076666,473514.396323247,397778.30771661,358500.314910743,417740.909957642,358500.314910743
"lysoPC 18_2",25378.2584819943,32962.545244116,39077.7767939668,24318.9240043805,38115.5030990945,23720.7146673046,57845.1879812337,39556.1177807976
"lysoPC 17_0",58535.5165196886,61913.9655484281,47317.5833278387,64201.4139458909,56628.2489575549,37679.2324284736,47317.5833278387,61008.804468095
"lysoPC 20_4",26445.6498018445,34190.1335949228,39556.1177807976,21891.5537184833,22292.2234065992,16461.9185105772,23720.7146673046,24524.5636861208
"lysoPC 22_6",38664.5565837041,44920.290820394,42420.0850862687,33717.5256255891,37679.2324284736,25378.2584819943,30553.0861994212,32254.2506654743
"lysoPC 18_0",216662.892799858,319910.382681414,342721.467376627,310104.381309937,349702.387293389,209636.075455232,349702.387293389,349702.387293389
"lysoPC 22_0",40070.6248917404,61008.804468095,54302.3577917493,55419.8712241161,58535.5165196886,40539.8678624307,52725.2571325448,55419.8712241161
"lysoPC 20_0",14972.2221675654,19550.4786983602,20910.8150978923,18352.1386873316,21379.1619379132,17027.9137424237,19028.7732969402,20167.5334982146
"lysoPC 14_0",5849.40568966629,7455.48388835241,6496.08711644631,6813.54548410478,5296.8660515496,3714.17338211416,3998.54115068617,5645.94363028883
"lysoPC 20_2",3393.8336610994,3626.56543918095,6016.07480905237,3580.15988602528,5356.20958603735,3759.98949699223,7294.55431427239,7122.75331455143
"lysoPC 25_0",7122.75331455143,10217.9101496267,9295.15236708354,9980.98145413166,9081.68863387421,10084.5243079081,8643.23297631198,10866.8464510759
"lysoPC 23_0",13021.0867705264,12031.4387587379,15903.1636719416,9884.69373829821,19390.5442069508,11840.9053550274,13872.4731269625,14826.5622407911
"lysoPC 19_0",5785.05303214301,7294.55431427239,7673.45763461263,7455.48388835241,9744.92372465852,4708.76203337811,4591.8598427265,8195.52863417798
"lysoPC 15_0",9197.27529763568,4882.87107528133,11034.533699935,4772.42405507662,10333.3513768161,7998.19358554573,6496.08711644631,10084.5243079081
"lysoPC 26_0",6813.54548410478,6608.62976664637,5239.63454479781,5480.36106743619,7998.19358554573,11145.78705092,5950.32139780381,8940.03285088057
"lysoPC 24_0",114832.463512575,180760.130342769,223524.973258297,157347.172911954,223524.973258297,138334.780008591,195751.994832818,180760.130342769
"lysoPE 22_6",21581.1265728941,24318.9240043805,30235.1958660684,20335.218871122,22124.5566343064,14472.8153843723,20167.5334982146,19718.7150950917
"lysoPE 20_4",15320.5179280477,14972.2221675654,18529.4487020742,13311.2638896907,16461.9185105772,9646.40068994235,16067.463872993,12031.4387587379
"lysoPE 22_4",5183.99948461113,6673.20576055493,7017.19469566664,6496.08711644631,5785.05303214301,4932.64129284711,7860.68074802649,6905.43634838432
"lysoPE 18_2",8837.01907379447,10333.3513768161,12216.4647436599,9744.92372465852,17832.1854382187,10217.9101496267,11383.9987105799,17190.9294185986
"lysoPE 16_0",24853.3908896281,38664.5565837041,43871.1143900149,43871.1143900149,53353.6202968467,32627.1825471288,39077.7767939668,40070.6248917404
"lysoPE 18_0",3603.36266260311,5403.07213030986,6743.26506864414,6314.38882186503,7860.68074802649,5718.39377688003,4882.87107528133,6414.07589437904
"lysoPE 24_4",2193.16301258689,1854.63901314069,2805.82042661492,1808.20348206218,2618.5692247546,2618.5692247546,1747.80890679262,2764.03066801077
"lysoPE 20_2",993.774257288947,1123.46535027962,1338.64304046164,753.882161980778,1198.94675430264,993.774257288947,1580.02568520813,1338.64304046164
"lysoPE 14_0",228.162425794145,940.261813181366,228.162425794145,228.162425794145,867.322201796512,1198.94675430264,503.297067667094,426.708547511286
"MG 20_0",18898.0750906925,16250.1035465472,15508.0548213557,17832.1854382187,19028.7732969402,18898.0750906925,16461.9185105772,22292.2234065992
"MG 16_0",310104.381309937,265090.481626636,236581.254552268,325851.575914495,325851.575914495,246152.157378492,273593.712628702,334156.635012901
"MG 17_0",4493.79792135863,5563.09756279768,4099.0418512615,5950.32139780381,8295.86235620433,8099.14144085014,7569.33270324337,6154.27078515524
"MG 18_0",848209.171972885,1049340.94581209,848209.171972885,905287.045004015,1049340.94581209,1110766.02950714,791344.876364551,1110766.02950714
"MG 22_0",10217.9101496267,11684.1084991369,13146.3545478315,13146.3545478315,13472.5799988513,8743.03737327956,11840.9053550274,14673.5522850476
"MG 20_4",709.339876200706,569.981663224656,3900.70519820493,709.339876200706,3671.55825258607,1063.18474221352,993.774257288947,993.774257288947
"MG 18_2",4640.22791190902,9980.98145413166,10333.3513768161,11383.9987105799,17983.8299036484,9980.98145413166,8376.80072429699,8542.10920207519
"MG 19_0",2395.43871185329,1677.24310014025,2251.81869021205,2847.53188855849,1905.7821167239,2805.82042661492,2052.81109483146,2571.09949565564
"MG 21_0",1198.94675430264,993.774257288947,867.322201796512,1580.02568520813,993.774257288947,569.981663224656,1338.64304046164,1411.04692391368
"MG 23_0",1258.62638779867,1747.80890679262,1747.80890679262,1338.64304046164,1627.74608298836,2945.91375862882,1411.04692391368,2395.43871185329
"PC 31_0",180760.130342769,216662.892799858,204933.035648811,200904.581953389,177646.613127887,230154.557420029,223524.973258297,236581.254552268
"PC 36_2",738235.701981288,791344.876364551,791344.876364551,714911.878151464,873649.246921088,791344.876364551,1049340.94581209,905287.045004015
"PC 44_2",70138.2473968135,80589.2574650181,80589.2574650181,70138.2473968135,80589.2574650181,77688.3233362909,72498.6134936229,70138.2473968135
"PC 32_2",93023.381499912,129987.126107419,168295.152220327,135780.63468126,99347.903225749,70138.2473968135,110803.361269483,103984.583455646
"PC 40_2",204933.035648811,230154.557420029,200904.581953389,195751.994832818,168295.152220327,186702.776833345,230154.557420029,157347.172911954
"PC 29_0",20562.9661931337,36934.2201731801,36539.0195933176,37365.7036328191,35072.2571670287,23998.0735836947,25127.7562827948,28993.464117957
"PC 38_4",302985.693493846,294671.854636573,265090.481626636,246152.157378492,230154.557420029,258509.846527005,302985.693493846,285600.905882484
"PC 43_2",53353.6202968467,41964.9397968801,33717.5256255891,41964.9397968801,49328.283990755,45464.0372744196,43871.1143900149,44315.8758536031
"PC 42_2",632064.883944359,632064.883944359,526908.240486991,583382.461353452,791344.876364551,491092.55596236,583382.461353452,605884.428076666
"PC 36_4",1110766.02950714,1232916.63256369,1170172.54612086,1110766.02950714,848209.171972885,848209.171972885,905287.045004015,848209.171972885
"PC 35_0",18269.9163004791,22292.2234065992,22710.8386437926,22877.4895171125,20910.8150978923,18187.6939136266,24421.7438452507,18529.4487020742
"PC 28_0",15903.1636719416,21379.1619379132,27670.0936672965,21379.1619379132,16789.57049199,11383.9987105799,17027.9137424237,12216.4647436599
"PC 37_4",13872.4731269625,15106.4196359861,13021.0867705264,14972.2221675654,12332.1794405939,19028.7732969402,12031.4387587379,14256.5889273576
"PC 40_6",88679.2392471334,83139.8336152387,93023.381499912,93023.381499912,91651.5838497487,95139.118409496,93023.381499912,91651.5838497487
"PC 48_4",2805.82042661492,3900.70519820493,2445.17648560438,2995.74208859765,1258.62638779867,3338.7624604319,3232.93503835219,3130.44089174333
