"Sample","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289"
"DG 34_2",77688.3233362909,93023.381499912,90509.0858914233,294671.854636573,143918.337393831,209636.075455232,123658.23604849,223524.973258297
"DG 38_4",656031.417080701,605884.428076666,491092.55596236,505819.673411506,358500.314910743,714911.878151464,1049340.94581209,1049340.94581209
"DG 32_2",17342.0981752716,26134.6162467604,28993.464117957,70138.2473968135,12781.7273109445,17983.8299036484,11034.533699935,18187.6939136266
"DG 40_2",6097.54149632318,5849.40568966629,7455.48388835241,7376.93467832335,4349.42677600596,5296.8660515496,9884.69373829821,8940.03285088057
"DG 36_2",246152.157378492,173899.488566082,152548.141497764,349702.387293389,473514.396323247,430834.214148233,397778.30771661,443608.815411446
"DG 36_0",5772658.72700205,5772658.72700205,5772658.72700205,5772658.72700205,4686841.93355262,4686841.93355262,4364115.82260871,4850288.45298836
"DG 32_0",39556.1177807976,62980.3834795584,35588.2730403146,35072.2571670287,43871.1143900149,29559.6127479216,20335.218871122,21379.1619379132
"DG 36_4",43127.956453077,31911.2149348523,37365.7036328191,61008.804468095,44315.8758536031,77688.3233362909,42420.0850862687,41493.4848411557
"DG 35_0",34730.4902446366,55419.8712241161,22124.5566343064,23720.7146673046,34730.4902446366,21163.8866669064,18187.6939136266,14972.2221675654
"DG 42_2",18352.1386873316,18529.4487020742,20167.5334982146,13021.0867705264,19203.3429422686,22544.1877704726,26134.6162467604,23998.0735836947
"DG 34_0",1232916.63256369,1889416.98346053,791344.876364551,937247.526570316,1170172.54612086,656031.417080701,656031.417080701,605884.428076666
"DG 40_6",14972.2221675654,11034.533699935,9513.54906936368,15320.5179280477,11383.9987105799,12332.1794405939,16250.1035465472,11273.4736028691
"DG 40_4",34190.1335949228,30997.9822217921,24524.5636861208,17027.9137424237,19550.4786983602,32627.1825471288,40539.8678624307,32627.1825471288
"DG 38_2",12781.7273109445,11684.1084991369,10084.5243079081,16250.1035465472,19718.7150950917,16789.57049199,25127.7562827948,16635.8568564016
"DG 38_6",8376.80072429699,7194.96845122194,7376.93467832335,12488.6839695275,10084.5243079081,8940.03285088057,8743.03737327956,12488.6839695275
"DG 38_0",105572.933037897,160324.769336452,93023.381499912,87005.7529160053,87005.7529160053,49328.283990755,47317.5833278387,41964.9397968801
"DG 40_0",62980.3834795584,101448.863644726,57845.1879812337,41111.2411963647,58535.5165196886,30235.1958660684,32962.545244116,28187.2005027653
"DG 39_4",2445.17648560438,2618.5692247546,1123.46535027962,709.339876200706,1747.80890679262,2511.13227825513,1532.09554720426,1747.80890679262
"DG 44_2",3818.53011743654,4160.77931710736,4160.77931710736,3283.39021609753,3232.93503835219,4349.42677600596,4591.8598427265,3714.17338211416
"DG 37_0",12216.4647436599,19028.7732969402,9081.68863387421,13688.4367662645,9295.15236708354,4286.3938586557,6016.07480905237,3580.15988602528
"DG 41_0",6235.46847186208,8099.14144085014,4772.42405507662,5083.0431779587,4882.87107528133,2945.91375862882,2571.09949565564,2395.43871185329
"DG 42_4",5645.94363028883,5356.20958603735,5035.99303458581,4532.17699145362,6673.20576055493,8099.14144085014,9081.68863387421,7771.93478519984
"DG 42_0",7569.33270324337,14040.7586622347,4932.64129284711,8940.03285088057,8295.86235620433,8295.86235620433,6154.27078515524,7860.68074802649
"DG 33_0",6608.62976664637,13872.4731269625,3900.70519820493,5645.94363028883,5849.40568966629,5718.39377688003,4160.77931710736,3626.56543918095
"DG 44_6",7122.75331455143,13146.3545478315,6414.07589437904,3759.98949699223,7771.93478519984,7998.19358554573,9197.27529763568,2902.82107368187
"DG 30_2",2805.82042661492,4099.0418512615,2995.74208859765,10084.5243079081,1123.46535027962,2670.79515161868,1905.7821167239,4493.79792135863
"DG 39_2",31366.7141337358,57845.1879812337,27087.4875242112,34190.1335949228,32962.545244116,20167.5334982146,15106.4196359861,18352.1386873316
"DG 35_2",1580.02568520813,2716.3062741143,1198.94675430264,4591.8598427265,4066.41069116318,4099.0418512615,2995.74208859765,3393.8336610994
"DG 37_4",1258.62638779867,2052.81109483146,1905.7821167239,2945.91375862882,3393.8336610994,2571.09949565564,4640.22791190902,3515.55305378852
"DG 39_0",5035.99303458581,10333.3513768161,6016.07480905237,5785.05303214301,5950.32139780381,3338.7624604319,2142.46085230216,3082.74948686888
"lysoPC 16_0",397778.30771661,349702.387293389,430834.214148233,358500.314910743,334156.635012901,387270.617647466,526908.240486991,583382.461353452
"lysoPC 18_2",27902.260694099,18898.0750906925,37679.2324284736,37679.2324284736,43127.956453077,58535.5165196886,74499.5627401666,67312.5417816368
"lysoPC 17_0",31911.2149348523,64201.4139458909,41493.4848411557,45464.0372744196,51873.638520381,67312.5417816368,36067.1033115075,40070.6248917404
"lysoPC 20_4",27286.3180180708,15320.5179280477,30997.9822217921,37365.7036328191,26134.6162467604,27670.0936672965,44315.8758536031,50116.3302176068
"lysoPC 22_6",40539.8678624307,22292.2234065992,25721.1527974077,76079.3350327907,38115.5030990945,31656.9988202952,72498.6134936229,77688.3233362909
"lysoPC 18_0",216662.892799858,154857.470859957,223524.973258297,302985.693493846,258509.846527005,325851.575914495,334156.635012901,342721.467376627
"lysoPC 22_0",54302.3577917493,44920.290820394,76079.3350327907,43127.956453077,52725.2571325448,71273.2768878392,62980.3834795584,61913.9655484281
"lysoPC 20_0",17832.1854382187,13472.5799988513,17027.9137424237,14472.8153843723,15903.1636719416,20723.8087261491,25378.2584819943,19203.3429422686
"lysoPC 14_0",3172.08257104545,3043.53122756663,3580.15988602528,3232.93503835219,3130.44089174333,6016.07480905237,5849.40568966629,6235.46847186208
"lysoPC 20_2",4160.77931710736,4219.33294412033,3515.55305378852,3714.17338211416,6905.43634838432,8195.52863417798,8295.86235620433,7673.45763461263
"lysoPC 25_0",8743.03737327956,8837.01907379447,9646.40068994235,6813.54548410478,11273.4736028691,14472.8153843723,12216.4647436599,12332.1794405939
"lysoPC 23_0",9884.69373829821,13688.4367662645,14256.5889273576,10746.7319360256,13688.4367662645,15106.4196359861,14673.5522850476,14040.7586622347
"lysoPC 19_0",3393.8336610994,6016.07480905237,3626.56543918095,5296.8660515496,4640.22791190902,5645.94363028883,4420.77640356408,5296.8660515496
"lysoPC 15_0",6314.38882186503,9081.68863387421,3759.98949699223,4493.79792135863,3900.70519820493,2847.53188855849,3759.98949699223,4349.42677600596
"lysoPC 26_0",10217.9101496267,12216.4647436599,10746.7319360256,7122.75331455143,8940.03285088057,11383.9987105799,7998.19358554573,10458.9206785961
"lysoPC 24_0",157347.172911954,143918.337393831,209636.075455232,133617.563461576,162650.431708373,223524.973258297,230154.557420029,230154.557420029
"lysoPE 22_6",20723.8087261491,14826.5622407911,19884.771516843,32962.545244116,23507.9832798941,24853.3908896281,41111.2411963647,39556.1177807976
"lysoPE 20_4",15508.0548213557,10866.8464510759,15714.0671322331,17514.1100655277,14256.5889273576,16250.1035465472,22544.1877704726,24318.9240043805
"lysoPE 22_4",10746.7319360256,9295.15236708354,15508.0548213557,8743.03737327956,11145.78705092,15903.1636719416,21163.8866669064,21163.8866669064
"lysoPE 18_2",11145.78705092,9413.31698330455,11034.533699935,10333.3513768161,13472.5799988513,18352.1386873316,21891.5537184833,19028.7732969402
"lysoPE 16_0",28993.464117957,29559.6127479216,34190.1335949228,28187.2005027653,27286.3180180708,32254.2506654743,36934.2201731801,37365.7036328191
"lysoPE 18_0",2716.3062741143,3818.53011743654,3955.27834533381,3955.27834533381,3737.0814395532,3998.54115068617,3955.27834533381,4160.77931710736
"lysoPE 24_4",2945.91375862882,2296.76873423381,4420.77640356408,2511.13227825513,2716.3062741143,5035.99303458581,3900.70519820493,5563.09756279768
"lysoPE 20_2",993.774257288947,1258.62638779867,1854.63901314069,753.882161980778,1411.04692391368,2193.16301258689,2089.28813686937,3130.44089174333
"lysoPE 14_0",753.882161980778,753.882161980778,628.582411607803,503.297067667094,426.708547511286,818.182590978346,1123.46535027962,1338.64304046164
"MG 20_0",19550.4786983602,27670.0936672965,18688.3500713106,15903.1636719416,18898.0750906925,10866.8464510759,12031.4387587379,12031.4387587379
"MG 16_0",376139.7399138,397778.30771661,334156.635012901,310104.381309937,302985.693493846,236581.254552268,223524.973258297,180760.130342769
"MG 17_0",6743.26506864414,8376.80072429699,8376.80072429699,5718.39377688003,7294.55431427239,5950.32139780381,5083.0431779587,6813.54548410478
"MG 18_0",977535.754080651,1049340.94581209,937247.526570316,817013.140585522,848209.171972885,791344.876364551,714911.878151464,714911.878151464
"MG 22_0",9197.27529763568,11546.1641882785,11145.78705092,9744.92372465852,10217.9101496267,9081.68863387421,9295.15236708354,6154.27078515524
"MG 20_4",15320.5179280477,2670.79515161868,6743.26506864414,4708.76203337811,10866.8464510759,7017.19469566664,4099.0418512615,6496.08711644631
"MG 18_2",8099.14144085014,8643.23297631198,5950.32139780381,8837.01907379447,11684.1084991369,7194.96845122194,7376.93467832335,8542.10920207519
"MG 19_0",2089.28813686937,2251.81869021205,2052.81109483146,1905.7821167239,2193.16301258689,1992.22622139065,1258.62638779867,1411.04692391368
"MG 21_0",867.322201796512,940.261813181366,940.261813181366,1123.46535027962,1338.64304046164,628.582411607803,426.708547511286,940.261813181366
"MG 23_0",1478.38811687831,1627.74608298836,1478.38811687831,1338.64304046164,818.182590978346,753.882161980778,1198.94675430264,1063.18474221352
"PC 31_0",133617.563461576,112273.979003138,160324.769336452,147710.638309571,116292.48473204,157347.172911954,160324.769336452,152548.141497764
"PC 36_2",848209.171972885,848209.171972885,905287.045004015,714911.878151464,905287.045004015,1110766.02950714,1232916.63256369,1232916.63256369
"PC 44_2",116292.48473204,117834.275494868,143918.337393831,71273.2768878392,114832.463512575,141350.507760114,135780.63468126,117834.275494868
"PC 32_2",117834.275494868,83139.8336152387,177646.613127887,91651.5838497487,108768.194434849,101448.863644726,165784.569108554,107262.312485813
"PC 40_2",358500.314910743,216662.892799858,319910.382681414,195751.994832818,319910.382681414,273593.712628702,358500.314910743,253046.948715379
"PC 29_0",19884.771516843,29882.8347307373,26134.6162467604,16635.8568564016,15508.0548213557,21379.1619379132,26445.6498018445,19884.771516843
"PC 38_4",417740.909957642,358500.314910743,443608.815411446,473514.396323247,387270.617647466,367151.564201145,310104.381309937,387270.617647466
"PC 43_2",51873.638520381,48784.8995749478,51873.638520381,38664.5565837041,64201.4139458909,64201.4139458909,51873.638520381,48111.2995296212
"PC 42_2",873649.246921088,791344.876364551,873649.246921088,583382.461353452,873649.246921088,1232916.63256369,1110766.02950714,937247.526570316
"PC 36_4",1736024.69956758,873649.246921088,2329331.55866882,1170172.54612086,1292322.62228349,1170172.54612086,1292322.62228349,2051052.90424736
"PC 35_0",18793.2125810015,20643.3874596414,20449.0925321278,18963.4241938164,23018.6134517719,17755.8698134576,20643.3874596414,18529.4487020742
"PC 28_0",25721.1527974077,18187.6939136266,41111.2411963647,22544.1877704726,17190.9294185986,27087.4875242112,34190.1335949228,27286.3180180708
"PC 37_4",22124.5566343064,15106.4196359861,14472.8153843723,19203.3429422686,21581.1265728941,20562.9661931337,17832.1854382187,18688.3500713106
"PC 40_6",93023.381499912,88679.2392471334,121912.318370366,236581.254552268,117834.275494868,87005.7529160053,61008.804468095,87005.7529160053
"PC 48_4",5849.40568966629,2511.13227825513,9295.15236708354,5035.99303458581,6608.62976664637,7860.68074802649,8643.23297631198,9295.15236708354
"PC 33_2",27670.0936672965,33717.5256255891,33305.8925619482,17342.0981752716,30997.9822217921,28993.464117957,30997.9822217921,24524.5636861208
"PC 37_0",17027.9137424237,12488.6839695275,16461.9185105772,13146.3545478315,17027.9137424237,15320.5179280477,11684.1084991369,11684.1084991369
"PC 38_6",1170172.54612086,817013.140585522,977535.754080651,1110766.02950714,1521673.43425927,977535.754080651,1362378.17713652,1521673.43425927
"PC 33_0",70138.2473968135,70138.2473968135,114832.463512575,57845.1879812337,88679.2392471334,99347.903225749,97562.7801367842,105572.933037897
"PC 32_0",1521673.43425927,1110766.02950714,1521673.43425927,1232916.63256369,1232916.63256369,1521673.43425927,1521673.43425927,1736024.69956758
"PC 39_6",11684.1084991369,9646.40068994235,13872.4731269625,11034.533699935,17342.0981752716,9884.69373829821,12332.1794405939,20167.5334982146
"PC 38_2",64201.4139458909,66257.3182483344,59264.4870583515,55419.8712241161,51022.0681513153,48111.2995296212,52725.2571325448,54302.3577917493
"PC 40_8",48784.8995749478,27286.3180180708,67312.5417816368,121912.318370366,71273.2768878392,51022.0681513153,103984.583455646,97562.7801367842
"PC 35_4",21480.1442554036,10032.7528810199,42774.0207696728,27186.902771141,20449.0925321278,18963.4241938164,18440.7936947029,34593.2868709953
"PC 15_0",30235.1958660684,51022.0681513153,32627.1825471288,30997.9822217921,27902.260694099,18187.6939136266,26862.5909896027,23720.7146673046
"PC 35_2",37679.2324284736,37679.2324284736,28581.5931744224,24853.3908896281,39556.1177807976,39077.7767939668,40070.6248917404,46346.1451413675
"PC 46_6",11383.9987105799,5785.05303214301,7294.55431427239,7194.96845122194,15320.5179280477,13021.0867705264,10585.4030459485,10333.3513768161
"PC 41_2",61008.804468095,49328.283990755,70138.2473968135,40539.8678624307,65353.683728467,60166.5128489118,49328.283990755,57845.1879812337
"PC 44_4",223524.973258297,195751.994832818,184121.861896287,138334.780008591,190994.770565509,162650.431708373,154857.470859957,135780.63468126
"PC 44_12",9513.54906936368,5239.63454479781,8837.01907379447,8542.10920207519,9197.27529763568,13688.4367662645,16067.463872993,13472.5799988513
"PC 34_4",23998.0735836947,6743.26506864414,74499.5627401666,16789.57049199,34456.083497354,28581.5931744224,31366.7141337358,22544.1877704726
"PC 40_4",22877.4895171125,37365.7036328191,40070.6248917404,35588.2730403146,30235.1958660684,21581.1265728941,17679.5541886965,19718.7150950917
"PC 39_8",9744.92372465852,7294.55431427239,14826.5622407911,11840.9053550274,8099.14144085014,13311.2638896907,13872.4731269625,13021.0867705264
"PC 38_8",2347.39096477112,3172.08257104545,3671.55825258607,2995.74208859765,1198.94675430264,1063.18474221352,2395.43871185329,2347.39096477112
"PC 39_4",10866.8464510759,1992.22622139065,3283.39021609753,7294.55431427239,5356.20958603735,3818.53011743654,4286.3938586557,4882.87107528133
"PC 34_2",16635.8568564016,21379.1619379132,16635.8568564016,12781.7273109445,20167.5334982146,12488.6839695275,11273.4736028691,16067.463872993
"PC 37_2",9646.40068994235,14673.5522850476,8195.52863417798,6496.08711644631,5296.8660515496,9413.31698330455,8195.52863417798,10746.7319360256
"PC 42_4",26658.0812070253,27902.260694099,26862.5909896027,13872.4731269625,22544.1877704726,36539.0195933176,27087.4875242112,31911.2149348523
"PC 43_4",22544.1877704726,31656.9988202952,11383.9987105799,16461.9185105772,21163.8866669064,13472.5799988513,13021.0867705264,11546.1641882785
"PC 46_4",19390.5442069508,20167.5334982146,21581.1265728941,14673.5522850476,18529.4487020742,26445.6498018445,20167.5334982146,26445.6498018445
"PC 32_4",3580.15988602528,5083.0431779587,3082.74948686888,2764.03066801077,3515.55305378852,2089.28813686937,1808.20348206218,2193.16301258689
"PC 45_4",6813.54548410478,6154.27078515524,9884.69373829821,14972.2221675654,16635.8568564016,4882.87107528133,3232.93503835219,14826.5622407911
"plasmenyl-PC 18_0",32254.2506654743,21163.8866669064,36067.1033115075,26134.6162467604,31911.2149348523,52725.2571325448,61913.9655484281,56628.2489575549
"plasmenyl-PC 22_0",325.045423786159,228.162425794145,228.162425794145,228.162425794145,569.981663224656,426.708547511286,628.582411607803,753.882161980778
"plasmenyl-PC 24_0",940.261813181366,709.339876200706,503.297067667094,867.322201796512,993.774257288947,993.774257288947,818.182590978346,818.182590978346
"PE 36_2",804179.008475037,726573.790066376,832611.156279203,618974.656010512,764790.289172919,832611.156279203,921267.285787166,889468.145962552
"PE 38_4",285600.905882484,230154.557420029,273593.712628702,258509.846527005,236581.254552268,258509.846527005,265090.481626636,273593.712628702
"PE 40_6",143918.337393831,110803.361269483,154857.470859957,184121.861896287,157347.172911954,95139.118409496,113564.066355539,138334.780008591
"PE 36_4",103984.583455646,138334.780008591,105572.933037897,99347.903225749,90509.0858914233,108768.194434849,133617.563461576,129987.126107419
"PE 38_2",17679.5541886965,16067.463872993,22292.2234065992,17832.1854382187,12488.6839695275,16067.463872993,25721.1527974077,19550.4786983602
"PE 42_2",60166.5128489118,56628.2489575549,48784.8995749478,34456.083497354,61008.804468095,62980.3834795584,65353.683728467,52725.2571325448
"PE 34_2",168295.152220327,123658.23604849,190994.770565509,114832.463512575,119966.049617415,177646.613127887,177646.613127887,160324.769336452
"PE 21_4",5950.32139780381,6905.43634838432,5239.63454479781,4640.22791190902,5183.99948461113,3955.27834533381,2902.82107368187,3955.27834533381
"PE 40_2",35072.2571670287,23998.0735836947,26445.6498018445,29559.6127479216,36934.2201731801,33717.5256255891,39077.7767939668,35588.2730403146
"PE 40_4",28581.5931744224,28187.2005027653,33717.5256255891,19550.4786983602,29882.8347307373,26862.5909896027,30235.1958660684,27087.4875242112
"PE 19_2",3082.74948686888,3443.64112843136,2395.43871185329,993.774257288947,2670.79515161868,2995.74208859765,2670.79515161868,2089.28813686937
"PE 23_4",4532.17699145362,5718.39377688003,6813.54548410478,3043.53122756663,4420.77640356408,3393.8336610994,4349.42677600596,1854.63901314069
"PE 35_2",7194.96845122194,6608.62976664637,7017.19469566664,5480.36106743619,7455.48388835241,8376.80072429699,7860.68074802649,8743.03737327956
"PE 17_0",4349.42677600596,4349.42677600596,2847.53188855849,2670.79515161868,2805.82042661492,2395.43871185329,2445.17648560438,3759.98949699223
"PE 38_6",195751.994832818,141350.507760114,138334.780008591,168295.152220327,246152.157378492,129987.126107419,180760.130342769,168295.152220327
"PE 32_2",2764.03066801077,1953.22247719673,5296.8660515496,2847.53188855849,2142.46085230216,1854.63901314069,1992.22622139065,1532.09554720426
"plasmenyl-PE 38_4",209636.075455232,177646.613127887,195751.994832818,149931.595090387,170896.657612624,184121.861896287,190994.770565509,186702.776833345
"plasmenyl-PE 18_0",16789.57049199,12031.4387587379,18352.1386873316,18688.3500713106,14826.5622407911,19550.4786983602,26658.0812070253,27670.0936672965
"plasmenyl-PE 34_2",147710.638309571,114832.463512575,149931.595090387,93023.381499912,91651.5838497487,97562.7801367842,93023.381499912,88679.2392471334
"plasmenyl-PE 20_0",10458.9206785961,7998.19358554573,17514.1100655277,9980.98145413166,14673.5522850476,17514.1100655277,23507.9832798941,23507.9832798941
"plasmenyl-PE 40_6",180760.130342769,119966.049617415,186702.776833345,108768.194434849,123658.23604849,168295.152220327,216662.892799858,143918.337393831
"plasmenyl-PE 36_2",3499420.79693566,3218141.73962487,3499420.79693566,3218141.73962487,3362555.33742302,3690060.34754154,3690060.34754154,4686841.93355262
"plasmenyl-PE 38_6",114832.463512575,90509.0858914233,119966.049617415,101448.863644726,129987.126107419,165784.569108554,168295.152220327,177646.613127887
"plasmenyl-PE 22_0",3626.56543918095,3082.74948686888,4066.41069116318,3393.8336610994,3443.64112843136,5785.05303214301,5718.39377688003,7194.96845122194
"plasmenyl-PE 38_2",40070.6248917404,36539.0195933176,36539.0195933176,27670.0936672965,31366.7141337358,28187.2005027653,38115.5030990945,26658.0812070253
"plasmenyl-PE 40_4",141350.507760114,121912.318370366,200904.581953389,90509.0858914233,149931.595090387,180760.130342769,195751.994832818,204933.035648811
"plasmenyl-PE 42_4",41493.4848411557,36934.2201731801,44315.8758536031,25127.7562827948,37365.7036328191,42420.0850862687,41964.9397968801,44315.8758536031
"plasmenyl-PE 40_2",33717.5256255891,26445.6498018445,26658.0812070253,15106.4196359861,26862.5909896027,23720.7146673046,37679.2324284736,26134.6162467604
