"Sample","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"DG 34_2",310104.381309937,180760.130342769,119966.049617415,367151.564201145,253046.948715379,273593.712628702,319910.382681414,334156.635012901
"DG 38_4",738235.701981288,526908.240486991,817013.140585522,714911.878151464,817013.140585522,443608.815411446,738235.701981288,738235.701981288
"DG 32_2",72498.6134936229,38115.5030990945,29882.8347307373,74499.5627401666,21379.1619379132,22877.4895171125,15320.5179280477,26134.6162467604
"DG 40_2",7771.93478519984,6314.38882186503,7376.93467832335,4882.87107528133,8542.10920207519,4932.64129284711,4286.3938586557,6813.54548410478
"DG 36_2",342721.467376627,273593.712628702,200904.581953389,430834.214148233,491092.55596236,376139.7399138,605884.428076666,656031.417080701
"DG 36_0",5772658.72700205,5772658.72700205,5772658.72700205,5772658.72700205,4364115.82260871,5772658.72700205,5772658.72700205,4686841.93355262
"DG 32_0",33305.8925619482,99347.903225749,54302.3577917493,88679.2392471334,48784.8995749478,44315.8758536031,97562.7801367842,36539.0195933176
"DG 36_4",57845.1879812337,44920.290820394,65353.683728467,90509.0858914233,61008.804468095,41964.9397968801,70138.2473968135,71273.2768878392
"DG 35_0",25378.2584819943,93023.381499912,59264.4870583515,56628.2489575549,34456.083497354,36934.2201731801,65353.683728467,35072.2571670287
"DG 42_2",14040.7586622347,12781.7273109445,18187.6939136266,11273.4736028691,20723.8087261491,12488.6839695275,16635.8568564016,18187.6939136266
"DG 34_0",714911.878151464,1736024.69956758,1362378.17713652,1521673.43425927,1110766.02950714,937247.526570316,1889416.98346053,1049340.94581209
"DG 40_6",13311.2638896907,9980.98145413166,16789.57049199,17832.1854382187,18187.6939136266,17679.5541886965,18898.0750906925,13872.4731269625
"DG 40_4",20723.8087261491,19203.3429422686,28581.5931744224,34190.1335949228,26862.5909896027,21163.8866669064,35588.2730403146,31656.9988202952
"DG 38_2",15320.5179280477,8837.01907379447,15714.0671322331,22544.1877704726,15903.1636719416,11546.1641882785,27286.3180180708,22544.1877704726
"DG 38_6",12618.8333493546,8099.14144085014,10084.5243079081,16250.1035465472,11840.9053550274,8643.23297631198,9081.68863387421,9884.69373829821
"DG 38_0",74499.5627401666,253046.948715379,162650.431708373,165784.569108554,93023.381499912,113564.066355539,180760.130342769,80589.2574650181
