"","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db+_2225","Ctrl_BKS_db+_2226","Ctrl_BKS_db+_2227","Ctrl_BKS_db+_2231","HF_BKS_db+_2239","HF_BKS_db+_2241","HF_BKS_db+_2242","HF_BKS_db+_2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db+_2273","Ctrl_BL6_db+_2274","Ctrl_BL6_db+_2275","Ctrl_BL6_db+_2279","HF_BL6_db+_2286","HF_BL6_db+_2287","HF_BL6_db+_2288","HF_BL6_db+_2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob+_2316","Ctrl_BTBR_ob+_2317","Ctrl_BTBR_ob+_2318","Ctrl_BTBR_ob+_2320","HF_BTBR_ob+_2329","HF_BTBR_ob+_2331","HF_BTBR_ob+_2333","HF_BTBR_ob+_2334","Test Pool_Negatve_01","Test Pool_Negatve_02","Test Pool_Negatve_03","Test Pool_Negatve_04","Test Pool_Negatve_05","Test Pool_Negatve_06","Test Pool_Negatve_07"
"Label","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","HF_BKS","HF_BKS","HF_BKS","HF_BKS","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","HF_BL6","HF_BL6","HF_BL6","HF_BL6","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","QC","QC","QC","QC","QC","QC","QC"
"IS PA 34:0 ;[M-H]-","8680.904184","11086.09571","4618.654469","20171.11606","8699.073701","63970.26209","8168.472748","11094.33154","16259.66469","18234.46705","11310.48456","6501.794037","25496.69429","10627.87599","2417.022739","7211.426938","2452.660555","1221.265804","3260.318886","14415.67004","5081.592897","5831.501019","4181.164761","6491.449582","6151.5021","8892.056689","13471.48692","13073.89738","8756.22492","26874.38002","30355.69085","20668.64687","6487.353432","7796.431051","16873.35897","50247.6567","30920.85837","7975.835614","16320.98639","22887.19257","10192.52485","20424.44831","7467.447749","17613.78983","3917.362161","24760.47625","15865.67489","11951.10141","11599.01079","8634.10621","14383.57123","3851.649483","11954.33571","21184.74908","9814.896163"
"IS PC 34:0;[M-Ac-H]-","675613.6166","776946.8664","507786.3708","648253.571","464474.5529","495634.049","522184.294","691259.1749","661722.9563","577802.3215","784831.3217","947127.3683","644237.2533","946234.9573","498527.0281","498846.7281","665440.4484","491725.3663","163710.0692","588086.5702","638146.0748","663135.7013","440554.0102","609570.4393","463987.5571","412549.9202","983910.7084","943524.8237","677342.5848","487797.5341","1048016.047","1076259.728","493902.2763","580232.4103","641000.2627","397465.1497","586505.4322","966251.0244","967902.1732","564366.5105","490340.2467","436811.7835","853341.8088","573319.6241","432529.7383","450175.0413","646809.0861","943768.2189","1070151.613","921825.0116","716022.3248","540698.152","484928.7496","457739.1992","435226.9673"
"IS PE 34:0 ;[M-H]-","2467193.875","3482323.788","1698050.917","3603965.222","2413288.808","2300116.98","2016851.083","2279264.596","2249923.448","2285912.3","3769448.179","4515208.615","2998549.053","3119043.883","1944521.986","3614943.471","3768480.255","2117193.184","627591.3079","3275767.219","3499242.458","2875051.741","2268165.256","4181882.309","3323003.138","2058340.923","1864511.89","2146032.775","2167368.385","3486031.939","4051823.798","9487758.181","2643190.069","3429736.694","4198381.878","4785501.206","5670284.419","2322184.014","3352371.536","2612716.354","2921723.382","1600096.532","3040949.503","1903203.271","2413474.264","2561273.845","2292516.392","3282322.762","4462755.335","3866361.176","3176408.601","2475098.423","2271177.543","1868466.475","1769192.834"
"IS PG 34:0 ;[M-H]-","619529.6152","862493.5488","416470.1979","570554.9489","441687.3467","797160.7898","527630.5042","681544.7563","641527.3732","283676.7174","631090.7366","904872.7083","507544.4802","959817.5509","504995.6463","1493659.607","421667.5609","403845.0834","118690.7159","494012.4609","902118.1246","466903.9336","439186.9513","1030306.254","406779.2091","939188.5101","517920.6879","663029.6414","316101.1784","1381142.456","984408.6287","755483.6341","250631.3746","650871.4361","527453.6326","218490.6334","373361.507","652603.5531","925944.4808","743533.067","515992.0301","699440.2323","977675.3247","641618.6062","298050.9447","732165.3422","557274.0955","776646.248","1138548.094","891276.2649","710700.6721","443091.4196","427316.5279","372332.0564","331211.6111"
"IS PI 37:4 ;[M-H]-","388441.2974","272110.1495","292675.2081","250923.9199","86916.72729","321664.0194","374675.7883","400683.0963","270065.9495","175815.4563","436634.6509","446876.3512","370877.4586","398422.2777","333393.5698","371138.3196","99383.10943","278576.8251","36050.71626","183537.4921","343532.41","477028.2542","179074.7995","203193.7226","110206.9705","349761.1215","439528.8796","590945.9571","211415.4074","145442.0207","736747.5019","445822.9394","187673.0342","264035.98","307555.4255","68968.40796","249655.6519","679978.6522","647244.8069","333060.4941","205331.4727","383031.6434","662818.9518","399262.9652","99871.74831","215453.5295","423762.5942","749986.6387","575322.349","468232.8014","351544.99","231941.5055","198342.5128","202987.3729","174097.4967"
"IS PS 34:0 ;[M-H]-","3463792.622","2494302.938","2272194.299","1486239.226","3491885.873","3033155.124","4000597.006","1373215.123","1691168.532","3056319.114","2329221.466","2971130.174","1783281.732","4128156.138","5254524.326","2353334.191","4101419.94","1738101.733","3051449.824","3233065.241","3438738.423","1686965.524","3396003.001","2988530.739","3518583.949","1919785.467","3305544.065","3821073.131","2336662.121","2806648.393","1720717.944","2845079.312","3251563.678","1321614.15","1672524.348","3728527.519","1628062.202","2137175.941","2403774.379","1297192.684","2334543.673","1485634.716","3694258.459","1049756.041","3533557.287","2898505.41","1479993.293","2471963.19","1951574.778","1200785.748","3180443.759","5645666.252","3640038.878","1098806.839","3634073.599"
"CerP 32:1; [M-H]-@5.16","5007.217471","971.3700846","3287.418308","2846.822061","1542.268098","1630.837117","9063.055571","12634.7893","3224.76453","1660.860219","3825.072199","2132.172854","2309.306696","3395.590118","1058.719582","2179.235409","3402.548623","4319.828512","1074.559903","3668.190726","2288.685045","2857.955597","1549.028117","2448.596523","2320.357645","3540.272772","3254.861274","5811.390634","3751.576675","1905.193135","2951.795696","2063.109375","2380.559133","1810.696267","1803.267056","1059.44723","433.8335603","3336.577676","2695.276659","3153.182183","2554.012472","3608.187256","2154.128461","1773.461092","1063.713357","4289.701741","2903.18644","2547.45806","4541.092525","4415.307084","4983.14598","4616.24415","1447.003599","1863.164028","945.8302126"
"CerP 33:1; [M-H]-@5.51","1933.462012","2319.062475","821.8773821","3596.740044","1717.476272","1976.009974","2152.898301","5942.887179","4027.040529","2722.614182","2191.965117","3274.675585","4129.162108","1961.919683","4277.151997","1583.626965","879.5929351","937.7382657","1289.626126","2784.566378","2003.199625","4243.910722","1952.910562","3902.879884","2487.654904","4702.910823","8702.019868","6089.165148","3316.797159","3335.19534","5011.683197","4067.046258","1586.42062","6480.302798","3366.894793","4805.415003","3366.515821","1801.619288","3511.299447","3823.195579","1060.491628","4773.130056","5627.880383","3237.348833","1179.47906","3095.3875","3026.20335","4344.146086","3749.901088","3003.054923","2762.728265","2817.912812","3989.718052","1806.800271","5012.83365"
"CerP 34:1; [M-H]-@5.85","7609.8786","15399.27351","8523.336425","5223.153685","8813.773693","6659.275695","5145.01848","15892.3749","5383.667839","9521.704576","8376.14733","9779.678651","8976.117697","10031.51799","5092.200117","11247.44552","13327.02894","6851.298529","7730.234236","9264.720905","10881.09201","17934.88885","10820.58539","11988.78925","7741.173596","15233.75444","33679.74996","22826.67641","16378.60408","11204.87405","16796.12888","13053.30922","22097.32438","19765.37727","18807.95273","16933.7847","13461.8517","18414.74996","23310.83204","13580.26968","13350.45851","12483.57908","13651.15817","15658.68531","7460.139605","18794.64653","12560.5631","30519.21298","16850.93006","10936.73211","11675.16339","12019.21063","13079.58714","6918.690708","9343.685031"
"CerP 34:2; [M-H]-@5.34","5308.822768","5300.166947","1801.948943","2522.047171","3947.880232","2370.572911","1602.43052","4310.058791","3036.80276","1565.927545","1243.642375","1290.528982","1208.977935","1333.075693","2165.163898","3054.344652","3753.286921","3147.037056","1644.526668","2795.719161","2415.673339","1364.235794","1792.23623","3259.492437","1798.946762","4523.392163","3139.880533","1558.640044","8886.526294","1166.70469","1761.135014","1257.558751","3287.399041","3358.439601","1565.198566","3328.470733","977.5596483","2222.363683","2175.104907","1548.840139","3297.725671","2937.155989","2311.769331","1555.887616","2187.634069","1760.811113","1398.399503","2177.55263","5224.618212","2266.483619","3914.551843","3256.394609","2572.39511","2297.635076","1797.505611"
