"","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db+_2225","Ctrl_BKS_db+_2226","Ctrl_BKS_db+_2227","Ctrl_BKS_db+_2231","HF_BKS_db+_2239","HF_BKS_db+_2241","HF_BKS_db+_2242","HF_BKS_db+_2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db+_2273","Ctrl_BL6_db+_2274","Ctrl_BL6_db+_2275","Ctrl_BL6_db+_2279","HF_BL6_db+_2286","HF_BL6_db+_2287","HF_BL6_db+_2288","HF_BL6_db+_2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob+_2316","Ctrl_BTBR_ob+_2317","Ctrl_BTBR_ob+_2318","Ctrl_BTBR_ob+_2320","HF_BTBR_ob+_2329","HF_BTBR_ob+_2331","HF_BTBR_ob+_2333","HF_BTBR_ob+_2334","Test Pool_Negatve_01","Test Pool_Negatve_02","Test Pool_Negatve_03","Test Pool_Negatve_04","Test Pool_Negatve_05","Test Pool_Negatve_06","Test Pool_Negatve_07"
"Label","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","HF_BKS","HF_BKS","HF_BKS","HF_BKS","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","HF_BL6","HF_BL6","HF_BL6","HF_BL6","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","QC","QC","QC","QC","QC","QC","QC"
"IS PA 34:0 ;[M-H]-"," 8680.904","11086.096"," 4618.654","20171.116"," 8699.074","63970.262"," 8168.473","11094.332","16259.665","18234.467","11310.485"," 6501.794","25496.694","10627.876"," 2417.023"," 7211.427"," 2452.661"," 1221.266"," 3260.319","14415.670"," 5081.593"," 5831.501"," 4181.165"," 6491.450"," 6151.502"," 8892.057","13471.487","13073.897"," 8756.225","26874.380","30355.691","20668.647"," 6487.353"," 7796.431","16873.359","50247.657","30920.858"," 7975.836","16320.986","22887.193","10192.525","20424.448"," 7467.448","17613.790"," 3917.362","24760.476","15865.675","11951.101","11599.011"," 8634.106","14383.571"," 3851.649","11954.336","21184.749"," 9814.896"
"IS PC 34:0;[M-Ac-H]-"," 675613.6"," 776946.9"," 507786.4"," 648253.6"," 464474.6"," 495634.0"," 522184.3"," 691259.2"," 661723.0"," 577802.3"," 784831.3"," 947127.4"," 644237.3"," 946235.0"," 498527.0"," 498846.7"," 665440.4"," 491725.4"," 163710.1"," 588086.6"," 638146.1"," 663135.7"," 440554.0"," 609570.4"," 463987.6"," 412549.9"," 983910.7"," 943524.8"," 677342.6"," 487797.5","1048016.0","1076259.7"," 493902.3"," 580232.4"," 641000.3"," 397465.1"," 586505.4"," 966251.0"," 967902.2"," 564366.5"," 490340.2"," 436811.8"," 853341.8"," 573319.6"," 432529.7"," 450175.0"," 646809.1"," 943768.2","1070151.6"," 921825.0"," 716022.3"," 540698.2"," 484928.7"," 457739.2"," 435227.0"
"IS PE 34:0 ;[M-H]-","2467193.9","3482323.8","1698050.9","3603965.2","2413288.8","2300117.0","2016851.1","2279264.6","2249923.4","2285912.3","3769448.2","4515208.6","2998549.1","3119043.9","1944522.0","3614943.5","3768480.3","2117193.2"," 627591.3","3275767.2","3499242.5","2875051.7","2268165.3","4181882.3","3323003.1","2058340.9","1864511.9","2146032.8","2167368.4","3486031.9","4051823.8","9487758.2","2643190.1","3429736.7","4198381.9","4785501.2","5670284.4","2322184.0","3352371.5","2612716.4","2921723.4","1600096.5","3040949.5","1903203.3","2413474.3","2561273.8","2292516.4","3282322.8","4462755.3","3866361.2","3176408.6","2475098.4","2271177.5","1868466.5","1769192.8"
"IS PG 34:0 ;[M-H]-"," 619529.6"," 862493.5"," 416470.2"," 570554.9"," 441687.3"," 797160.8"," 527630.5"," 681544.8"," 641527.4"," 283676.7"," 631090.7"," 904872.7"," 507544.5"," 959817.6"," 504995.6","1493659.6"," 421667.6"," 403845.1"," 118690.7"," 494012.5"," 902118.1"," 466903.9"," 439187.0","1030306.3"," 406779.2"," 939188.5"," 517920.7"," 663029.6"," 316101.2","1381142.5"," 984408.6"," 755483.6"," 250631.4"," 650871.4"," 527453.6"," 218490.6"," 373361.5"," 652603.6"," 925944.5"," 743533.1"," 515992.0"," 699440.2"," 977675.3"," 641618.6"," 298050.9"," 732165.3"," 557274.1"," 776646.2","1138548.1"," 891276.3"," 710700.7"," 443091.4"," 427316.5"," 372332.1"," 331211.6"
"IS PI 37:4 ;[M-H]-","388441.30","272110.15","292675.21","250923.92"," 86916.73","321664.02","374675.79","400683.10","270065.95","175815.46","436634.65","446876.35","370877.46","398422.28","333393.57","371138.32"," 99383.11","278576.83"," 36050.72","183537.49","343532.41","477028.25","179074.80","203193.72","110206.97","349761.12","439528.88","590945.96","211415.41","145442.02","736747.50","445822.94","187673.03","264035.98","307555.43"," 68968.41","249655.65","679978.65","647244.81","333060.49","205331.47","383031.64","662818.95","399262.97"," 99871.75","215453.53","423762.59","749986.64","575322.35","468232.80","351544.99","231941.51","198342.51","202987.37","174097.50"
"IS PS 34:0 ;[M-H]-","3463793","2494303","2272194","1486239","3491886","3033155","4000597","1373215","1691169","3056319","2329221","2971130","1783282","4128156","5254524","2353334","4101420","1738102","3051450","3233065","3438738","1686966","3396003","2988531","3518584","1919785","3305544","3821073","2336662","2806648","1720718","2845079","3251564","1321614","1672524","3728528","1628062","2137176","2403774","1297193","2334544","1485635","3694258","1049756","3533557","2898505","1479993","2471963","1951575","1200786","3180444","5645666","3640039","1098807","3634074"
"CerP 32:1; [M-H]-@5.16"," 5007.2175","  971.3701"," 3287.4183"," 2846.8221"," 1542.2681"," 1630.8371"," 9063.0556","12634.7893"," 3224.7645"," 1660.8602"," 3825.0722"," 2132.1729"," 2309.3067"," 3395.5901"," 1058.7196"," 2179.2354"," 3402.5486"," 4319.8285"," 1074.5599"," 3668.1907"," 2288.6850"," 2857.9556"," 1549.0281"," 2448.5965"," 2320.3576"," 3540.2728"," 3254.8613"," 5811.3906"," 3751.5767"," 1905.1931"," 2951.7957"," 2063.1094"," 2380.5591"," 1810.6963"," 1803.2671"," 1059.4472","  433.8336"," 3336.5777"," 2695.2767"," 3153.1822"," 2554.0125"," 3608.1873"," 2154.1285"," 1773.4611"," 1063.7134"," 4289.7017"," 2903.1864"," 2547.4581"," 4541.0925"," 4415.3071"," 4983.1460"," 4616.2442"," 1447.0036"," 1863.1640","  945.8302"
"CerP 33:1; [M-H]-@5.51","1933.4620","2319.0625"," 821.8774","3596.7400","1717.4763","1976.0100","2152.8983","5942.8872","4027.0405","2722.6142","2191.9651","3274.6756","4129.1621","1961.9197","4277.1520","1583.6270"," 879.5929"," 937.7383","1289.6261","2784.5664","2003.1996","4243.9107","1952.9106","3902.8799","2487.6549","4702.9108","8702.0199","6089.1651","3316.7972","3335.1953","5011.6832","4067.0463","1586.4206","6480.3028","3366.8948","4805.4150","3366.5158","1801.6193","3511.2994","3823.1956","1060.4916","4773.1301","5627.8804","3237.3488","1179.4791","3095.3875","3026.2033","4344.1461","3749.9011","3003.0549","2762.7283","2817.9128","3989.7181","1806.8003","5012.8336"
"CerP 34:1; [M-H]-@5.85"," 7609.879","15399.274"," 8523.336"," 5223.154"," 8813.774"," 6659.276"," 5145.018","15892.375"," 5383.668"," 9521.705"," 8376.147"," 9779.679"," 8976.118","10031.518"," 5092.200","11247.446","13327.029"," 6851.299"," 7730.234"," 9264.721","10881.092","17934.889","10820.585","11988.789"," 7741.174","15233.754","33679.750","22826.676","16378.604","11204.874","16796.129","13053.309","22097.324","19765.377","18807.953","16933.785","13461.852","18414.750","23310.832","13580.270","13350.459","12483.579","13651.158","15658.685"," 7460.140","18794.647","12560.563","30519.213","16850.930","10936.732","11675.163","12019.211","13079.587"," 6918.691"," 9343.685"
"CerP 34:2; [M-H]-@5.34","5308.8228","5300.1669","1801.9489","2522.0472","3947.8802","2370.5729","1602.4305","4310.0588","3036.8028","1565.9275","1243.6424","1290.5290","1208.9779","1333.0757","2165.1639","3054.3447","3753.2869","3147.0371","1644.5267","2795.7192","2415.6733","1364.2358","1792.2362","3259.4924","1798.9468","4523.3922","3139.8805","1558.6400","8886.5263","1166.7047","1761.1350","1257.5588","3287.3990","3358.4396","1565.1986","3328.4707"," 977.5596","2222.3637","2175.1049","1548.8401","3297.7257","2937.1560","2311.7693","1555.8876","2187.6341","1760.8111","1398.3995","2177.5526","5224.6182","2266.4836","3914.5518","3256.3946","2572.3951","2297.6351","1797.5056"
