"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"CerP 34:1; [M-H]-@5.85",7254.92661472727,17600.0296327273,7599.69885636364,4696.63499465455,11777.8953272727,6374.92344745454,5454.47434418182,12087.3563745455,4696.63499465455,6094.27259472727,8500.65318836364,7940.51515927273,7599.69885636364,9106.39652545455,3872.34405290909,12378.3137418182,14190.8863109091,6094.27259472727,21920.0518236364,9851.92554545455,11777.8953272727,20520.7712290909,11235.9546090909,12953.8671654545,10203.8374272727,20520.7712290909,31954.7877272727,17600.0296327273,17317.2069272727,24837.3356909091,13590.0947509091,13590.0947509091,22371.1972909091,22371.1972909091,16715.8519709091,25982.6688545455,15384.1900181818,15983.7219818182,23081.9237636364,14190.8863109091,14764.7669272727,18876.3971054545,16715.8519709091,14764.7669272727,9485.01359090909,23081.9237636364,13590.0947509091,31954.7877272727,13844.0676381818,9106.39652545455,8500.65318836364,9851.92554545455,10889.6398345455,6094.27259472727,8225.74937090909
"CerP 40:1; [M-H]-@7.69",87734.0242,84687.8401454545,59196.6667254545,55367.3559636364,73847.5967290909,74910.2310363636,102005.747150909,75984.0302181818,82138.5575090909,57269.8810745455,93664.2092109091,78163.6084254545,70828.8490727273,52719.8287272727,53651.2221272727,38118.9479581818,103651.992436364,63147.8150727273,129128.681072727,87734.0242,89160.5603509091,93664.2092109091,58211.9495836364,55367.3559636364,49254.6504636364,118012.069658182,35969.0940618182,58211.9495836364,93664.2092109091,192807.274690909,108668.764163636,222223.408654545,165586.455581818,106755.761490909,87734.0242,200722.905381818,119571.566285455,80876.7953527273,121103.660169091,103651.992436364,129128.681072727,129128.681072727,123406.574332727,110923.84088,63147.8150727273,108668.764163636,66775.3748636364,78163.6084254545,102005.747150909,69010.7775272727,106755.761490909,98497.51518,72866.9151654545,64961.5754854545,67927.7699636364
"CL 68:0; [M-2H](2-)@7.60",18587.7054854545,40727.4440727273,18587.7054854545,19454.9507381818,22702.7971363636,12641.9272836364,15685.6745418182,14190.8863109091,6626.63622727273,28443.9839327273,25191.4138545455,29287.9707436364,25982.6688545455,35969.0940618182,14764.7669272727,63147.8150727273,31954.7877272727,10889.6398345455,39243.7621454545,18876.3971054545,23081.9237636364,38691.0477236364,18263.7496,19853.05966,34999.6499818182,20214.1686854545,15983.7219818182,14190.8863109091,29287.9707436364,23880.3388490909,18876.3971054545,29287.9707436364,23402.6223636364,37545.7085145455,60226.4174727273,337799.234709091,62031.2931090909,9106.39652545455,20214.1686854545,16715.8519709091,38691.0477236364,38118.9479581818,21491.6465945455,21491.6465945455,36483.7242545455,44927.3891090909,22702.7971363636,29758.4751527273,17600.0296327273,23402.6223636364,24837.3356909091,38118.9479581818,25553.6257436364,20857.7649,34999.6499818182
"CL 68:1; [M-2H](2-)@5.86",15384.1900181818,13844.0676381818,23880.3388490909,10498.8054963636,31492.8251054545,16373.9728734545,10889.6398345455,20857.7649,5736.96142218182,15685.6745418182,11479.4335054545,7254.92661472727,11479.4335054545,6374.92344745454,4971.074438,14764.7669272727,11777.8953272727,10203.8374272727,12641.9272836364,12641.9272836364,10203.8374272727,14438.0224727273,12378.3137418182,18876.3971054545,14190.8863109091,41245.6346454545,17931.6382,18876.3971054545,24223.8757327273,18263.7496,21185.9942018182,23081.9237636364,28866.8427290909,21185.9942018182,18587.7054854545,22371.1972909091,8500.65318836364,15685.6745418182,10889.6398345455,24837.3356909091,20857.7649,11479.4335054545,17931.6382,13317.7002018182,11777.8953272727,25982.6688545455,21491.6465945455,12953.8671654545,9851.92554545455,14190.8863109091,12378.3137418182,15071.2004309091,21920.0518236364,20520.7712290909,21185.9942018182
"CL 68:2; [M-2H](2-)@7.38",53651.2221272727,204734.288925455,87734.0242,105450.486290909,114419.279907273,64016.5934727273,69985.03186,53651.2221272727,24538.3401090909,147535.911127273,92035.2746545454,102005.747150909,150087.574685455,137527.959470909,76968.6514181818,139701.617801818,154258.297036364,76968.6514181818,247637.570690909,65970.5406,100284.475327273,139701.617801818,123406.574332727,98497.51518,217348.561309091,121103.660169091,89160.5603509091,46252.17302,147535.911127273,142096.445236364,70828.8490727273,144873.183716364,92035.2746545454,162643.858236364,119571.566285455,204734.288925455,160034.650352727,43646.6938545455,79391.2009818182,86225.5469636364,165586.455581818,162643.858236364,93664.2092109091,89160.5603509091,160034.650352727,213598.377543636,114419.279907273,87734.0242,139701.617801818,129128.681072727,176486.786145455,196297.806127273,157359.994498182,139701.617801818,150087.574685455
"CL 68:6; [M-2H](2-)@5.51",17317.2069272727,17040.7283909091,34476.8470545455,33429.8404363636,17317.2069272727,69010.7775272727,16715.8519709091,52059.9616,23081.9237636364,27141.4456363636,33429.8404363636,27973.4361236364,23081.9237636364,16715.8519709091,27973.4361236364,11235.9546090909,7599.69885636364,16373.9728734545,6626.63622727273,25982.6688545455,10889.6398345455,29758.4751527273,12087.3563745455,15983.7219818182,12641.9272836364,19454.9507381818,24223.8757327273,32911.8687090909,17931.6382,17040.7283909091,43646.6938545455,25553.6257436364,14190.8863109091,10498.8054963636,10498.8054963636,7940.51515927273,11479.4335054545,17600.0296327273,12378.3137418182,27546.7334909091,33429.8404363636,10498.8054963636,21920.0518236364,20214.1686854545,12641.9272836364,15983.7219818182,21920.0518236364,19454.9507381818,18876.3971054545,17040.7283909091,20520.7712290909,12378.3137418182,12378.3137418182,26335.2579181818,22702.7971363636
"CL 70:1; [M-2H](2-)@6.08",42339.7650545455,19853.05966,47079.0264945455,61236.1969418182,118012.069658182,76968.6514181818,60226.4174727273,82138.5575090909,66775.3748636364,60226.4174727273,36939.0280363636,41245.6346454545,43090.7831818182,60226.4174727273,44927.3891090909,92035.2746545454,70828.8490727273,35507.2881127273,394904.705127273,52719.8287272727,36483.7242545455,17317.2069272727,43090.7831818182,62031.2931090909,285696.054963636,24837.3356909091,29287.9707436364,21920.0518236364,27973.4361236364,637474.254727273,20520.7712290909,17600.0296327273,43646.6938545455,17317.2069272727,280580.8172,317084.643054545,337799.234709091,20214.1686854545,21185.9942018182,24223.8757327273,19853.05966,17317.2069272727,5736.96142218182,21185.9942018182,67927.7699636364,21491.6465945455,18587.7054854545,21920.0518236364,35969.0940618182,43090.7831818182,39748.1242545455,17040.7283909091,26755.2754945455,41245.6346454545,49952.4447436364
"CL 70:3; [M-2H](2-)@5.58",25982.6688545455,9106.39652545455,28866.8427290909,60226.4174727273,49254.6504636364,32516.9935909091,31133.5932909091,36483.7242545455,44424.3557454545,18876.3971054545,29287.9707436364,28866.8427290909,33429.8404363636,27546.7334909091,151628.877796364,19853.05966,24538.3401090909,21491.6465945455,20214.1686854545,110923.84088,56337.6137272727,12087.3563745455,49952.4447436364,25191.4138545455,20214.1686854545,21491.6465945455,40211.6636618182,56337.6137272727,39243.7621454545,21185.9942018182,24837.3356909091,30247.7272927273,64961.5754854545,11479.4335054545,17600.0296327273,16715.8519709091,20214.1686854545,29758.4751527273,19130.3346,27973.4361236364,25982.6688545455,15071.2004309091,13590.0947509091,26755.2754945455,75984.0302181818,16373.9728734545,32911.8687090909,23081.9237636364,27546.7334909091,31133.5932909091,19853.05966,19454.9507381818,33429.8404363636,30247.7272927273,21920.0518236364
"CL 70:5; [M-2H](2-)@9.31",222223.408654545,102005.747150909,160034.650352727,110923.84088,48432.2206,142096.445236364,192807.274690909,123406.574332727,204734.288925455,142096.445236364,165586.455581818,165586.455581818,147535.911127273,232072.371654545,226505.851218182,116262.422754545,139701.617801818,168713.719854545,142096.445236364,154258.297036364,192807.274690909,121103.660169091,137527.959470909,135221.575618182,92035.2746545454,95167.4180563636,55367.3559636364,83321.3255272727,62031.2931090909,43090.7831818182,154258.297036364,127127.370238182,83321.3255272727,74910.2310363636,73847.5967290909,45569.1658727273,106755.761490909,90838.2369090909,93664.2092109091,84687.8401454545,46252.17302,84687.8401454545,129128.681072727,96688.5032127273,139701.617801818,46252.17302,102005.747150909,98497.51518,144873.183716364,125142.521363636,114419.279907273,123406.574332727,100284.475327273,75984.0302181818,84687.8401454545
"CL 70:6; [M-2H](2-)@5.77",118012.069658182,18876.3971054545,96688.5032127273,176486.786145455,157359.994498182,87734.0242,83321.3255272727,89160.5603509091,130870.8165,61236.1969418182,90838.2369090909,69985.03186,75984.0302181818,63147.8150727273,71752.8295036364,33429.8404363636,44424.3557454545,51320.0548545455,25982.6688545455,63147.8150727273,29287.9707436364,31492.8251054545,35969.0940618182,34999.6499818182,32516.9935909091,70828.8490727273,98497.51518,76968.6514181818,108668.764163636,66775.3748636364,44424.3557454545,67927.7699636364,98497.51518,34476.8470545455,36939.0280363636,27141.4456363636,37545.7085145455,63147.8150727273,42339.7650545455,53651.2221272727,39748.1242545455,27546.7334909091,25982.6688545455,38118.9479581818,32516.9935909091,26755.2754945455,35507.2881127273,20214.1686854545,49952.4447436364,57269.8810745455,61236.1969418182,66775.3748636364,61236.1969418182,71752.8295036364,70828.8490727273
