Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218,Ctrl_BKS_db+_2225,Ctrl_BKS_db+_2226,Ctrl_BKS_db+_2227,Ctrl_BKS_db+_2231,HF_BKS_db+_2239,HF_BKS_db+_2241,HF_BKS_db+_2242,HF_BKS_db+_2243,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266,Ctrl_BL6_db+_2273,Ctrl_BL6_db+_2274,Ctrl_BL6_db+_2275,Ctrl_BL6_db+_2279,HF_BL6_db+_2286,HF_BL6_db+_2287,HF_BL6_db+_2288,HF_BL6_db+_2289,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309,Ctrl_BTBR_ob+_2316,Ctrl_BTBR_ob+_2317,Ctrl_BTBR_ob+_2318,Ctrl_BTBR_ob+_2320,HF_BTBR_ob+_2329,HF_BTBR_ob+_2331,HF_BTBR_ob+_2333,HF_BTBR_ob+_2334,Tissue_Test Pool_Positive_01,Tissue_Test Pool_Positive_02,Tissue_Test Pool_Positive_03,Tissue_Test Pool_Positive_04,Tissue_Test Pool_Positive_05,Tissue_Test Pool_Positive_06,Tissue_Test Pool_Positive_07
IS CE 17:0; [M+NH4]+,19511.441,7689.981,12127.016,8553.482,17978.367,12232.181,8580.827,13635.951,15848.531,5239.459,6656.41,9857.246,8036.876,8995.093,8278.912,11887.516,6334.534,2196.114,9973.958,9345.948,16702.106,12354.606,4362.953,10645.004,9918.413,20882.181,13797.54,12803.393,13226.947,19185.736,8439.272,2855.94,18067.294,2842.002,1884.791,5848.489,9793.93,9646.026,6071.306,12039.831,5297.796,8086.538,2724.132,16416.449,5095.009,15444.565,17186.624,8737.425,10878.25,12727.372,3084.798,11378.593,9442.71,8146.979,7527.585
IS Ceramide;[M-H20]+,5481145,6169394,4336295,7644128,7978932,6814487,4838640,6080981,5573459,5148198,5932372,5429486,5220120,6364120,4777472,8957073,6013635,4218366,3958360,5599902,5377877,4498870,4356427,6276097,6285377,4523516,4058195,3687402,4634259,10028477,5482585,5425573,5551190,5940419,5276276,6795246,5141966,3669137,4729432,6813258,7858044,3608445,3913852,4049102,4492640,7256513,4003247,4358349,5115275,4908552,5054619,5406030,4957048,5613863,5136811
IS DG 34:1; [M+NH4]+,19257308,20359487,17035535,13834971,15664532,20406656,23519702,14740863,15799370,25785669,25652675,22279608,17944489,19599851,16445004,25383342,29599167,23204636,31128918,20447710,18909440,14585318,25689698,26833172,25108773,7783561,10488468,13849127,9903695,7474106,15742887,17479715,18974332,25715698,28559077,32960314,28786841,14297482,19785720,14020979,28106595,11669558,8315671,10001986,25529161,20476174,14770994,17613749,23503677,20953047,21720281,21161176,22824027,19811306,23222585
IS lysoPC 17:0;[M+H]+,3428020,3840327,2571098,3954720,3944737,3613571,2972852,4137303,3874894,3322045,3271215,3274231,4082917,3976430,2771672,3345665,3021963,2991191,2136304,2960726,3273883,3097603,2473341,3589560,2885170,2633646,3954056,5864695,3189972,4799038,4791946,4163255,2713344,3429993,3686362,3296242,2332447,3973992,3606868,3818287,2620642,2351960,3381103,3459678,2674754,4466220,3826199,4048024,3160328,3298173,3259999,3207416,3456874,3439582,3571775
IS MG 17:0; [M+NH4]+,104797,134669.42,91486.89,146596,148241.37,124542.38,108284.7,130640.3,126144.32,147792.57,120992.67,107628.15,148509.12,143911.89,102580.1,144254.43,126647.28,101768.5,80169.07,99543.01,115537.63,97774.83,89202.34,138494.76,109611.56,83315.41,138374.24,168749.84,107095.03,141265.59,184224.59,151018.42,98698.48,119460.09,130949.99,136036.43,101054.66,129137.14,102616.37,125449.03,109363.39,73931.52,113998,122913.43,98089.24,165655.37,136946.36,138602.51,127459.17,140050.17,134183.91,143925.01,131345.8,145614.38,128025.65
IS PC 34:0; [M+H]+,12618973,13574447,8275035,10048242,11404372,10881030,9573563,10512791,11050191,9031215,10782348,11156122,10534977,14279512,7131724,10288231,9453877,7448902,8443671,9722599,10546481,11238493,6547487,8425431,8249892,7267358,13532579,11367121,11685002,11299648,13660553,13523398,10033802,10705403,11751641,11337313,7486694,12889502,12840983,11082952,10839401,8736264,7986197,9870918,6698898,11315119,10160324,11076916,7565677,7211102,7788952,7374612,6801920,8186046,8323731
IS PE 34:0; [M+H]+,1047876,1321150.3,796542.1,1170998,1467255.1,1202177.3,761382.2,1120588.3,1116255.3,887531.2,1133833,1175116.3,1105766.4,1064403.4,815525.3,1433486,937914.1,814427.6,725460,1190510.6,1226310.3,1192982.7,644371.8,1288206.2,1012322,908698.3,705688.2,850179.5,933148.8,2120635.1,1253980.6,1389914.6,879346.7,1295176.1,1144076.2,1397111.2,805806.4,856647.5,1138099.8,1202284.3,1226610.5,882274.7,1150520.3,979040,705774.1,1447796.5,1056271,1015893,697691.4,723382.8,699571.3,675847.5,713361.1,757257.8,769025.6
IS PS 34:0;[M+H]+,627010,675530.4,557630,615281.9,717299.6,630548.3,589642,663203.7,655384.3,542874.7,655808.2,689186.9,855541,582618.4,621584.9,690035.7,548107,614333.5,711931.2,618635.6,613211.6,658264.6,593427.8,551514.7,553258.4,602429.8,706252.6,662262.4,773661.1,569553.7,856496.2,752298.6,772865.5,661198.6,656214.1,683986.6,766415.8,837680,674792.9,727723.9,512904.3,704707.1,698739.6,558466.3,485418.7,699504.7,710773.1,763368.9,536938.7,594206.3,599147.8,588876.9,591614.5,755671.8,615422.2
IS SM 35:1;[M+H]+,259736.3,376217.6,174097.1,267619.7,379933.3,422853,209801.1,380250.7,208007.2,110049.7,208482.6,275703.3,188618.2,289337.1,208702.5,487644,211531,187444,126765.7,275419.7,292677.9,166468.5,171311.2,479563.7,267733.6,437845.3,303098.6,254603.5,311404.9,1223863.2,274601.6,341920.1,230479.1,263918.2,268103.4,318894.1,180732.1,240395.8,341141.5,323521.1,310449.7,272835.4,304669.9,226595.4,271166.7,534668.5,229283.2,279832.8,213717.4,180916.7,167972.4,195404.2,213171.7,211974.4,249874.5
IS TG 51:0; [M+NH4]+,1482438.58,269335.69,1488582.68,672549.15,876205.43,1834362.15,686571.49,1494949.77,929093.74,110056.86,105927.48,171752.03,905198.87,917041.77,295529.24,221476.5,94521.87,65742.33,58326.03,150353.37,308688.07,502213.39,109661.64,495305.96,155300.87,1781253.6,483418.45,884090.05,1367478.28,1008191.92,467847.88,314534.73,664671.25,216290.49,308100.69,425926.17,384171.33,781619.76,266846.87,1161334.8,351839.86,615003.23,225847.67,687974.88,78586.42,1696034.27,640123.98,259927.42,240766.55,266447.52,187591.51,308907.64,289447.63,363428.19,308447.5
CE 16:0; [M+NH4]+@10.97,15588.54,20763.11,13231.78,17648.33,13404.6,15460.67,12418.26,17615.3,11029.37,20157.7,17256.47,24222.59,20880.63,20298.28,20966.68,30806.72,22402.63,20477.75,145766.97,32723.43,47246.85,83636.11,19227.42,26936.63,57474.1,11595.53,18400.47,16110.82,12168.86,12475.46,22158.53,20177.24,94340.87,26208.88,31110.07,33799.81,60945.89,19512.99,19758.16,25996.52,17000.9,16609.2,21910.7,23559.42,23373.81,20492.84,31290.83,39489,32057.25,33679.61,20868.64,22838.73,22745.17,20931.61,21201.99
CE 16:1; [M+NH4]+@10.67,23116.07,9597.27,21189.224,24553.278,19249.503,30453.776,29037.151,17610.456,22817.508,42902.231,38072.992,30144.848,38239.94,26981.275,42273.295,207394.081,28140.833,50083.583,83089.678,57569.576,53885.562,56321.548,31834.784,57725.41,65144.021,9718.968,14339.107,5305.259,13254.604,12118.055,19448.2,16421.887,76746.113,14650.876,15981.72,25037.666,32462.783,11635.145,5787.54,8962.222,22993.276,13839.449,12128.075,14498.094,20878.191,9051.285,17123.425,11497.751,27293.564,27029.94,26333.996,26934.367,27102.503,31984.673,28303.236
CE 16:2; [M+NH4]+@10.09,976.6036,230.57389,475.4787,1678.23054,4771.45766,1567.74091,2929.46306,3147.68553,633.41358,4155.10235,1636.28106,3403.12129,3935.78595,975.59166,5899.75367,2434.16888,3358.07399,12836.9392,18672.93781,11465.4179,7519.0382,719.48105,10449.15025,21917.64702,23719.04987,415.30163,546.60391,593.53263,2866.75787,335.44368,2085.65975,921.65695,1803.48885,197.36949,1274.2289,74.64996,372.71287,1388.68162,978.86622,3785.00326,375.38714,1590.30133,776.23608,1251.64749,12429.92697,854.13655,2641.19575,34.32294,5305.75514,3696.3918,5995.28712,4234.74227,5283.45226,3293.8624,4880.31289
CE 18:0; [M+NH4]+@11.28,20578.71522,25147.93544,27407.27743,28892.47789,12137.6848,18414.93176,22814.37999,24534.39861,20629.57857,36138.87675,3315.08557,63.35115,25919.22579,20497.68288,30140.39086,49361.03962,24978.7383,28518.33091,139677.0342,613.84501,77801.37198,113487.2344,24022.06297,1188.11806,71872.91262,31926.16869,60985.41924,28714.40849,16926.95033,16240.25905,35861.21992,5178.3204,132491.4975,25753.25698,51134.63006,35652.91326,56496.28801,36816.44553,25755.23331,18833.46757,24437.19577,73823.88828,12318.01703,61781.20146,92.44388,53893.15045,87935.76403,32366.87956,60052.21998,29493.36306,20035.18177,21836.04502,37491.58831,54516.47804,32883.03144
CE 18:1; [M+NH4]+@10.91,188595,290748.2,185988.6,225306.9,271789.7,222353.7,245546,220565.7,189176.6,359705.3,392972.9,348427,354150.4,281630.6,295359,1398251.9,239901.4,288958.5,1405297.7,441311.4,652792.2,1033481.3,450353.6,466067.1,716704.9,172947.9,266081.6,109505.1,249567,133388.9,373743,248929,1307110,312222.7,424940.6,296233.7,571455.4,293526.9,205169.3,266925.4,265814.3,254305.6,240183.9,386048.1,274161.7,354299.9,492776,400104.2,535157.6,517940.5,231785.4,383492.7,310488.1,390323.2,313725.2
CE 18:2; [M+NH4]+@10.68,127741.59,169472.85,115385.25,111545.08,111851.4,131011,160923.56,149330.24,140995.48,71395.25,99252.7,82757.41,118315.86,90775.8,83122.11,217316.09,36680.75,104072,139675.15,113714.59,66958.9,703126.27,53149.35,67351.22,99578.25,148284.47,235362.85,161152.01,205067.37,156083.13,251445.64,164640.59,846501.35,75476.57,191210.58,79794.15,189604.11,197176.6,129366.49,192328.89,145592.51,198909.03,123660.95,311711.29,54167.69,221770.02,344220.32,240928.36,169865.44,121926.33,91627.86,183805.35,136391.96,147356.42,109643.03
CE 18:3; [M+NH4]+@10.28,5229.031,5640.702,10179.43,5483.826,8302.312,8435.751,8212.729,12484.799,7069.332,7519.066,6991.439,11587.004,10129.155,4815.95,16438.92,23224.373,5322.103,15699.898,67678.776,25588.539,32220.576,34170.826,31901.002,49856.823,42711.332,8616.195,6857.726,19249.66,1961.225,3391.034,14372.267,6647.899,17693.87,4236.591,8183.153,1999.854,3032.485,6152.102,3727,13685.435,4379.444,8837.458,5744.386,12856.156,28418.355,7779.579,10981.998,12531.546,8431.725,7699.883,3808.348,6579.366,11410.496,8063.223,10872.862
CE 20:3; [M+NH4]+@10.76,6622.15,2925.875,4106.471,4462.338,2283.407,5836.487,6445.522,5005.452,7723.857,9545.969,2870.336,3358.941,7133.652,3114.883,6358.047,7563.506,3682.796,8252.012,9004.16,3881.225,3992.448,17609.463,7103.826,3074.698,4615.767,3908.691,5957.991,8270.315,5998.631,5492.517,4531.722,4513.708,9761.91,3759.156,6983.122,2809.486,4953.488,8032.3,4060.612,5468.683,4059.201,8170.987,3164.371,16664.338,5036.16,9166.681,12025.936,9920.582,7475.228,9440.44,3229.582,4089.702,6387.219,4908.927,6757.583
CE 20:4; [M+NH4]+@10.57,7911.489,15246.691,17429.932,18504.906,7057.385,7978.404,9373.921,3752.06,9697.151,7439.41,10296.306,12399.409,13075.86,6246.865,8385.636,7534.505,9589.014,22343.476,28122.928,10997.368,13838.727,54154.866,8950.839,8184.15,16238.251,4663.773,12148.569,16923.467,20893.687,12984.779,19921.349,9545.223,38128.037,3995.095,12856.447,11826.956,10959.352,21199.416,7801.753,18022.102,18930.36,23596.517,25435.992,28806.136,9498.589,20681.315,26599.189,30136.865,12396.56,7506.803,4722.94,10517.325,15517.385,6047.057,15591.01
CE 20:5; [M+NH4]+@10.25,2338.5998,971.1965,2024.5546,783.3447,1173.5054,859.2961,2111.0738,1856.6816,805.9326,2654.0093,460.8903,4368.3809,618.7904,1214.3689,511.6541,2474.1125,586.9599,1870.188,1112.3854,358.5644,1083.1345,2141.514,1091.579,6627.1336,14344.816,1863.8798,1050.7776,1933.4754,1466.6586,859.3913,277.774,352.8576,1279.4502,1672.8188,1850.0583,453.2909,1054.5247,2849.5024,1611.7183,1478.3977,1070.9906,2187.7042,1940.3455,1205.3177,4125.2564,3094.0421,358.0051,3219.9745,1173.2952,5145.8462,592.6752,3205.7156,2002.0205,1259.5732,1296.5727
CE 22:5; [M+NH4]+@10.67,2464.3547,2479.4344,1357.7896,859.4265,4124.8879,1663.2576,1509.4123,1233.4317,3155.2117,575.3619,5100.1931,3186.5124,4326.2333,2306.0633,961.143,8051.8601,1283.4285,4109.944,3259.005,1539.6472,2751.4265,9173.6546,3393.654,1671.5392,4458.359,1543.7703,4522.4686,9848.3892,2270.9333,1673.8347,4898.5295,1966.9272,5768.4627,1793.1986,574.4259,1771.7272,3459.8644,3596.4946,3779.606,2794.9631,3572.7853,3071.1873,1129.5408,4383.278,845.9121,1346.751,7364.2432,2717.9236,833.8229,5379.2237,4390.8556,859.4283,3041.6408,620.3137,5116.6746
CE 22:6; [M+NH4]+@10.50,40406.575,29634.36,46740.018,27274.977,28499.04,24757.347,15834.58,38829.764,25550.579,15453.93,24643.375,21105.345,30682.879,11119.483,10431.168,38983.253,14994.713,32433.898,25013.407,37034.874,29277.957,53956.373,17855.712,22399.493,47338.296,31941.915,23462.266,66192.112,27795.217,13295.825,44599.822,22105.168,58024.91,19728.803,24222.655,9149.539,9810.111,19981.353,26110.127,20178.389,11392.722,33460.793,25535.599,41693.064,18809.536,34770.123,37702.099,40174.205,21837.271,24482.188,23015.526,18791.199,21334.485,16539.319,30203.109
CerP 36:2; [M+H]+@5.84,3547.415,4373.681,3902.823,2792.508,2458.181,3097.813,1954.553,4659.234,5344.24,2375.305,2649.843,3802.507,5428.574,4145.532,2796.694,4187.14,2822.568,2412.308,2534.282,2480.325,1474.628,4822.54,2956.656,3822.383,2230.823,3961.804,9930.915,4978.892,8615.485,3631.288,6631.167,4690.95,2806.149,5000.75,6000.847,8370.005,4861.029,4193.142,4074.311,4464.275,2724.833,5167.594,7416.808,6102.497,5176.155,1669.583,6829.577,4257.693,2963.424,3627.459,2464.71,2426.768,3732.827,4208.4,2897.949
CerP 44:2; [M+H]+@8.22,10093.3729,5791.762,2739.8145,606.4857,451.0583,20758.141,6826.1967,4104.6674,8569.316,11652.2763,3389.7122,1514.3336,3934.0615,3407.828,883.933,4292.9973,3050.8942,7818.4755,13846.6773,2302.6545,3004.8961,7835.0732,5476.3108,5586.6351,7627.5593,827.4926,9467.2739,7662.5153,7749.7223,5242.6907,11307.2927,7615.2314,5834.7436,5707.4308,3872.3904,750.9364,3833.9529,6095.3542,1172.3214,6547.8781,4411.1218,4555.6197,5894.2816,5368.0924,3596.3876,3817.6375,9277.3702,5090.6389,3846.7017,5433.8627,2379.9226,4668.1722,7915.2537,2085.4205,2970.6949
