"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"IS Ceramide;[M-H20]+",6119136.15963636,6119136.15963636,5637480.10727273,6572407.95272727,9642589.10363636,7817356.94181818,4830743.43818182,7585002.38363636,6804116.54909091,3935354.258,4969253.104,4712055.47963636,4712055.47963636,5637480.10727273,4969253.104,10538684.8309091,5637480.10727273,4550146.45490909,4350811.16727273,6360318.07454546,5935705.04254545,3689897.72909091,4830743.43818182,7078323.12727273,7585002.38363636,6804116.54909091,4045073.85727273,4435629.74,5298661.06,20200179.8636364,4712055.47963636,4712055.47963636,4830743.43818182,4969253.104,4435629.74,5298661.06,4045073.85727273,3253317.96690909,4712055.47963636,7078323.12727273,6804116.54909091,3851092.22763636,4134070.73636364,3935354.258,5111085.13109091,9216119.50727273,3766152.59345455,3611967.17090909,5111085.13109091,5111085.13109091,5111085.13109091,5471586.06018182,4969253.104,5796097.07163636,5298661.06
"IS DG 34:1; [M+NH4]+",18731239.38,20200179.8636364,18731239.38,13896456.5927273,18011297.0363636,21152250.8,22521831.9818182,16073762.9872727,17315951.9472727,22521831.9818182,21152250.8,19474899.6327273,18011297.0363636,18731239.38,17315951.9472727,23263890.0236364,29819548.9636364,21152250.8,28559929.3090909,19474899.6327273,17315951.9472727,12238166.2218182,25534290.2909091,27380125.0545455,25534290.2909091,11511563.5716364,12238166.2218182,14819318.0418182,11047324.1147273,13896456.5927273,14383180.2672727,17315951.9472727,17315951.9472727,24718212.0545455,24043216.8727273,28559929.3090909,24043216.8727273,13896456.5927273,20200179.8636364,14819318.0418182,27380125.0545455,13356288.6218182,9216119.50727273,13356288.6218182,25534290.2909091,22521831.9818182,15404964.2763636,16625380.3272727,24043216.8727273,21152250.8,21152250.8,20200179.8636364,21745290.0909091,20200179.8636364,22521831.9818182
"IS lysoPC 17:0;[M+H]+",3611967.17090909,3766152.59345455,2692065.02127273,3253317.96690909,4712055.47963636,4350811.16727273,2565762.42181818,4350811.16727273,4350811.16727273,2952578.45618182,2952578.45618182,2816832.05381818,3935354.258,3766152.59345455,2760630.01454545,3851092.22763636,3082506.10181818,2952578.45618182,2126211.73709091,2952578.45618182,3472913.31581818,2760630.01454545,2816832.05381818,4550146.45490909,3766152.59345455,3851092.22763636,3851092.22763636,7312229.91272727,3253317.96690909,7817356.94181818,3935354.258,3611967.17090909,2197096.35127273,3472913.31581818,3332837.96781818,3253317.96690909,1890077.15636364,3536936.63272727,3164885.20545455,3536936.63272727,2816832.05381818,2692065.02127273,3689897.72909091,3611967.17090909,3472913.31581818,4830743.43818182,3611967.17090909,3332837.96781818,2816832.05381818,2889300.81636364,2952578.45618182,2952578.45618182,3164885.20545455,3019797.65272727,3082506.10181818
"IS MG 17:0; [M+NH4]+",113527.461927273,139173.582872727,102372.594854545,133519.678072727,199571.422690909,130703.329218182,94333.1557272727,124965.359763636,140484.951654545,124965.359763636,97019.6122545454,97019.6122545454,124965.359763636,123694.411981818,101267.245872727,178036.991418182,124965.359763636,119165.1816,86989.778,136188.063509091,140484.951654545,80220.1599454546,111174.8864,172359.861854545,140484.951654545,122484.4488,133519.678072727,172359.861854545,110000.273963636,263356.946909091,164629.326163636,129268.228418182,93408.0394727273,109115.460727273,97019.6122545454,114585.696290909,79561.0127454546,114585.696290909,99038.3810727273,126348.508109091,99038.3810727273,89927.5572181818,123694.411981818,146745.789054545,130703.329218182,192877.733945455,145099.225363636,103639.022727273,112326.382254545,130703.329218182,129268.228418182,135021.577636364,118051.8614,140484.951654545,113527.461927273
"IS PC 34:0; [M+H]+",12812097.0872727,13356288.6218182,11047324.1147273,8181734.75090909,13896456.5927273,12238166.2218182,10106588.5545455,12238166.2218182,11511563.5716364,7817356.94181818,9216119.50727273,10106588.5545455,10106588.5545455,15404964.2763636,7312229.91272727,11511563.5716364,8839298.47090909,8517867.16909091,7817356.94181818,10106588.5545455,10106588.5545455,8517867.16909091,7312229.91272727,8839298.47090909,9216119.50727273,10538684.8309091,14819318.0418182,12238166.2218182,12238166.2218182,21152250.8,12238166.2218182,13356288.6218182,8517867.16909091,9216119.50727273,9642589.10363636,9216119.50727273,5471586.06018182,12812097.0872727,12238166.2218182,12812097.0872727,9216119.50727273,9216119.50727273,8517867.16909091,12812097.0872727,7585002.38363636,12238166.2218182,11047324.1147273,8839298.47090909,7312229.91272727,7078323.12727273,8517867.16909091,7585002.38363636,6804116.54909091,8181734.75090909,8517867.16909091
"IS PE 34:0; [M+H]+",1040075.02290909,1394845.42309091,912422.973090909,1074961.08563636,2074451.60381818,1342117.47927273,709892.582690909,1130510.504,1230100.04145455,808075.890363636,995318.451272727,1040075.02290909,952993.513454546,1040075.02290909,830008.832363636,1675896.92436364,1009230.66127273,888356.986,730103.342545455,1342117.47927273,1256021.99527273,1009230.66127273,776337.1878,1555439.77781818,1172309.19309091,1192649.84,709892.582690909,939569.791927273,995318.451272727,3851092.22763636,1093971.12872727,1311348.96454545,753725.328545455,1130510.504,981942.181818182,1172309.19309091,690968.014909091,819369.377090909,1172309.19309091,1285207.14618182,1151932.95727273,1009230.66127273,1192649.84,1026594.61763636,852626.664181818,1763549.02,1009230.66127273,852626.664181818,643964.757818182,690968.014909091,690968.014909091,673205.865454545,680337.038727273,730103.342545455,719279.023272727
"IS PS 34:0;[M+H]+",617250.168363636,690968.014909091,626528.672545455,565786.394,926463.572727273,667342.082363636,544537.133309091,595853.197290909,709892.582690909,485145.508909091,602849.190163636,650696.698,730103.342545455,537319.729636364,667342.082363636,842450.366181818,551710.395381818,667342.082363636,701325.704,690968.014909091,635765.168145455,558473.054181818,673205.865454545,667342.082363636,650696.698,753725.328545455,719279.023272727,709892.582690909,776337.1878,1026594.61763636,745934.406181818,690968.014909091,643964.757818182,650696.698,558473.054181818,667342.082363636,650696.698,764359.558545455,643964.757818182,745934.406181818,499385.054,709892.582690909,730103.342545455,551710.395381818,667342.082363636,753725.328545455,667342.082363636,565786.394,544537.133309091,565786.394,643964.757818182,582139.131818182,602849.190163636,719279.023272727,582139.131818182
"IS SM 35:1;[M+H]+",285598.528563636,382099.514727273,199571.422690909,228979.721,517218.7322,441515.927236364,174172.084618182,399019.822690909,242831.018854545,93408.0394727273,179841.941036364,248312.654781818,166493.737454545,266877.789709091,204185.293890909,551710.395381818,206778.335763636,201830.250838182,130703.329218182,321631.470272727,326533.807818182,142171.954836364,211638.739309091,589300.629636364,330815.004872727,617250.168363636,321631.470272727,266877.789709091,335427.000363636,2380636.51109091,242831.018854545,295236.965690909,206778.335763636,240190.892727273,211638.739309091,279673.268909091,131995.398745455,240190.892727273,313366.061345455,302660.81,285598.528563636,279673.268909091,313366.061345455,245895.618909091,340132.464854545,565786.394,232011.047781818,217503.327836364,190318.503872727,172359.861854545,168407.0792,185466.268981818,199571.422690909,201830.250838182,234611.921636364
"IS TG 51:0; [M+NH4]+",1555439.77781818,285598.528563636,1890077.15636364,635765.168145455,1207238.26872727,1805555.08576364,650696.698,1586211.07236364,1074961.08563636,94333.1557272727,82759.9395454545,142171.954836364,785653.859636364,863882.098363636,288898.531818182,269585.292545455,97019.6122545454,76222.3182363636,60378.1560345455,187670.7994,360915.397709091,394242.847781818,143664.605345455,617250.168363636,192877.733945455,2197096.35127273,492549.516618182,995318.451272727,1615035.674,1805555.08576364,410575.043436364,266877.789709091,537319.729636364,197074.866654545,253482.179218182,404948.202363636,266877.789709091,730103.342545455,266877.789709091,1230100.04145455,317027.384472727,650696.698,242831.018854545,753725.328545455,112326.382254545,2023200.96672727,595853.197290909,201830.250838182,242831.018854545,279673.268909091,185466.268981818,302660.81,302660.81,371234.0706,299162.824
"CE(16:0); [M+NH4]+@10.97",16441.6941109091,20405.4792254545,13891.1396181818,14978.5877072727,18295.1817090909,14978.5877072727,11556.6402810909,15894.6029418182,12123.5256869091,15894.6029418182,14978.5877072727,21562.8894781818,16781.1410503636,16263.2685981818,20606.3945436364,38027.8106018182,21562.8894781818,22879.6863090909,148192.089272727,39680.9974581818,54769.3253818182,72854.191,24850.8231890909,38444.9934909091,67222.6969272727,19295.1886363636,18665.3469418182,13049.4660618182,13171.3772854545,26595.7848181818,18665.3469418182,18465.1721381818,88821.7647818182,25068.0045636364,26077.6557454545,32352.7322181818,46964.5230727273,16082.92484,18295.1817090909,25330.0062036364,19786.9616218182,20606.3945436364,22636.5519090909,26077.6557454545,34091.0209472727,23961.9431818182,32690.8444909091,28182.9433818182,29633.1435272727,31994.0421436364,20181.4968836364,22401.8101818182,20606.3945436364,19603.1274690909,18465.1721381818
"CE(16:1); [M+NH4]+@10.67",23961.9431818182,11445.4566745455,23086.70222,21906.0109072727,25330.0062036364,33036.22566,25068.0045636364,15710.9127145455,28182.9433818182,36036.1894727273,30522.4816909091,25805.1962727273,31107.5792181818,21906.0109072727,39208.3464909091,253482.179218182,27979.1802181818,54769.3253818182,89927.5572181818,62530.0757636364,63847.08296,51616.9901090909,41804.1046363636,77145.0667272727,81165.1791272727,17110.0970363636,13764.80032,4364.43806563636,14657.2138109091,26077.6557454545,16955.3161230909,14657.2138109091,69147.9859272727,13481.3260272727,12556.9750163636,23961.9431818182,26318.2486909091,9323.50560018182,4364.43806563636,7541.70016545455,26077.6557454545,17110.0970363636,14208.4464327273,15276.6563545455,29953.1751272727,12123.5256869091,18807.7655890909,9137.83369636364,24396.3578545455,26077.6557454545,26595.7848181818,26595.7848181818,24850.8231890909,31107.5792181818,25805.1962727273
"CE(16:2); [M+NH4]+@10.09",1130.29920236364,864.786090727273,864.786090727273,1319.77773290909,7102.57210218182,2271.66338872727,2498.81512818182,2894.31371563636,864.786090727273,3213.655148,1896.04048363636,2271.66338872727,2766.40092836364,864.786090727273,4744.074874,1896.04048363636,3364.00509436364,12888.8317545455,21140.1485838182,13891.1396181818,9137.83369636364,1520.97953127273,12265.9825869091,31696.617138,31696.617138,864.786090727273,565.962790545455,565.962790545455,2894.31371563636,864.786090727273,2271.66338872727,1520.97953127273,2631.492354,565.962790545455,565.962790545455,565.962790545455,565.962790545455,864.786090727273,864.786090727273,2631.492354,565.962790545455,2498.81512818182,1520.97953127273,1714.99209763636,16955.3161230909,1714.99209763636,2766.40092836364,565.962790545455,4105.91503581818,3213.655148,4364.43806563636,3364.00509436364,4215.34860072727,2092.51399181818,3780.69592381818
"CE(18:1); [M+NH4]+@10.91",204185.293890909,317027.384472727,223560.858872727,190318.503872727,371234.0706,240190.892727273,199571.422690909,208678.833581818,217503.327836364,309708.732690909,344087.740363636,326533.807818182,340132.464854545,259551.012,285598.528563636,1642111.22709091,245895.618909091,302660.81,1394845.42309091,492549.516618182,719279.023272727,842450.366181818,523467.604545455,574512.028036364,830008.832363636,251463.927163636,269585.292545455,112326.382254545,253482.179218182,251463.927163636,313366.061345455,223560.858872727,1151932.95727273,302660.81,340132.464854545,266877.789709091,436209.171090909,288898.531818182,199571.422690909,269585.292545455,242831.018854545,266877.789709091,266877.789709091,399019.822690909,360915.397709091,416044.814509091,441515.927236364,309708.732690909,537319.729636364,499385.054,242831.018854545,382099.514727273,330815.004872727,394242.847781818,306467.651781818
"CE(18:2); [M+NH4]+@10.68",139173.582872727,172359.861854545,121255.659745455,105756.157127273,152121.593654545,135021.577636364,139173.582872727,140484.951654545,152121.593654545,60378.1560345455,78759.7368727273,77962.3411454546,98046.1871454545,72163.1920363636,81165.1791272727,266877.789709091,37266.1079090909,120185.971454545,142171.954836364,154914.347709091,86164.197,602849.190163636,65149.0559454545,95303.3667818182,135021.577636364,211638.739309091,242831.018854545,160694.203509091,220335.644909091,279673.268909091,208678.833581818,135021.577636364,709892.582690909,70391.7258727273,143664.605345455,76222.3182363636,139173.582872727,201830.250838182,122484.4488,206778.335763636,131995.398745455,217503.327836364,139173.582872727,317027.384472727,72163.1920363636,259551.012,313366.061345455,179841.941036364,158966.992018182,111174.8864,91722.2230363636,174172.084618182,124965.359763636,143664.605345455,96286.7683636364
