Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218,Ctrl_BKS_db+_2225,Ctrl_BKS_db+_2226,Ctrl_BKS_db+_2227,Ctrl_BKS_db+_2231,HF_BKS_db+_2239,HF_BKS_db+_2241,HF_BKS_db+_2242,HF_BKS_db+_2243,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266,Ctrl_BL6_db+_2273,Ctrl_BL6_db+_2274,Ctrl_BL6_db+_2275,Ctrl_BL6_db+_2279,HF_BL6_db+_2286,HF_BL6_db+_2287,HF_BL6_db+_2288,HF_BL6_db+_2289,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309,Ctrl_BTBR_ob+_2316,Ctrl_BTBR_ob+_2317,Ctrl_BTBR_ob+_2318,Ctrl_BTBR_ob+_2320,HF_BTBR_ob+_2329,HF_BTBR_ob+_2331,HF_BTBR_ob+_2333,HF_BTBR_ob+_2334,Tissue_Test Pool_Positive_01,Tissue_Test Pool_Positive_02,Tissue_Test Pool_Positive_03,Tissue_Test Pool_Positive_04,Tissue_Test Pool_Positive_05,Tissue_Test Pool_Positive_06,Tissue_Test Pool_Positive_07
Label,Ctrl_BKS,Ctrl_BKS,Ctrl_BKS,Ctrl_BKS,HF_BKS,HF_BKS,HF_BKS,HF_BKS,Ctrl_BKS_db,Ctrl_BKS_db,Ctrl_BKS_db,Ctrl_BKS_db,HF_BKS_db,HF_BKS_db,HF_BKS_db,HF_BKS_db,Ctrl_BL6,Ctrl_BL6,Ctrl_BL6,Ctrl_BL6,HF_BL6,HF_BL6,HF_BL6,HF_BL6,Ctrl_BL6_db,Ctrl_BL6_db,Ctrl_BL6_db,Ctrl_BL6_db,HF_BL6_db,HF_BL6_db,HF_BL6_db,HF_BL6_db,Ctrl_BTBR,Ctrl_BTBR,Ctrl_BTBR,Ctrl_BTBR,HF_BTBR,HF_BTBR,HF_BTBR,HF_BTBR,Ctrl_BTBR_ob,Ctrl_BTBR_ob,Ctrl_BTBR_ob,Ctrl_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,QC,QC,QC,QC,QC,QC,QC
IS CE 17:0; [M+NH4]+,19511.44124,7689.980861,12127.01643,8553.481647,17978.36688,12232.18115,8580.826874,13635.95112,15848.53093,5239.45916,6656.410251,9857.245581,8036.875706,8995.092995,8278.911707,11887.51577,6334.534338,2196.114283,9973.958214,9345.948075,16702.10562,12354.60556,4362.952922,10645.00383,9918.41346,20882.18114,13797.53988,12803.39337,13226.94723,19185.7363,8439.272413,2855.940151,18067.29379,2842.001517,1884.791127,5848.48882,9793.930136,9646.025903,6071.305566,12039.83129,5297.796164,8086.537765,2724.131664,16416.44944,5095.009283,15444.56532,17186.62365,8737.424587,10878.25015,12727.3724,3084.798324,11378.59347,9442.710377,8146.978998,7527.585301
IS Ceramide;[M-H20]+,5481145.203,6169394.354,4336295.435,7644128.083,7978931.518,6814487.397,4838640.043,6080981.345,5573459.457,5148198.112,5932371.729,5429485.809,5220120.175,6364119.699,4777471.784,8957073.117,6013634.815,4218366.215,3958359.736,5599902.015,5377877.449,4498869.726,4356426.875,6276097.497,6285376.802,4523515.813,4058194.988,3687402.471,4634259.36,10028477.43,5482585.161,5425572.918,5551190.344,5940418.624,5276276.24,6795245.564,5141965.591,3669137.324,4729431.522,6813258.277,7858044.441,3608444.909,3913852.195,4049102.489,4492639.604,7256513.244,4003247.419,4358349.059,5115275.194,4908552.165,5054618.644,5406030.311,4957048.443,5613862.902,5136810.803
IS DG 34:1; [M+NH4]+,19257308.24,20359487.19,17035535.35,13834971.14,15664532.45,20406655.76,23519701.98,14740863.01,15799370.48,25785668.95,25652674.74,22279608.13,17944488.78,19599851.2,16445003.62,25383341.67,29599167.3,23204636.19,31128917.7,20447710.4,18909439.54,14585317.8,25689698.22,26833171.91,25108773.14,7783561.139,10488468.13,13849127.11,9903695.447,7474106.078,15742887.17,17479715.27,18974331.51,25715698.06,28559077.23,32960314.28,28786840.82,14297481.94,19785719.93,14020978.9,28106594.57,11669557.9,8315671.248,10001985.61,25529161.07,20476173.52,14770994.48,17613749.24,23503677.47,20953047.3,21720281.26,21161175.7,22824027.34,19811305.68,23222584.69
IS lysoPC 17:0;[M+H]+,3428020.457,3840327.411,2571097.711,3954719.769,3944736.94,3613570.639,2972852.276,4137302.801,3874893.568,3322044.904,3271215.173,3274231.397,4082916.804,3976430.035,2771672.426,3345665.384,3021962.884,2991190.961,2136303.805,2960726.447,3273882.981,3097602.731,2473341.271,3589559.545,2885169.648,2633646.242,3954055.974,5864695.164,3189972.052,4799037.615,4791946.29,4163254.929,2713344.369,3429993.261,3686362.449,3296242.315,2332446.707,3973991.96,3606867.732,3818286.645,2620642.422,2351959.676,3381102.84,3459677.666,2674754.042,4466220.281,3826199.362,4048024.45,3160328.371,3298172.608,3259998.8,3207416.465,3456873.967,3439581.89,3571775.312
IS MG 17:0; [M+NH4]+,104796.9992,134669.4179,91486.88979,146595.9961,148241.3699,124542.3769,108284.6956,130640.3016,126144.3195,147792.5714,120992.6686,107628.1548,148509.1197,143911.8881,102580.0957,144254.4336,126647.2773,101768.4987,80169.06639,99543.0124,115537.632,97774.83163,89202.34475,138494.7576,109611.5645,83315.41176,138374.238,168749.8419,107095.0315,141265.5907,184224.5863,151018.4224,98698.47657,119460.0856,130949.9905,136036.4304,101054.6637,129137.1429,102616.3695,125449.0274,109363.3924,73931.51633,113998.0012,122913.4312,98089.23667,165655.3696,136946.3566,138602.5134,127459.1747,140050.1748,134183.9144,143925.0053,131345.8029,145614.3807,128025.6486
IS PC 34:0; [M+H]+,12618972.82,13574447.44,8275035.049,10048242.17,11404371.73,10881030.07,9573562.748,10512790.81,11050190.61,9031215.121,10782348.1,11156122.21,10534977.32,14279511.6,7131724.338,10288230.53,9453876.925,7448901.991,8443670.86,9722599.205,10546481.18,11238492.95,6547486.853,8425430.712,8249891.656,7267358.062,13532579.33,11367121.16,11685002.08,11299648.1,13660553.08,13523398.27,10033801.52,10705403.19,11751640.51,11337313.29,7486694.499,12889502.4,12840982.54,11082952.38,10839400.81,8736263.68,7986197.168,9870918.486,6698898.302,11315118.97,10160323.81,11076916.15,7565677.274,7211101.66,7788952.34,7374612.176,6801919.586,8186046.374,8323730.984
IS PE 34:0; [M+H]+,1047875.953,1321150.349,796542.0901,1170997.99,1467255.084,1202177.335,761382.18,1120588.268,1116255.299,887531.239,1133833.036,1175116.295,1105766.376,1064403.407,815525.2732,1433485.994,937914.0681,814427.5948,725459.9559,1190510.641,1226310.275,1192982.67,644371.8008,1288206.224,1012322.021,908698.3485,705688.1979,850179.5381,933148.7549,2120635.092,1253980.603,1389914.603,879346.7169,1295176.061,1144076.158,1397111.221,805806.3592,856647.5307,1138099.843,1202284.349,1226610.51,882274.6572,1150520.322,979040.0493,705774.0949,1447796.523,1056271.001,1015893.017,697691.4152,723382.8132,699571.3259,675847.508,713361.1241,757257.7979,769025.5825
IS PS 34:0;[M+H]+,627009.9677,675530.4331,557630.0255,615281.8774,717299.6157,630548.3385,589642.0218,663203.6599,655384.3196,542874.7071,655808.1544,689186.9482,855540.962,582618.377,621584.9183,690035.7014,548107.0104,614333.4896,711931.1851,618635.6486,613211.5574,658264.6179,593427.777,551514.7092,553258.4115,602429.7503,706252.6085,662262.4045,773661.1384,569553.7444,856496.2312,752298.5981,772865.5336,661198.6469,656214.0982,683986.6114,766415.7697,837680.0004,674792.9126,727723.878,512904.2873,704707.1476,698739.5841,558466.2941,485418.6608,699504.7237,710773.0698,763368.8784,536938.6866,594206.3054,599147.8211,588876.9099,591614.482,755671.75,615422.2085
IS SM 35:1;[M+H]+,259736.2778,376217.5781,174097.1313,267619.7262,379933.316,422852.9891,209801.1213,380250.6959,208007.2383,110049.7139,208482.6403,275703.2726,188618.247,289337.0707,208702.5226,487643.9593,211531.0374,187444.0062,126765.6554,275419.6552,292677.8527,166468.5289,171311.2491,479563.7026,267733.5925,437845.3211,303098.5935,254603.5073,311404.9241,1223863.18,274601.5824,341920.0701,230479.0611,263918.2428,268103.3865,318894.1485,180732.1096,240395.8306,341141.5006,323521.1293,310449.6689,272835.4266,304669.9497,226595.3692,271166.6643,534668.4966,229283.234,279832.8065,213717.4095,180916.7068,167972.3848,195404.2416,213171.6794,211974.3681,249874.5419
IS TG 51:0; [M+NH4]+,1482438.583,269335.6882,1488582.675,672549.1474,876205.4298,1834362.153,686571.4869,1494949.767,929093.7409,110056.8623,105927.4789,171752.0261,905198.8661,917041.7694,295529.2423,221476.5029,94521.87194,65742.33234,58326.03484,150353.3678,308688.065,502213.386,109661.6366,495305.9615,155300.8698,1781253.596,483418.4526,884090.0536,1367478.285,1008191.916,467847.879,314534.7326,664671.253,216290.4861,308100.6857,425926.1674,384171.327,781619.7612,266846.8664,1161334.796,351839.8586,615003.2262,225847.6715,687974.8838,78586.42448,1696034.271,640123.9808,259927.4209,240766.5468,266447.5224,187591.5075,308907.6393,289447.6271,363428.1874,308447.5025
