Sample_Name,Group,Weight
Ctrl_BKS_2202,Ctrl,39.2
Ctrl_BKS_2203,Ctrl,42.14
Ctrl_BKS_2206,Ctrl,45.8
Ctrl_BKS_2211,Ctrl,41.88
HF_BKS_2214,HF,29.37
HF_BKS_2216,HF,44
HF_BKS_2217,HF,39.84
HF_BKS_2218,HF,41.03
Ctrl_BKS_db._2225,Ctrl,35.75
Ctrl_BKS_db._2226,Ctrl,41.97
Ctrl_BKS_db._2227,Ctrl,31.72
Ctrl_BKS_db._2231,Ctrl,35.52
HF_BKS_db._2239,HF,45.74
HF_BKS_db._2241,HF,37.01
HF_BKS_db._2242,HF,38.73
HF_BKS_db._2243,HF,43.66
Ctrl_BL6_2249,Ctrl,43.53
Ctrl_BL6_2250,Ctrl,43.41
Ctrl_BL6_2251,Ctrl,40.25
Ctrl_BL6_2252,Ctrl,38.13
HF_BL6_2260,HF,35.06
HF_BL6_2261,HF,41.47
HF_BL6_2262,HF,36.88
HF_BL6_2266,HF,49.55
Ctrl_BL6_db._2273,Ctrl,44.68
Ctrl_BL6_db._2274,Ctrl,47.1
Ctrl_BL6_db._2275,Ctrl,39.95
Ctrl_BL6_db._2279,Ctrl,44.33
HF_BL6_db._2286,HF,50
HF_BL6_db._2287,HF,48.35
HF_BL6_db._2288,HF,31.73
HF_BL6_db._2289,HF,35.01
Ctrl_BTBR_2292,Ctrl,40.57
Ctrl_BTBR_2293,Ctrl,46.25
Ctrl_BTBR_2297,Ctrl,35.49
Ctrl_BTBR_2298,Ctrl,38.47
HF_BTBR_2306,HF,40.33
HF_BTBR_2307,HF,41.01
HF_BTBR_2308,HF,47.54
HF_BTBR_2309,HF,43.57
Ctrl_BTBR_ob._2316,Ctrl,39.23
Ctrl_BTBR_ob._2317,Ctrl,44.01
Ctrl_BTBR_ob._2318,Ctrl,26.02
Ctrl_BTBR_ob._2320,Ctrl,29.94
HF_BTBR_ob._2329,HF,21.3
HF_BTBR_ob._2331,HF,40.28
HF_BTBR_ob._2333,HF,53.96
HF_BTBR_ob._2334,HF,27.37
