Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218,Ctrl_BKS_db+_2225,Ctrl_BKS_db+_2226,Ctrl_BKS_db+_2227,Ctrl_BKS_db+_2231,HF_BKS_db+_2239,HF_BKS_db+_2241,HF_BKS_db+_2242,HF_BKS_db+_2243,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266,Ctrl_BL6_db+_2273,Ctrl_BL6_db+_2274,Ctrl_BL6_db+_2275,Ctrl_BL6_db+_2279,HF_BL6_db+_2286,HF_BL6_db+_2287,HF_BL6_db+_2288,HF_BL6_db+_2289,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309,Ctrl_BTBR_ob+_2316,Ctrl_BTBR_ob+_2317,Ctrl_BTBR_ob+_2318,Ctrl_BTBR_ob+_2320,HF_BTBR_ob+_2329,HF_BTBR_ob+_2331,HF_BTBR_ob+_2333,HF_BTBR_ob+_2334,Test Pool_Negatve_01,Test Pool_Negatve_02,Test Pool_Negatve_03,Test Pool_Negatve_04,Test Pool_Negatve_05,Test Pool_Negatve_06,Test Pool_Negatve_07
IS PA 34:0 ;[M-H]-,24554.801,5415.574,66656.388,25647.858,46810.941,26249.517,19075.3,62675.282,56934.533,41830.678,22298.438,18105.932,26793.805,13263.778,27889.502,13729.446,25816.1,27742.415,13617.739,50019.989,56781.484,20420.576,7661.775,13235.875,15885.601,2228.949,19770.282,32221.117,20711.118,143592.008,20128.465,131706.019,13099.05,25955.18,14759.216,30877.013,3647.062,16399.526,26233.633,16405.948,18366.551,12224.823,21595.417,12863.028,19725.776,10560.189,20354.208,34935.647,17194.964,7414.833,7779.184,10009.78,16485.983,20830.83,23241.331
IS PC 34:0;[M-Ac-H]-,529441.2,489455.7,482156.3,477090.2,501787.8,434154.4,516284.8,520029.7,478310.3,559093.8,460012.5,529948.5,594538.6,498202.2,593651.8,437414.6,523874.8,485702.9,498372.8,485965.8,505819.6,432883.9,467173.9,528648.3,478767.2,524466.6,467531,444266.5,462849.6,630609.9,508317.5,546975.6,571163.5,548402.8,473860.6,533085.8,483212.8,485943.7,524041.3,528986.1,512480.7,471625.7,473901.9,483384.5,459548.9,522713.9,411309,554061.8,493549.8,506080.9,462089,509117,501764,567780.9,524847.9
IS PE 34:0 ;[M-H]-,3361288,2611944,2650426,2604020,3313110,2406262,3404770,3848054,3440923,3359628,3403372,2909753,3483494,2834135,2716605,3524712,3639696,3029914,3229591,3379313,3652612,3407479,3686709,3410201,3115668,2967213,2557712,3127497,2169432,3869361,3286682,3925362,3444221,3651590,3123929,2730622,2749367,2697579,3039058,2861374,3239358,3018308,2886181,2656380,2788220,2984468,2438232,3390350,3679423,3567165,3488463,3589134,3894308,3917217,2867408
IS PG 34:0 ;[M-H]-,5995821,5511723,5280026,5034991,5037238,4010751,6016708,6020687,5369526,6382079,6117353,5381401,4935487,4281208,3877473,5234010,6037231,4466875,4655983,5578075,4908335,5140089,4910163,3900553,5062954,5482285,5492399,5917936,4116888,5757695,6214629,6512378,7311230,6054405,5035075,5424982,4555666,3679469,4079968,3483037,4641258,5940968,4585555,4715142,3629284,4062339,3618481,6043839,5078337,4881428,4779667,4776564,5106637,5266372,3571656
IS PI 37:4 ;[M-H]-,204048.02,322601.83,431879.31,239210.62,165981.07,167273.96,231148.64,162617.03,265006.53,312470.24,324970.29,252139.03,157328.61,224558.61,222587.37,189169.14,407617.47,136488.62,147292.79,154413.49,133516.73,130584.47,121000.59,99397.41,211250.85,276170.1,174361.82,259180.87,259889.98,270491.26,196254.61,197743.95,275081.97,315108.97,188319.76,235935.22,110166.98,96443.63,72448.78,76247.87,82313.85,313854.11,113420.65,130979.19,82320.97,149714.53,85888.7,196553.59,87870.57,97888.42,100579.13,97147.02,90736.29,75827.88,67740.94
IS PS 34:0 ;[M-H]-,680502.6,455675.8,785603.2,366455.2,426179.2,521345.8,811473.2,842719.5,1249803.7,805638.2,698858.1,424877.5,411956.6,465925.8,469832,455478.3,390019.4,365458.3,307598.1,400398.3,442666.4,317705.7,301478.9,268756.8,686802.2,426659.4,601726.6,904261.3,351994.5,1564628.3,672997.4,1252691.6,618583.3,617278,671044.3,572436.9,256306.3,372301.4,512930.1,517474.4,371400.1,563390.1,384303.8,362655.2,181301.4,318994.9,339825.5,462725.9,778997.7,592746.9,598890.1,659322.9,398696,417318.2,283999.4
CerP 32:1; [M-H]-@5.12,3085.9303,3050.9367,1510.4037,1259.0187,2227.1338,2171.8132,6129.7996,735.8846,1827.4924,2664.9262,866.2411,3329.0967,838.773,826.4714,279.3149,2760.9453,3210.8275,2440.6891,2390.9673,3970.5868,1098.4788,3099.0149,2878.6956,2718.2747,2468.6022,2228.3472,4389.498,3352.2269,314.7977,1605.993,3010.6858,1387.1353,1946.7087,2098.9256,2809.9926,1701.0431,999.3905,1905.6868,1897.5572,1968.2482,1290.782,1559.3364,2674.3502,1098.079,680.4165,1783.5643,1282.8955,1550.783,2550.8496,2035.2867,1725.9711,1304.9661,1857.0341,4354.4348,1937.5445
CerP 33:1; [M-H]-@5.49,4588.24,3448.64,2975.402,2169.035,2301.845,2174.608,3593.383,3451.619,5650.752,1650.154,2563.311,7500.501,3185.24,3304.901,1193.169,3907.838,3097.192,4007.111,4200.114,3573.385,3799.662,3985.543,4791.631,3922.491,7042.691,3550.01,6436.776,3629.114,2949.116,5400.057,5023.891,6094.288,4824.477,5581.931,4815.787,4497.811,4616.056,2665.374,2854.614,2936.437,5296.173,6613.447,2499.337,4537.309,2299.534,2082.045,3692.284,4851.448,3129.115,3347.748,3727.045,3527.622,4415.479,4439.501,3079.946
CerP 34:1; [M-H]-@5.85,27078.14,17602.81,16012.67,15571.47,14103.16,15270.55,20907.55,22041.62,18129.15,20148.26,26797.22,25788.62,17641.3,13102.18,14136.71,20429.39,20207.86,28171.94,26174.43,28462.87,19386.2,24206.79,25889.85,20544.37,27963.98,27459.25,27461.18,31056.38,11482.9,23127.48,29328.04,32729.82,33858.13,41037.62,26625.61,34184.53,16224.21,15793.17,21245.97,28548.94,28106.2,33482.58,25972.46,30476.16,12094.3,25559.66,20646.4,26301.09,24778.04,28891.9,29369.31,26386.93,26489.55,26510.59,16243.33
CerP 34:2; [M-H]-@5.29,13423.728,9130.117,6719.112,6882.977,4728.815,6752.784,8999.609,12152.639,6943.792,9626.957,10185.277,13014.986,11758.379,7615.448,5961.734,7043.548,8442.001,11026.888,6387.337,10227.853,8452.585,9763.934,11691.458,7635.678,6447.196,6324.793,11930.701,11049.788,3400.68,8432.776,14173.516,12309.315,12999.349,11652.853,8621.162,8956.53,7894.238,6336.235,9496.341,10996.5,10569.496,13290.223,6525.504,14313.286,5482.239,4686.461,5916.656,9100.612,6946.979,8140.883,7938.516,10344.235,9851.87,11892.191,6161.884
