"","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db+_2225","Ctrl_BKS_db+_2226","Ctrl_BKS_db+_2227","Ctrl_BKS_db+_2231","HF_BKS_db+_2239","HF_BKS_db+_2241","HF_BKS_db+_2242","HF_BKS_db+_2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db+_2273","Ctrl_BL6_db+_2274","Ctrl_BL6_db+_2275","Ctrl_BL6_db+_2279","HF_BL6_db+_2286","HF_BL6_db+_2287","HF_BL6_db+_2288","HF_BL6_db+_2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob+_2316","Ctrl_BTBR_ob+_2317","Ctrl_BTBR_ob+_2318","Ctrl_BTBR_ob+_2320","HF_BTBR_ob+_2329","HF_BTBR_ob+_2331","HF_BTBR_ob+_2333","HF_BTBR_ob+_2334","Test Pool_Negatve_01","Test Pool_Negatve_02","Test Pool_Negatve_03","Test Pool_Negatve_04","Test Pool_Negatve_05","Test Pool_Negatve_06","Test Pool_Negatve_07"
"Label","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","HF_BKS","HF_BKS","HF_BKS","HF_BKS","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","HF_BL6","HF_BL6","HF_BL6","HF_BL6","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","QC","QC","QC","QC","QC","QC","QC"
"IS PA 34:0 ;[M-H]-","24554.80101","5415.573534","66656.38789","25647.85827","46810.9414","26249.51707","19075.29973","62675.28228","56934.53255","41830.67803","22298.43835","18105.93214","26793.80498","13263.77819","27889.50168","13729.44649","25816.10028","27742.41479","13617.73949","50019.98855","56781.4839","20420.57627","7661.775253","13235.87475","15885.60147","2228.949414","19770.2822","32221.11687","20711.11777","143592.0079","20128.46482","131706.0191","13099.04971","25955.17959","14759.21609","30877.01303","3647.061569","16399.52581","26233.63262","16405.94793","18366.55061","12224.82328","21595.41695","12863.02817","19725.77577","10560.18889","20354.20819","34935.64681","17194.96352","7414.832691","7779.184465","10009.78037","16485.98331","20830.83038","23241.33122"
"IS PC 34:0;[M-Ac-H]-","529441.2478","489455.6776","482156.3167","477090.2436","501787.8119","434154.4311","516284.7934","520029.6841","478310.2891","559093.7572","460012.5043","529948.5484","594538.6473","498202.1855","593651.7683","437414.5734","523874.7547","485702.9121","498372.7802","485965.7582","505819.6497","432883.9098","467173.9168","528648.3132","478767.1646","524466.6079","467530.9649","444266.5243","462849.6226","630609.9002","508317.4615","546975.6278","571163.4585","548402.8113","473860.5888","533085.797","483212.8183","485943.7311","524041.2844","528986.1167","512480.7175","471625.7262","473901.9374","483384.4977","459548.8511","522713.918","411308.9611","554061.7947","493549.8316","506080.8738","462088.9623","509117.0182","501764.028","567780.9006","524847.9492"
"IS PE 34:0 ;[M-H]-","3361288.282","2611943.995","2650426.055","2604020.312","3313110.042","2406261.7","3404770.377","3848053.608","3440922.911","3359627.941","3403371.755","2909752.752","3483493.642","2834134.562","2716605.295","3524711.767","3639695.933","3029913.915","3229590.548","3379313.003","3652612.219","3407478.859","3686709.22","3410200.833","3115667.704","2967213.335","2557711.736","3127497.028","2169431.974","3869360.891","3286681.516","3925361.876","3444220.567","3651589.544","3123928.665","2730622.433","2749367.427","2697579.485","3039058.431","2861374.237","3239357.908","3018307.714","2886180.992","2656379.69","2788219.651","2984468.166","2438231.516","3390349.715","3679422.593","3567164.844","3488462.679","3589134.213","3894308.445","3917217.374","2867407.942"
"IS PG 34:0 ;[M-H]-","5995821.495","5511722.589","5280026.242","5034991.202","5037237.666","4010751.305","6016707.758","6020686.551","5369526.337","6382078.958","6117353.069","5381400.646","4935487.082","4281207.864","3877473.024","5234010.443","6037230.906","4466875.088","4655983.317","5578074.741","4908335.073","5140088.619","4910163.087","3900553.041","5062953.519","5482285.468","5492399.204","5917936.389","4116888.432","5757694.768","6214628.806","6512377.808","7311230.03","6054404.955","5035074.996","5424982.049","4555666.401","3679469.292","4079967.598","3483037.453","4641257.851","5940967.691","4585555.262","4715142.057","3629284.302","4062339.19","3618480.889","6043839.142","5078336.663","4881427.975","4779666.625","4776564.187","5106637.014","5266371.847","3571655.831"
"IS PI 37:4 ;[M-H]-","204048.0155","322601.8319","431879.3144","239210.6162","165981.0674","167273.9617","231148.6414","162617.0257","265006.5284","312470.2388","324970.2921","252139.0263","157328.6074","224558.6119","222587.3679","189169.1378","407617.4673","136488.6232","147292.7933","154413.4946","133516.7277","130584.4662","121000.5934","99397.40647","211250.8501","276170.0998","174361.8217","259180.8699","259889.9799","270491.2574","196254.612","197743.9453","275081.9664","315108.9669","188319.7605","235935.2162","110166.9767","96443.63347","72448.78411","76247.86845","82313.84783","313854.1055","113420.6488","130979.192","82320.97338","149714.5295","85888.70265","196553.5872","87870.56932","97888.41784","100579.1308","97147.01768","90736.28952","75827.88474","67740.94207"
"IS PS 34:0 ;[M-H]-","680502.5812","455675.7816","785603.2357","366455.1587","426179.2176","521345.7938","811473.2069","842719.4721","1249803.714","805638.1687","698858.0663","424877.4628","411956.5917","465925.8445","469832.033","455478.2691","390019.4319","365458.3104","307598.0992","400398.3049","442666.4129","317705.748","301478.9184","268756.7523","686802.2088","426659.3867","601726.5536","904261.3084","351994.5147","1564628.332","672997.4373","1252691.59","618583.3074","617277.9813","671044.3132","572436.9093","256306.3355","372301.4141","512930.0718","517474.4046","371400.1427","563390.0879","384303.7769","362655.2038","181301.385","318994.9163","339825.484","462725.9021","778997.7387","592746.8624","598890.0682","659322.9223","398695.9909","417318.2327","283999.4146"
"CerP 32:1; [M-H]-@5.12","3085.930338","3050.936726","1510.403731","1259.018704","2227.133832","2171.813247","6129.79965","735.884593","1827.492418","2664.926229","866.2410761","3329.096746","838.7729674","826.471373","279.3149489","2760.945261","3210.82751","2440.689076","2390.967275","3970.586794","1098.478786","3099.014895","2878.695589","2718.274711","2468.602173","2228.34715","4389.497973","3352.226909","314.7977082","1605.993035","3010.685839","1387.135264","1946.708738","2098.925556","2809.992612","1701.043142","999.3905048","1905.686767","1897.557171","1968.248177","1290.782008","1559.336429","2674.350201","1098.078975","680.4164592","1783.564344","1282.895502","1550.78298","2550.849577","2035.286745","1725.9711","1304.966109","1857.034136","4354.434753","1937.544479"
"CerP 33:1; [M-H]-@5.49","4588.240116","3448.639627","2975.401622","2169.035461","2301.845252","2174.608419","3593.382969","3451.61942","5650.752062","1650.154403","2563.311018","7500.50141","3185.23972","3304.901002","1193.169455","3907.837942","3097.191666","4007.110562","4200.113654","3573.384881","3799.662183","3985.54305","4791.631166","3922.491493","7042.69087","3550.010009","6436.776206","3629.114214","2949.115922","5400.05662","5023.89106","6094.287633","4824.477053","5581.930924","4815.786759","4497.810898","4616.055754","2665.374489","2854.614391","2936.436852","5296.17338","6613.446689","2499.337366","4537.308533","2299.533627","2082.045119","3692.283811","4851.448452","3129.115249","3347.748475","3727.044809","3527.621794","4415.479182","4439.500885","3079.946256"
"CerP 34:1; [M-H]-@5.85","27078.14032","17602.80988","16012.67125","15571.47219","14103.15595","15270.54802","20907.54989","22041.62313","18129.15221","20148.2569","26797.22225","25788.62296","17641.30077","13102.18132","14136.70801","20429.39407","20207.85863","28171.93987","26174.42514","28462.8718","19386.19853","24206.7907","25889.84823","20544.37206","27963.98381","27459.25405","27461.18201","31056.37554","11482.9004","23127.48311","29328.04351","32729.81838","33858.12685","41037.61786","26625.61323","34184.52536","16224.20897","15793.16789","21245.9702","28548.94243","28106.19612","33482.57875","25972.46272","30476.16149","12094.29715","25559.66247","20646.39826","26301.09304","24778.03552","28891.90389","29369.31303","26386.93497","26489.55063","26510.59328","16243.33381"
"CerP 34:2; [M-H]-@5.29","13423.72801","9130.11666","6719.111908","6882.977209","4728.814744","6752.784499","8999.609497","12152.63888","6943.791728","9626.956878","10185.27667","13014.98602","11758.37907","7615.447778","5961.733756","7043.547587","8442.000783","11026.88759","6387.337377","10227.85341","8452.584574","9763.933989","11691.45849","7635.677818","6447.195807","6324.793109","11930.70051","11049.78817","3400.680375","8432.776414","14173.51557","12309.31463","12999.34917","11652.85294","8621.162237","8956.530423","7894.238499","6336.234996","9496.340936","10996.50004","10569.49623","13290.2234","6525.504147","14313.28603","5482.239282","4686.460909","5916.655504","9100.611775","6946.978861","8140.882581","7938.515782","10344.23526","9851.869515","11892.19124","6161.883551"
