"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"CerP 33:1; [M-H]-@5.49",3133.09006,3759.13447272727,4025.66982909091,2481.13534,1962.88447636364,2186.76804727273,2744.18522727273,917.271849090909,4835.73145636364,1610.83320181818,2186.76804727273,5687.03287636364,2744.18522727273,2481.13534,3759.13447272727,2951.36244545455,3888.09214727273,4188.42650545455,5687.03287636364,3300.25515818182,3600.76852363636,3446.48707636364,3600.76852363636,3759.13447272727,7484.21061090909,4835.73145636364,4592.72678727273,3300.25515818182,7327.28099454545,5866.43738363636,5260.09209818182,5994.45970727273,3888.09214727273,4320.24171454545,4320.24171454545,4714.74555090909,7801.94191454545,4320.24171454545,3300.25515818182,2186.76804727273,5687.03287636364,6914.74766,2951.36244545455,4714.74555090909,3300.25515818182,4320.24171454545,6757.53943818182,6450.73831090909,3300.25515818182,3300.25515818182,3300.25515818182,3300.25515818182,3446.48707636364,4188.42650545455,3133.09006
"CerP 34:1; [M-H]-@5.85",19107.8860654545,17792.0980981818,19517.7800563636,21547.6614,12307.9185381818,17022.6279036364,15934.0585272727,12915.2874909091,15413.1013036364,17792.0980981818,21130.3930763636,22409.6534854545,15203.6983836364,12737.5104981818,25275.5612727273,18116.0346363636,24385.52956,28113.76454,28814.0675636364,24826.0364181818,16454.7909436364,21973.8504818182,19929.6244127273,19107.8860654545,33655.2162072727,34807.9464727273,20377.7579981818,27572.9905781818,23308.7433072727,25843.01804,25843.01804,33655.2162072727,30130.8315818182,36156.6902181818,29402.5963909091,33655.2162072727,22880.6122545455,21547.6614,20377.7579981818,24826.0364181818,30130.8315818182,31629.8523345455,30130.8315818182,32310.8818436364,19517.7800563636,43146.7638545455,34257.5131836364,26888.5792545455,26888.5792545455,28113.76454,31629.8523345455,28113.76454,25275.5612727273,27572.9905781818,20377.7579981818
"CerP 34:2; [M-H]-@5.29",8709.07516363636,9990.47905272727,9017.58217090909,8105.70919272727,4835.73145636364,7327.28099454545,7162.15114545455,7162.15114545455,5994.45970727273,8709.07516363636,7963.58558,10703.09232,9990.47905272727,7652.70599272727,10540.3549818182,5687.03287636364,9174.25360727273,12307.9185381818,7652.70599272727,8889.12027272727,7028.74746545455,9468.03370545455,8419.50032909091,7162.15114545455,7028.74746545455,8558.57108909091,9017.58217090909,10143.9528345455,8236.94939454545,9017.58217090909,12307.9185381818,11549.2759618182,10143.9528345455,9990.47905272727,8236.94939454545,9468.03370545455,11142.6323054545,8236.94939454545,9346.85608727273,8889.12027272727,11724.04016,12915.2874909091,8709.07516363636,15934.0585272727,8105.70919272727,8889.12027272727,10703.09232,11724.04016,6757.53943818182,7327.28099454545,8419.50032909091,10703.09232,9346.85608727273,10703.09232,6618.18286545455
"CerP 35:1; [M-H]-@6.16",8558.57108909091,14376.4855672727,16174.2238418182,14681.0309272727,13406.0181290909,11724.04016,12118.4005945455,4320.24171454545,13836.4772727273,14984.6869636364,11940.6530927273,13406.0181290909,8419.50032909091,10843.7392036364,29402.5963909091,12307.9185381818,15670.0123418182,12737.5104981818,19929.6244127273,13633.1121090909,12915.2874909091,12915.2874909091,6618.18286545455,8709.07516363636,19929.6244127273,23308.7433072727,4025.66982909091,9468.03370545455,31629.8523345455,20377.7579981818,13406.0181290909,16763.26976,5866.43738363636,13836.4772727273,6450.73831090909,13236.2018363636,27572.9905781818,20377.7579981818,15203.6983836364,7963.58558,11142.6323054545,12118.4005945455,19107.8860654545,14984.6869636364,10355.0839872727,30768.1272727273,18745.5195018182,20758.1983927273,16763.26976,12307.9185381818,9846.83809636364,16763.26976,13406.0181290909,17022.6279036364,12520.5827454545
"CerP 42:2; [M-H]-@7.70",46157.4479872727,43902.5757818182,56038.5704,36156.6902181818,18745.5195018182,38782.4138890909,36859.4703418182,38782.4138890909,34257.5131836364,36859.4703418182,45526.0605236364,56038.5704,26888.5792545455,26372.0165672727,44727.9883654545,13406.0181290909,47326.6418818182,33655.2162072727,30130.8315818182,35426.3408036364,30130.8315818182,28814.0675636364,30768.1272727273,31629.8523345455,58943.4986,36156.6902181818,40968.4490581818,45526.0605236364,30768.1272727273,57009.8259636364,58124.6517781818,49150.1218727273,57009.8259636364,47326.6418818182,47326.6418818182,58943.4986,45526.0605236364,42410.7590545455,38782.4138890909,38782.4138890909,44727.9883654545,53916.5330545455,57009.8259636364,63226.0477090909,19929.6244127273,53916.5330545455,47326.6418818182,36156.6902181818,45526.0605236364,56038.5704,45526.0605236364,34257.5131836364,54993.2422181818,44727.9883654545,28113.76454
"CL 70:1; [M-2H](2-)@6.07",33655.2162072727,20377.7579981818,20377.7579981818,9628.43103090909,28113.76454,24385.52956,41592.5119563636,29402.5963909091,17022.6279036364,27572.9905781818,26372.0165672727,29402.5963909091,25843.01804,37351.5887636364,34807.9464727273,33655.2162072727,25843.01804,26372.0165672727,34257.5131836364,18353.8908218182,20758.1983927273,25843.01804,33063.6316290909,29402.5963909091,26372.0165672727,30130.8315818182,39474.9633090909,40203.6584909091,11005.9712345455,23308.7433072727,40203.6584909091,30768.1272727273,9846.83809636364,17792.0980981818,17548.8040236364,19107.8860654545,17548.8040236364,31629.8523345455,33063.6316290909,28814.0675636364,21130.3930763636,25275.5612727273,20377.7579981818,28814.0675636364,3600.76852363636,29402.5963909091,30130.8315818182,23308.7433072727,24826.0364181818,33063.6316290909,21547.6614,38782.4138890909,28113.76454,33063.6316290909,25843.01804
"CL 70:5; [M-2H](2-)@5.90",74846.2495454545,47326.6418818182,61016.50548,39474.9633090909,21547.6614,53916.5330545455,74846.2495454545,88696.2273818182,30768.1272727273,51649.7562181818,30768.1272727273,21973.8504818182,40203.6584909091,50922.1355636364,37351.5887636364,22880.6122545455,11940.6530927273,10355.0839872727,23830.6759872727,11005.9712345455,16174.2238418182,9346.85608727273,14984.6869636364,8105.70919272727,18745.5195018182,37351.5887636364,37989.7489563636,57009.8259636364,12520.5827454545,31629.8523345455,37989.7489563636,24385.52956,19929.6244127273,20758.1983927273,30768.1272727273,17548.8040236364,22409.6534854545,34257.5131836364,53916.5330545455,43146.7638545455,13836.4772727273,14984.6869636364,17792.0980981818,17022.6279036364,12915.2874909091,9174.25360727273,11940.6530927273,8236.94939454545,25275.5612727273,17548.8040236364,26888.5792545455,26888.5792545455,30768.1272727273,23830.6759872727,36156.6902181818
"CL 74:1; [M-2H](2-)@7.07",58943.4986,57009.8259636364,88696.2273818182,86843.0588,71891.4965272727,71891.4965272727,70164.5698545455,67615.8849454546,71891.4965272727,63226.0477090909,54993.2422181818,58943.4986,73402.4356545455,60180.1820472727,162418.734363636,71891.4965272727,74846.2495454545,67615.8849454546,88696.2273818182,49150.1218727273,50922.1355636364,57009.8259636364,38782.4138890909,61958.4258,84731.7347454546,138326.028363636,109356.705054545,76996.0096363636,128475.149072727,84731.7347454546,93404.9823272727,95652.4921090909,80675.9619818182,67615.8849454546,70164.5698545455,88696.2273818182,142140.901272727,132130.831690909,135158.035909091,86843.0588,109356.705054545,84731.7347454546,118878.582,78638.2235454545,135158.035909091,125206.079345455,145546.060363636,125206.079345455,98130.0780727273,86843.0588,95652.4921090909,95652.4921090909,80675.9619818182,93404.9823272727,118878.582
"CL 74:3; [M-2H](2-)@6.17",162418.734363636,173744.822181818,197027.961818182,125206.079345455,152484.752,221270.823090909,207640.948545455,169020.554909091,109356.705054545,155593.116709091,138326.028363636,159047.750181818,169020.554909091,236758.660909091,128475.149072727,207640.948545455,162418.734363636,128475.149072727,145546.060363636,118878.582,98130.0780727273,125206.079345455,155593.116709091,132130.831690909,177025.138363636,236758.660909091,186302.149454545,192408.200181818,148998.581418182,173744.822181818,181918.598,197027.961818182,148998.581418182,177025.138363636,102831.622436364,207640.948545455,197027.961818182,186302.149454545,213558.173090909,192408.200181818,229448.964909091,229448.964909091,221270.823090909,201566.416363636,142140.901272727,285138.584,213558.173090909,173744.822181818,148998.581418182,177025.138363636,162418.734363636,148998.581418182,173744.822181818,201566.416363636,128475.149072727
"CL 74:5; [M-2H](2-)@5.17",7028.74746545455,4025.66982909091,5866.43738363636,3759.13447272727,4473.90411636364,6147.33081818182,3300.25515818182,8889.12027272727,7801.94191454545,2481.13534,4988.57443636364,5994.45970727273,3888.09214727273,5135.84030363636,4714.74555090909,2744.18522727273,3300.25515818182,4473.90411636364,4592.72678727273,2481.13534,5135.84030363636,4473.90411636364,6310.87070363636,5687.03287636364,6147.33081818182,4473.90411636364,9468.03370545455,4025.66982909091,9017.58217090909,7652.70599272727,6310.87070363636,4473.90411636364,4025.66982909091,4188.42650545455,3446.48707636364,9174.25360727273,4714.74555090909,3133.09006,6310.87070363636,8419.50032909091,9017.58217090909,9346.85608727273,4025.66982909091,6757.53943818182,7028.74746545455,6450.73831090909,7963.58558,7028.74746545455,5547.77660727273,3888.09214727273,4188.42650545455,2481.13534,6147.33081818182,5407.52952363636,3300.25515818182
