"","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db+_2225","Ctrl_BKS_db+_2226","Ctrl_BKS_db+_2227","Ctrl_BKS_db+_2231","HF_BKS_db+_2239","HF_BKS_db+_2241","HF_BKS_db+_2242","HF_BKS_db+_2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db+_2273","Ctrl_BL6_db+_2274","Ctrl_BL6_db+_2275","Ctrl_BL6_db+_2279","HF_BL6_db+_2286","HF_BL6_db+_2287","HF_BL6_db+_2288","HF_BL6_db+_2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob+_2316","Ctrl_BTBR_ob+_2317","Ctrl_BTBR_ob+_2318","Ctrl_BTBR_ob+_2320","HF_BTBR_ob+_2329","HF_BTBR_ob+_2331","HF_BTBR_ob+_2333","HF_BTBR_ob+_2334","Test Pool_Positive_01","Test Pool_Positive_02","Test Pool_Positive_03","Test Pool_Positive_03a","Test Pool_Positive_04","Test Pool_positive_05","Test Pool_positive_06","Test Pool_positive_07"
"Label","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","HF_BKS","HF_BKS","HF_BKS","HF_BKS","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","HF_BL6","HF_BL6","HF_BL6","HF_BL6","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","QC","QC","QC","QC","QC","QC","QC","QC"
"IS CE 17:0; [M+NH4]+","45596.33754","45811.58477","39914.83199","51973.56828","39985.75514","32772.27667","48955.34792","51030.76087","52586.43","60319.52426","50012.06131","54194.61748","41000.15013","54676.08994","38907.15389","48724.85236","49319.03814","34193.76317","47064.69081","45667.52601","49075.23617","27684.66636","54327.48771","63193.12686","41478.29609","48706.91827","39581.46185","40704.74327","50228.40424","68900.38361","43628.43828","53969.89157","44577.77865","61358.97755","60355.16506","46581.20532","43923.6912","37309.46418","46521.89837","49842.1148","39466.10063","55100.17613","36062.78055","40752.46249","39369.95268","47403.66099","36299.00465","32280.67976","62070.83795","53944.34795","49647.44523","43593.6723","46300.73488","46115.78725","48282.63568","67146.87266"
"IS Ceramide;[M-H20]+","8766152.349","8846837.328","8329643.595","10103227.2","9143006.775","6141021.168","9046815.585","8979639.449","9078778.613","10268955.2","9003450.152","9706369.963","9108597.772","7141188.6","7410310.543","8576529.379","9099733.293","6963082.857","8215408.611","8471044.162","8042169.171","7585905.057","7689877.839","8465468.916","8107563.421","8731717.871","7088946.557","6820964.047","9408504.686","11050170.69","8744233.386","9301153.424","9682977.215","8556958.259","9449019.148","9295277.182","7555620.747","6747407.725","7334650.659","7407557.106","7827193.232","7785978.823","6164901.27","7804922.436","7677762.081","8130681.516","5794625.039","9769964.516","10616425.57","11143707.12","11602075.78","10020728.69","11335777.74","10906284.87","10939349.29","9542037.066"
"IS DG 34:1; [M+NH4]+","3341551.595","4727379.359","3177984.745","3742037.001","3117908.345","2108030.491","4257657.872","3196995.49","4508169.708","3583366.205","2720243.625","3874823.042","4101536.135","2581632.084","2062835.177","3461826.692","3475244.529","2105086.054","2748020.091","3145473.135","2424927.411","2584829.863","2709522.768","3584138.601","2988514.401","3340459.057","2854688.796","2344168.309","3672453.844","4932025.257","3623764.524","3346729.15","3408819.452","4245758.652","5036112.303","4339446.238","2373333.075","2210682.501","2499580.547","2343365.884","3280731.301","2425208.404","2473929.001","2687212.712","2191818.033","2522325.323","1863262.597","3124162.616","3449853.761","4336383.783","4044789.855","4410827.81","3707251.895","3296996.755","3497655.682","3345271.394"
"IS lysoPC 17:0;[M+H]+","5475511.769","5208007.702","4200166.402","5922172.2","5363927.385","3556733.398","5440609.343","5690737.843","5780397.526","5637319.952","5620817.395","5733051.945","4407412.981","3173764.622","4107935.375","3878183.419","4355288.253","3565130.804","4592272.032","3960330.804","3691301.574","3930011.237","4433531.238","4232312.209","5182276.932","5362480.974","4377582.724","4357933.182","4958906.151","7649381.51","6375966.198","6399699.559","6418501.961","6567465.822","6551169.74","5439476.452","4367438.898","3562309.933","3285421.505","4164075.39","4450737.17","4213532.131","3535890.475","3872200.636","4084720.212","4006277.27","3094761.311","4032725.042","7392141.353","6918909.952","7124158.392","6328656.704","6529966.541","6598077.892","6198369.378","6592168.805"
"IS MG 17:0; [M+NH4]+","194405.0716","180643.7617","143334.3355","192269.3924","164681.1267","112149.3772","194334.4103","170854.2398","185583.431","201804.5453","188048.6337","200947.4679","190980.0084","161927.857","183575.532","191845.2472","188891.6763","152405.9469","182604.0116","162609.6647","161081.2805","165260.9888","177997.6615","177165.051","158158.2795","170822.377","147359.2274","149176.4613","170019.7444","232197.4116","175134.4383","198695.9074","193139.6151","200201.5524","236838.4594","172279.7296","169889.7112","154966.5454","151777.1807","173939.7362","149605.3332","172306.7531","153825.129","151665.2579","165651.0004","185689.6563","131409.4158","191637.9273","205835.0089","232910.9274","259553.6718","292555.0904","222645.3318","270202.714","249626.4691","245129.286"
"IS PC 34:0; [M+H]+","9780129.378","7696497.068","5735278.601","9462102.402","8003249.251","4944513.306","7738839.886","8472582.974","9503870.252","8817975.451","8155678.827","8013108.13","9992588.405","6287449.62","6027380.684","8469664.235","8595042.169","5915449.063","8035132.313","6793632.653","7293164.758","7016732.953","7832504.222","7723075.122","6436737.548","7520896.913","7512327.39","6723643.557","6771402.337","10409798.7","9268891.936","8275639.032","10201304.44","9456319.855","10285636.21","7542048.9","6696122.349","5826020.13","5954126.779","6939094.92","6492276.649","6003648.109","5917275.384","7193485.274","6548477.254","6698205.933","4857499.284","9507572.445","8900802.668","9758472.827","8297789.286","10021714.66","9184735.257","10272084.22","11021074.45","9691709.425"
"IS PE 34:0; [M+H]+","2155727.446","1401677.283","1492931.364","2229042.819","1879186.625","1496532.389","1847688.33","2316437.069","2474289.198","2306489.978","1855748.794","1680687.544","1971989.172","1995598.16","1639727.412","2016644.315","2147824.114","1369150.382","2090607.169","1694098.23","1823007.662","1790209.385","1842664.035","1879027.704","1491326.045","1700027.82","1466865.005","2039504.68","1807141.497","2644468.304","2111607.606","2534316.769","2008764.039","1906019.955","2141019.475","1489639.552","1676476.95","1634164.224","1481936.557","1556105.152","1775514.593","1406924.272","1457890.423","1567212.45","1560547.737","1874548.634","1497054.629","2075705.379","3096697.139","3372281.059","2996854.508","3500188.094","3232690.947","4549171.838","3618192.983","3958710.522"
"IS PS 34:0;[M+H]+","303210.0638","166840.5659","582312.685","613600.899","253415.2919","271421.4327","217438.829","379039.6299","627219.5098","652225.9144","233855.0535","200672.7857","137570.9851","280430.8359","346874.3553","239194.9374","239414.5581","135721.1072","175379.967","171294.6855","248528.5057","117664.6769","135054.6989","140581.4982","373158.364","287207.6562","349261.9011","780756.3976","466417.5486","992405.3369","443234.884","914598.867","365068.5008","362816.5433","326629.1696","380382.9233","224580.1437","199507.1329","204318.5135","159068.7956","157465.8973","129710.9855","183099.0587","230275.7532","150117.4274","218096.5502","234510.981","332358.4107","381141.7342","381131.9396","341574.5145","443456.5618","506221.5197","366714.8589","331390.8421","417937.9339"
"IS SM 35:1;[M+H]+","2821927.643","4203732.176","4370430.617","5044710.742","3897519.78","3008148.113","3680118.127","3111256.231","3399903.543","3891332.228","3402852.377","3353360.269","3547954.536","3237865.356","4934103.036","3684106.584","4618275.734","2758675.129","4369810.99","3457203.287","2777459.905","3214830.534","2795870.767","3568760.808","3921133.433","4834041.235","2665535.655","2711830.194","4961685.5","5282724.199","4070862.639","4398848.596","2930730.018","3336039.798","2732168.023","3437940.983","4434505.757","3896180.569","3170562.155","2598390.755","3458984.292","3258305.291","3737630.688","3329484.731","3074080.705","5010568.892","3821492.263","4832727.201","4333279.938","4590361.492","4801059.983","4591192.589","4551028.209","4583081.377","4710126.189","4797968.23"
"IS TG 51:0; [M+NH4]+","7090490.606","3320984.761","2397372.656","4747341.949","3467704.648","2934916.035","3918889.88","10353349.22","7943599.746","7155535.282","8511836.013","3257448.964","1481495.011","3151641.193","2515538.773","5137077.996","1557482.543","2030256.607","2504779.839","3901448.082","3687600.65","3914949.233","4761207.415","2619927.766","5784694.34","2135967.406","4454125.801","6680706.13","5010324.789","5923431.511","1820437.971","9722802.034","2038260.448","1813768.986","3031956.521","3365218.033","3196285.819","4043214.21","2753938.924","3954946.249","3491529.142","2832755.097","2562368.781","3011297.147","1677799.991","2055712.635","3701334.698","4322177.292","3788375.003","3499557.863","3824548.015","7105694.677","2739867.599","1520054.248","1814536.101","1171545.968"
