"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","Test.Pool_Positive_01","Test.Pool_Positive_02","Test.Pool_Positive_03","Test.Pool_Positive_03a","Test.Pool_Positive_04","Test.Pool_positive_05","Test.Pool_positive_06","Test.Pool_positive_07"
"IS CE 17:0; [M+NH4]+",45596.34,45811.58,39914.83,51973.57,39985.76,32772.28,48955.35,51030.76,52586.43,60319.52,50012.06,54194.62,41000.15,54676.09,38907.15,48724.85,49319.04,34193.76,47064.69,45667.53,49075.24,27684.67,54327.49,63193.13,41478.3,48706.92,39581.46,40704.74,50228.4,68900.38,43628.44,53969.89,44577.78,61358.98,60355.17,46581.21,43923.69,37309.46,46521.9,49842.11,39466.1,55100.18,36062.78,40752.46,39369.95,47403.66,36299,32280.68,62070.84,53944.35,49647.45,43593.67,46300.73,46115.79,48282.64,67146.87
"IS Ceramide;[M-H20]+",8766152,8846837,8329644,10103227,9143007,6141021,9046816,8979639,9078779,10268955,9003450,9706370,9108598,7141189,7410311,8576529,9099733,6963083,8215409,8471044,8042169,7585905,7689878,8465469,8107563,8731718,7088947,6820964,9408505,11050171,8744233,9301153,9682977,8556958,9449019,9295277,7555621,6747408,7334651,7407557,7827193,7785979,6164901,7804922,7677762,8130682,5794625,9769965,10616426,11143707,11602076,10020729,11335778,10906285,10939349,9542037
"IS DG 34:1; [M+NH4]+",3341552,4727379,3177985,3742037,3117908,2108030,4257658,3196995,4508170,3583366,2720244,3874823,4101536,2581632,2062835,3461827,3475245,2105086,2748020,3145473,2424927,2584830,2709523,3584139,2988514,3340459,2854689,2344168,3672454,4932025,3623765,3346729,3408819,4245759,5036112,4339446,2373333,2210683,2499581,2343366,3280731,2425208,2473929,2687213,2191818,2522325,1863263,3124163,3449854,4336384,4044790,4410828,3707252,3296997,3497656,3345271
"IS lysoPC 17:0;[M+H]+",5475512,5208008,4200166,5922172,5363927,3556733,5440609,5690738,5780398,5637320,5620817,5733052,4407413,3173765,4107935,3878183,4355288,3565131,4592272,3960331,3691302,3930011,4433531,4232312,5182277,5362481,4377583,4357933,4958906,7649382,6375966,6399700,6418502,6567466,6551170,5439476,4367439,3562310,3285422,4164075,4450737,4213532,3535890,3872201,4084720,4006277,3094761,4032725,7392141,6918910,7124158,6328657,6529967,6598078,6198369,6592169
"IS MG 17:0; [M+NH4]+",194405.1,180643.8,143334.3,192269.4,164681.1,112149.4,194334.4,170854.2,185583.4,201804.5,188048.6,200947.5,190980,161927.9,183575.5,191845.2,188891.7,152405.9,182604,162609.7,161081.3,165261,177997.7,177165.1,158158.3,170822.4,147359.2,149176.5,170019.7,232197.4,175134.4,198695.9,193139.6,200201.6,236838.5,172279.7,169889.7,154966.5,151777.2,173939.7,149605.3,172306.8,153825.1,151665.3,165651,185689.7,131409.4,191637.9,205835,232910.9,259553.7,292555.1,222645.3,270202.7,249626.5,245129.3
"IS PC 34:0; [M+H]+",9780129,7696497,5735279,9462102,8003249,4944513,7738840,8472583,9503870,8817975,8155679,8013108,9992588,6287450,6027381,8469664,8595042,5915449,8035132,6793633,7293165,7016733,7832504,7723075,6436738,7520897,7512327,6723644,6771402,10409799,9268892,8275639,10201304,9456320,10285636,7542049,6696122,5826020,5954127,6939095,6492277,6003648,5917275,7193485,6548477,6698206,4857499,9507572,8900803,9758473,8297789,10021715,9184735,10272084,11021074,9691709
"IS PE 34:0; [M+H]+",2155727,1401677,1492931,2229043,1879187,1496532,1847688,2316437,2474289,2306490,1855749,1680688,1971989,1995598,1639727,2016644,2147824,1369150,2090607,1694098,1823008,1790209,1842664,1879028,1491326,1700028,1466865,2039505,1807141,2644468,2111608,2534317,2008764,1906020,2141019,1489640,1676477,1634164,1481937,1556105,1775515,1406924,1457890,1567212,1560548,1874549,1497055,2075705,3096697,3372281,2996855,3500188,3232691,4549172,3618193,3958711
"IS PS 34:0;[M+H]+",303210.1,166840.6,582312.7,613600.9,253415.3,271421.4,217438.8,379039.6,627219.5,652225.9,233855.1,200672.8,137571,280430.8,346874.4,239194.9,239414.6,135721.1,175380,171294.7,248528.5,117664.7,135054.7,140581.5,373158.4,287207.7,349261.9,780756.4,466417.5,992405.3,443234.9,914598.9,365068.5,362816.5,326629.2,380382.9,224580.1,199507.1,204318.5,159068.8,157465.9,129711,183099.1,230275.8,150117.4,218096.6,234511,332358.4,381141.7,381131.9,341574.5,443456.6,506221.5,366714.9,331390.8,417937.9
"IS SM 35:1;[M+H]+",2821928,4203732,4370431,5044711,3897520,3008148,3680118,3111256,3399904,3891332,3402852,3353360,3547955,3237865,4934103,3684107,4618276,2758675,4369811,3457203,2777460,3214831,2795871,3568761,3921133,4834041,2665536,2711830,4961686,5282724,4070863,4398849,2930730,3336040,2732168,3437941,4434506,3896181,3170562,2598391,3458984,3258305,3737631,3329485,3074081,5010569,3821492,4832727,4333280,4590361,4801060,4591193,4551028,4583081,4710126,4797968
"CE(16:0); [M+NH4]+@10.99",37439.5,23496.03,20381.08,30116.95,37329.9,16481.93,26335.54,38431.03,38337.76,28222.8,27611.6,15424.56,31549.21,18524.35,13459.23,26212.28,34427.49,23483.2,22129.21,18541.43,30011.46,28246.36,36583.42,37958.82,28463.78,20699.78,60073,35504.79,21743.08,54024.66,40964.49,33670.23,39612.61,41222.89,59342.58,31351.55,27910.78,25370,35597.82,51920.41,47248.97,46057.81,35570.57,35362.98,32080.16,24351.5,31609.54,39616.83,16357.22,24600.05,18453.25,33007.35,32849.62,29364.62,28136.11,29238.92
"CE(16:1); [M+NH4]+@10.69",52309.889,26949.283,25364.993,71769.567,38433.034,31211.154,52402.015,79070.072,91546.565,44580.925,56976.223,56026.822,44434.327,58183.948,25402.602,57352.358,62815.146,48077.946,47894.741,44852.501,59153.144,42526.893,43646.989,48790.96,10499.849,11119.121,12136.374,12690.633,15505.635,18494.179,18615.922,19806.962,24663.733,15439.737,24380.075,15334.24,12857.201,9908.079,10528.173,17672.956,17654.995,10008.83,9882.174,12376.036,18432.35,10389.849,7212.021,12995.712,30012.471,29669.709,33406.561,19404.319,19337.158,16421.782,28271.407,17250.497
"CE(18:1); [M+NH4]+@10.94",438683.8,264735.6,204824.7,319826.6,340894.8,330041.8,403434.5,431415,458141.6,322658.2,421763.2,266863,330673.1,323458.5,165800.8,368141.5,437166.2,378581,346811.6,333954.5,427267.8,420258.7,435674.6,406163.8,342804.4,338813.5,407599.8,365213.4,247812.6,464916.4,537821.5,390486,521113.5,446605.3,679482.3,367314,285689,287459.3,352442.8,459610.2,414029.8,411621.8,313113.6,399691.7,420688.3,278403.8,276011,341636.4,293907.8,363577.3,310135.4,303780.5,421727.7,307717.8,360062.6,385605.8
"CE(18:2); [M+NH4]+@10.71",1961937.1,1322488.3,1231579,1643707.1,1785464.6,2009133.2,2199004,2800096.5,2230597.4,1903895.6,2191956.3,1680182.6,2017226.4,1500516.5,726508.5,1942902.6,1665271.9,2028936.6,1668811.8,1869911.6,2141478.8,1983387.7,2273541.2,1907256.9,2040167.2,1361959.5,2470844.3,2739708,2421894.5,2742594.8,3369023.1,2398672.8,3230167.4,3127514.5,4197333.6,2474256.2,1934370,2575301.9,2501946.9,3473424.3,2694932.2,2704220.8,2167367.1,3081259.4,2690970.2,1808525.9,2098137.3,2229339,1858474.9,2476454.1,2134595.3,1997446,2304570,1763640.1,2123483.6,2022635.1
"CE(18:3); [M+NH4]+@10.52",75112.32,60854.69,52025.92,45096.12,73572.56,80771.37,99353.11,81825.41,66847.06,94386.5,122166.66,59090.34,76253.34,87988.78,33563.36,112834.94,45393.83,35876.06,62041.03,51668.85,73758.45,59726.71,69473.54,63094.49,52898.21,55759.33,87602.99,72761.71,85939.78,47804.73,84847.34,83642.89,77450.19,105896.66,59317.49,75266.22,76595.42,73379.97,106796.56,102662.55,46536.92,45188.08,49418.97,47083.36,67568.71,43146.2,64048.08,38160.38,58949.68,42828.81,56502.79,49561.77,58006.13,62345.36,47678.7,69936.72
"CE(20:2); [M+NH4]+@11.04",41840.515,28696.269,19278.613,22200.049,18564.54,31676.391,35152.459,63903.77,72422.131,29905.414,52993.035,24233.037,42975.666,23388.606,14772.256,41661.459,46843.065,30908.024,41832.627,52721.934,54184.59,52053.171,42283.355,29894.386,19113.524,6916.091,39190.953,29851.095,16233.03,27565.218,67042.292,27381.181,31090.841,53577.959,120601.829,31295.255,10243.197,24021.243,23498.723,41990.04,36831.975,21385.546,25272.748,38418.12,14535.315,17930.808,15851.149,23850.428,38786.902,46441.545,40879.472,31428.93,31355.383,30439.623,40263.964,41226.065
"CE(20:3); [M+NH4]+@10.78",649078.8,359620,198445.5,559266.2,432274.9,443433,389729,718902.3,1005492.4,584336.6,661629.1,557193,515861.8,418986.7,186650.6,682334.1,693427.5,645622,689834.9,798709.3,818441.8,768176.4,829855.7,749574.7,285508.5,155563.9,476334.3,501236.4,371050.1,493580.7,713357.5,416246.4,941108.4,769310.5,1535995.9,709104.3,293614.7,364644.2,320246.1,716579.9,560448.5,556123,397820.7,638641.1,492734.5,269748.2,318071.2,408044.6,607357.9,503165,565029.7,424647.8,533761.5,551274.5,453296.8,718867.9
"CE(20:4); [M+NH4]+@10.62",3597792,3141342,1760948,3962788,2746577,2706366,2263441,4192179,5294889,4058491,4065188,4310194,2834049,2183512,1483066,3165947,4724467,4687439,3585015,4640898,4483605,3751858,4585975,3712824,3319315,1457854,4630083,5023845,3264108,3540567,5606497,3879135,7370116,4710439,7231046,4365726,3157529,3429204,2989076,6312164,3932286,4489488,3328327,4654757,4141796,2508135,3129743,3712752,3562551,2759010,3966290,3734935,2856452,3995217,3362196,4328518
"CE(20:5); [M+NH4]+@10.40",75336.84,66319.27,39585.26,175127.99,140045.18,129341.62,79411.19,165540.85,305955.9,240347.89,296812.38,172489.18,131611.95,164235.38,41799.81,254783.05,174130.36,219084.2,165929.12,274662.9,503488.43,376506.12,489924.91,323372.99,74237.94,38017.77,152259.34,97125.23,89844.08,63123.16,112854.67,75102.92,183117.82,150279.4,269967.62,135573.14,90870.02,79869.78,107089.04,165653.46,104378.34,94531.17,94904.19,90438.91,98085.24,35702.48,36968.48,82596.3,160224.88,151437.15,149522.76,144702.92,148979.81,134026.76,119620.66,143261.99
"CE(22:4); [M+NH4]+@10.86",73576.12,47674.84,27033.42,64766.94,36298.18,35848.5,38679.71,96926.3,98746.82,52866.45,64613.79,65047.28,90227.71,37283.35,17550.79,55779.58,74621.78,59164.52,58511.12,92473.65,50098.07,68855.33,56708.65,58576.64,29277.7,17578.33,56203.48,47068.46,11943.05,32314.9,46412.92,35678.6,67818.52,56016.34,114841.15,37433.38,24448.8,20669.61,16471.6,52008.06,28491.38,42590.09,24720.93,20997.43,23793.18,13665.12,16024.83,13273.74,55310.06,25464.82,46950.01,33384.83,36298.78,35809.79,46647.68,47443.94
