"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6","QC.7"
"IS CE 17:0; [M+NH4]+",25512.6945214286,40548.962,48361.2514107143,53750.5081428571,41150.2392553571,36296.6571607143,36710.8180714286,33947.3848214286,59318.3306071429,74356.9077142857,37075.7029285714,57373.1916785714,33517.6937464286,52158.5386964286,65030.9336964286,46275.2542142857,51273.3937892857,38542.2943035714,52676.0858214286,49400.7583928571,49400.7583928571,29252.5447857143,51273.3937892857,65030.9336964286,56658.1950714286,53750.5081428571,30385.9211607143,37075.7029285714,69262.1564285714,65856.897125,40548.962,48848.5879821429,38062.8084464286,65856.897125,50166.1227321429,49400.7583928571,61669.8644464286,43068.5914821429,51273.3937892857,44274.6306214286,37615.9747321429,48848.5879821429,44274.6306214286,39140.4858,42527.17075,62457.6624285714,49400.7583928571,38062.8084464286,53750.5081428571,48848.5879821429,46275.2542142857,48361.2514107143,43808.7204642857,47377.3221964286,51273.3937892857,72458.0469285714
"IS Ceramide;[M-H20]+",4311916.23392857,9747255.375,20379508.3928571,9747255.375,9747255.375,9747255.375,9050673.90535714,6352134.63571429,6352134.63571429,9747255.375,7033027.61071429,9050673.90535714,7515683.5375,7515683.5375,20379508.3928571,7515683.5375,9747255.375,7515683.5375,7515683.5375,7515683.5375,7515683.5375,7515683.5375,7033027.61071429,7515683.5375,10718816.4642857,11913971.1857143,5738250.97857143,7033027.61071429,13341566.1071429,13341566.1071429,9747255.375,11913971.1857143,7033027.61071429,6352134.63571429,5307504.55892857,9050673.90535714,11913971.1857143,9747255.375,11913971.1857143,7033027.61071429,7515683.5375,8408594.87142857,8408594.87142857,9747255.375,9050673.90535714,13341566.1071429,11913971.1857143,11913971.1857143,10718816.4642857,10718816.4642857,10718816.4642857,9050673.90535714,11913971.1857143,9747255.375,9747255.375,9050673.90535714
"IS DG 34:1; [M+NH4]+",1703411.1375,4593318.40535714,3609890.8875,3006940.2875,3456077.74642857,3006940.2875,3609890.8875,2659092.52142857,3609890.8875,3609890.8875,2081552.18107143,3456077.74642857,3764057.53571429,2798794.35357143,3764057.53571429,2798794.35357143,3609890.8875,2191199.3875,2798794.35357143,2659092.52142857,2191199.3875,2191199.3875,2191199.3875,3609890.8875,3456077.74642857,3764057.53571429,2798794.35357143,1860499.51964286,5738250.97857143,4052666.14821429,3456077.74642857,3215466.78928571,3215466.78928571,3456077.74642857,3456077.74642857,4052666.14821429,3006940.2875,2659092.52142857,2359340.24642857,2191199.3875,3215466.78928571,2359340.24642857,3215466.78928571,2659092.52142857,2359340.24642857,3609890.8875,3215466.78928571,3456077.74642857,3764057.53571429,4593318.40535714,4311916.23392857,4593318.40535714,4311916.23392857,3609890.8875,4052666.14821429,3764057.53571429
"IS lysoPC 17:0;[M+H]+",3215466.78928571,6352134.63571429,5738250.97857143,5307504.55892857,5738250.97857143,4963232.46964286,4593318.40535714,4311916.23392857,4593318.40535714,5738250.97857143,4593318.40535714,4963232.46964286,4311916.23392857,3456077.74642857,7033027.61071429,3609890.8875,4052666.14821429,4311916.23392857,5738250.97857143,4052666.14821429,3215466.78928571,4052666.14821429,3456077.74642857,4593318.40535714,6352134.63571429,7033027.61071429,3609890.8875,3609890.8875,8408594.87142857,9747255.375,5738250.97857143,7033027.61071429,4593318.40535714,4593318.40535714,4052666.14821429,5307504.55892857,4963232.46964286,4593318.40535714,4593318.40535714,4052666.14821429,4963232.46964286,4593318.40535714,4593318.40535714,4311916.23392857,4593318.40535714,5738250.97857143,4593318.40535714,4963232.46964286,6352134.63571429,6352134.63571429,6352134.63571429,6352134.63571429,6352134.63571429,6352134.63571429,6352134.63571429,6352134.63571429
"IS MG 17:0; [M+NH4]+",95075.6899107143,187099.633392857,162895.890535714,208790.035892857,162895.890535714,127051.975535714,145524.426428571,119097.626160714,175243.289464286,232949.467321429,165482.095410714,216846.032678571,193810.348035714,162895.890535714,378431.959821429,184182.495357143,208790.035892857,190339.559732143,225006.267321429,175243.289464286,175243.289464286,197721.701428571,167795.16625,181205.861071429,184182.495357143,187099.633392857,120680.889053571,117720.216285714,246450.584285714,208790.035892857,160941.353928571,197721.701428571,156444.792678571,201538.518285714,156444.792678571,181205.861071429,220102.027321429,187099.633392857,158817.032142857,143094.981607143,141280.816660714,175243.289464286,167795.16625,154767.950607143,173073.23625,237562.454642857,184182.495357143,190339.559732143,197721.701428571,225006.267321429,250914.672142857,297591.5925,216846.032678571,260843.768928571,260843.768928571,255634.077857143
"IS PC 34:0; [M+H]+",4963232.46964286,8408594.87142857,9747255.375,9050673.90535714,8408594.87142857,7033027.61071429,6352134.63571429,5307504.55892857,7033027.61071429,7515683.5375,6352134.63571429,7033027.61071429,8408594.87142857,7033027.61071429,11913971.1857143,7033027.61071429,8408594.87142857,7033027.61071429,7033027.61071429,7033027.61071429,7033027.61071429,7033027.61071429,7515683.5375,7033027.61071429,9050673.90535714,10718816.4642857,7515683.5375,6352134.63571429,10718816.4642857,11913971.1857143,10718816.4642857,10718816.4642857,8408594.87142857,7515683.5375,7515683.5375,8408594.87142857,9747255.375,8408594.87142857,9050673.90535714,6352134.63571429,7033027.61071429,6352134.63571429,7515683.5375,7515683.5375,7033027.61071429,10718816.4642857,10718816.4642857,9747255.375,8408594.87142857,9747255.375,8408594.87142857,9747255.375,9050673.90535714,9050673.90535714,10718816.4642857,9747255.375
"IS PE 34:0; [M+H]+",1079072.0475,1553076.83392857,1969837.23214286,2491126.09285714,1969837.23214286,1860499.51964286,1330164.48803571,1787562.77232143,2081552.18107143,2359340.24642857,1461401.45625,1627644.31964286,1860499.51964286,2081552.18107143,3456077.74642857,1787562.77232143,2191199.3875,1461401.45625,2191199.3875,1553076.83392857,1627644.31964286,1553076.83392857,1461401.45625,1627644.31964286,1860499.51964286,2081552.18107143,1263556.35357143,1627644.31964286,3215466.78928571,2659092.52142857,1969837.23214286,2491126.09285714,1203954.15821429,1787562.77232143,1203954.15821429,1703411.1375,2491126.09285714,2081552.18107143,1860499.51964286,1330164.48803571,1627644.31964286,1263556.35357143,1787562.77232143,1461401.45625,1553076.83392857,2798794.35357143,2659092.52142857,2491126.09285714,3006940.2875,3456077.74642857,3006940.2875,3764057.53571429,3609890.8875,4593318.40535714,4311916.23392857,4052666.14821429
"IS PS 34:0;[M+H]+",162895.890535714,175243.289464286,789837.720857143,789837.720857143,277935.385892857,326711.000928571,175243.289464286,250914.672142857,755090.185178571,919811.714464286,216846.032678571,212420.734464286,141280.816660714,313888.249107143,755090.185178571,232949.467321429,274166.696607143,175243.289464286,216846.032678571,197721.701428571,255634.077857143,135914.676107143,134451.952857143,158817.032142857,451466.038375,344122.044982143,270136.797678571,542210.801339286,848770.746428571,994511.13,395864.378607143,887868.323214286,270136.797678571,350513.1025,220102.027321429,402297.648696429,326711.000928571,260843.768928571,232949.467321429,127051.975535714,151008.209285714,116274.217910714,205109.509821429,216846.032678571,154767.950607143,274166.696607143,338409.199767857,361322.767767857,355618.159839286,374439.636214286,338409.199767857,542210.801339286,585245.623017857,395864.378607143,361322.767767857,487914.244571429
"IS SM 35:1;[M+H]+",1461401.45625,4052666.14821429,7033027.61071429,4963232.46964286,4311916.23392857,4052666.14821429,3215466.78928571,2491126.09285714,2491126.09285714,4052666.14821429,2491126.09285714,3006940.2875,3006940.2875,3764057.53571429,10718816.4642857,3215466.78928571,4963232.46964286,3006940.2875,4963232.46964286,3609890.8875,2659092.52142857,2798794.35357143,2491126.09285714,3456077.74642857,4963232.46964286,4963232.46964286,2659092.52142857,2359340.24642857,9050673.90535714,5738250.97857143,3764057.53571429,4593318.40535714,2491126.09285714,3215466.78928571,1703411.1375,3609890.8875,5738250.97857143,5738250.97857143,4052666.14821429,2659092.52142857,3609890.8875,3215466.78928571,5307504.55892857,3609890.8875,3609890.8875,9747255.375,7515683.5375,6352134.63571429,4963232.46964286,4963232.46964286,4963232.46964286,5307504.55892857,4963232.46964286,4963232.46964286,5307504.55892857,4963232.46964286
"CE(16:0); [M+NH4]+@10.99",20701.8814285714,21395.8974232143,24648.4148571429,29997.9773464286,37075.7029285714,16990.3754589286,18324.2519410714,25187.8067964286,39140.4858,33947.3848214286,21115.1249267857,15248.5211732143,25512.6945214286,18849.0058946429,27154.9757589286,26487.900225,35300.0843035714,28815.6255678571,24648.4148571429,19054.5808375,30799.8339821429,30385.9211607143,32676.7934678571,41150.2392553571,39140.4858,25187.8067964286,47875.041125,31127.5517321429,29997.9773464286,48848.5879821429,37075.7029285714,35300.0843035714,35300.0843035714,46275.2542142857,48848.5879821429,36710.8180714286,37075.7029285714,28815.6255678571,41150.2392553571,46830.2759821429,45193.1514821429,42527.17075,43068.5914821429,34282.9123875,34282.9123875,32676.7934678571,45193.1514821429,44274.6306214286,15248.5211732143,23233.7167285714,16990.3754589286,36296.6571607143,33947.3848214286,30385.9211607143,31487.0496071429,29997.9773464286
