"Class","Carbon","Chain","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"CE",22,6," [M+NH4]+@10.47",729938.209285714,1334914.06285714,1145645.24982143,1927700.38107143,1587400.85357143,1750917.09642857,1145645.24982143,1479117.02589286,2057660.45535714,1927700.38107143,1750917.09642857,1662327.25089286,1662327.25089286,1662327.25089286,1401515.98839286,1750917.09642857,1750917.09642857,1927700.38107143,1927700.38107143,1927700.38107143,2057660.45535714,2057660.45535714,1927700.38107143,1927700.38107143,2377512.36607143,816021.157142857,2194597.62678571,1927700.38107143,3404619.23928571,1587400.85357143,3147640.32142857,1750917.09642857,2917267.36071429,2707890.17321429,2057660.45535714,2917267.36071429,2194597.62678571,1927700.38107143,1830197.00892857,1750917.09642857,1927700.38107143,1830197.00892857,2524491.27857143,2194597.62678571,1750917.09642857,1662327.25089286,1830197.00892857,2194597.62678571
"CE",20,4," [M+NH4]+@10.62",1587400.85357143,2707890.17321429,2377512.36607143,3646891.38928571,3147640.32142857,3404619.23928571,2057660.45535714,2917267.36071429,4262567.43214286,4720640.14285714,3404619.23928571,3646891.38928571,2707890.17321429,2377512.36607143,3404619.23928571,2524491.27857143,5107607.39642857,5549056.43392857,3981165.63392857,4262567.43214286,4262567.43214286,3646891.38928571,3404619.23928571,3981165.63392857,3981165.63392857,1927700.38107143,3981165.63392857,3981165.63392857,6336154.78392857,3404619.23928571,5107607.39642857,3646891.38928571,4720640.14285714,3404619.23928571,3981165.63392857,4262567.43214286,4262567.43214286,4262567.43214286,3404619.23928571,5107607.39642857,3981165.63392857,4720640.14285714,4262567.43214286,5107607.39642857,4720640.14285714,3646891.38928571,5107607.39642857,4720640.14285714
"CE",20,2," [M+NH4]+@11.04",22655.337375,26837.4808035714,23786.4344803571,22655.337375,16990.3754589286,34815.1407125,27166.2703839286,42270.1891785714,77587.5420535714,36345.0238035714,42270.1891785714,23535.6674,36743.522125,23233.7167285714,28136.8426732143,38739.4274821429,48620.6934642857,35812.2215678571,46053.4322303571,53084.9719464286,55809.6597678571,58590.797375,37709.0024642857,33549.8261214286,25187.8067964286,7446.81342910714,30024.804525,25885.5997321429,24338.8607678571,25515.7566642857,67625.6619821429,28136.8426732143,25885.5997321429,59235.9577142857,79587.1851607143,36345.0238035714,14025.1392089286,26837.4808035714,25187.8067964286,36743.522125,34346.9940660714,19707.9837678571,30828.0614821429,36345.0238035714,17470.1654285714,25885.5997321429,22098.1082571429,28495.2293321429
"CE",18,2," [M+NH4]+@10.71",994300.145714286,1401515.98839286,1830197.00892857,2057660.45535714,1927700.38107143,2707890.17321429,1927700.38107143,2057660.45535714,1830197.00892857,2057660.45535714,1662327.25089286,1587400.85357143,1927700.38107143,1479117.02589286,2057660.45535714,1587400.85357143,1830197.00892857,2057660.45535714,2057660.45535714,1587400.85357143,1830197.00892857,1750917.09642857,1662327.25089286,1662327.25089286,2707890.17321429,1662327.25089286,2057660.45535714,2194597.62678571,3646891.38928571,2917267.36071429,3404619.23928571,2377512.36607143,2707890.17321429,2917267.36071429,3147640.32142857,2707890.17321429,2917267.36071429,3404619.23928571,2377512.36607143,3147640.32142857,2707890.17321429,2377512.36607143,2707890.17321429,3147640.32142857,2524491.27857143,2917267.36071429,3646891.38928571,2917267.36071429
"CE",22,4," [M+NH4]+@10.86",40158.8461785714,43291.4779107143,29604.2187464286,65810.4067678571,35409.6194821429,41284.5769428571,31812.2950125,65810.4067678571,93520.8039821429,62397.9615714286,56548.0280714286,68428.0165178571,84781.2899285714,33549.8261214286,33549.8261214286,51863.2385178571,82936.7736785714,73265.899375,61580.5224107143,99141.5412678571,51078.9281285714,79587.1851607143,53603.7779642857,60032.3102321429,40740.1316785714,20701.8814285714,42270.1891785714,40158.8461785714,19054.5808375,31521.0185357143,42740.6879821429,37709.0024642857,58590.797375,62397.9615714286,75446.9514642857,42270.1891785714,30024.804525,23233.7167285714,17648.0953017857,47138.1425892857,26171.2539482143,37709.0024642857,30426.4898571429,22098.1082571429,24878.3242321429,19054.5808375,23233.7167285714,16305.6618767857
"CE",16,0," [M+NH4]+@10.99",20701.8814285714,21395.8974232143,24648.4148571429,30024.804525,37210.6875,16990.3754589286,18324.2519410714,25187.8067964286,39180.905925,33964.91875,21115.1249267857,15248.5211732143,25515.7566642857,18849.0058946429,27166.2703839286,26496.8920107143,35409.6194821429,28827.6476035714,24648.4148571429,19054.5808375,30828.0614821429,30024.804525,32697.9834678571,41284.5769428571,39180.905925,25187.8067964286,47588.3137857143,31145.2635178571,30024.804525,49173.166625,37210.6875,35409.6194821429,35409.6194821429,46570.3652142857,49173.166625,36743.522125,37210.6875,28827.6476035714,41284.5769428571,46570.3652142857,44872.1232142857,42740.6879821429,43291.4779107143,34346.9940660714,34346.9940660714,32697.9834678571,45353.4926071429,43924.0483357143
"DG",32,0," [M+NH4]+@7.91",19915.4671964286,37709.0024642857,49173.166625,49173.166625,40158.8461785714,40158.8461785714,30426.4898571429,26171.2539482143,31812.2950125,47138.1425892857,35409.6194821429,47138.1425892857,28827.6476035714,35409.6194821429,53603.7779642857,42740.6879821429,48140.8671607143,36345.0238035714,47588.3137857143,33549.8261214286,39672.23125,48620.6934642857,34346.9940660714,43291.4779107143,42270.1891785714,53084.9719464286,25187.8067964286,28827.6476035714,58590.797375,51863.2385178571,41284.5769428571,40740.1316785714,41788.9912446429,49856.8851607143,33163.5863571429,44400.4986964286,51863.2385178571,38739.4274821429,32263.4358392857,26171.2539482143,29256.8306071429,31812.2950125,39672.23125,32697.9834678571,31812.2950125,44400.4986964286,64910.1661964286,47138.1425892857
"DG",34,2," [M+NH4]+@7.60",134721.242857143,58590.797375,104925.049285714,21395.8974232143,44872.1232142857,47588.3137857143,95086.8434821429,48620.6934642857,17648.0953017857,31145.2635178571,84781.2899285714,17470.1654285714,89732.2299821428,73265.899375,26837.4808035714,41788.9912446429,32697.9834678571,31812.2950125,35409.6194821429,24878.3242321429,38739.4274821429,29256.8306071429,40158.8461785714,33163.5863571429,31521.0185357143,77587.5420535714,43924.0483357143,51078.9281285714,44872.1232142857,40740.1316785714,30828.0614821429,43924.0483357143,31145.2635178571,21870.113375,25515.7566642857,31812.2950125,14251.4973392857,41788.9912446429,52560.8878035714,25187.8067964286,25885.5997321429,26837.4808035714,22098.1082571429,27516.2858410714,38739.4274821429,38739.4274821429,42740.6879821429,29604.2187464286
"DG",36,2," [M+NH4]+@8.09",141663.135,80728.0989821429,91027.3493928571,36345.0238035714,58590.797375,38739.4274821429,99141.5412678571,64910.1661964286,44400.4986964286,60928.3265178571,104925.049285714,44400.4986964286,91027.3493928571,85871.8150892857,69235.555,67625.6619821429,55107.5350232143,49173.166625,50560.2420107143,41788.9912446429,69235.555,57274.9927142857,106251.872142857,88251.3293035714,41788.9912446429,64172.3337857143,38739.4274821429,42270.1891785714,46053.4322303571,46570.3652142857,43291.4779107143,44400.4986964286,47588.3137857143,29256.8306071429,55107.5350232143,40158.8461785714,23233.7167285714,56548.0280714286,72407.9940714286,44400.4986964286,35409.6194821429,38222.1059642857,31812.2950125,46053.4322303571,36345.0238035714,45353.4926071429,35409.6194821429,31145.2635178571
"DG",36,4," [M+NH4]+@7.32",53084.9719464286,24338.8607678571,65810.4067678571,10017.8381107143,21115.1249267857,13295.9136892857,54373.6077857143,18849.0058946429,10017.8381107143,11835.7087017857,43924.0483357143,11515.6484035714,28495.2293321429,23786.4344803571,13482.9624910714,10147.4543035714,6173.28736053571,4565.76887392857,8885.06739660714,1583.11261982143,11324.7492232143,6894.08267107143,10147.4543035714,13295.9136892857,14779.4399142857,51863.2385178571,37210.6875,37210.6875,22996.4870714286,31812.2950125,23233.7167285714,27852.3630714286,16305.6618767857,10821.5161821429,12054.161475,9064.79783035714,21658.0276339286,37709.0024642857,36345.0238035714,13867.7270535714,16758.3396607143,21395.8974232143,19707.9837678571,21395.8974232143,12445.6085892857,17205.0590267857,15837.7024571429,19250.3550410714
