Sample_Name,Group,Weight
Ctrl_BKS_2202,Ctrl,1
Ctrl_BKS_2203,Ctrl,1
Ctrl_BKS_2206,Ctrl,1
Ctrl_BKS_2211,Ctrl,1
HF_BKS_2214,HF,1
HF_BKS_2216,HF,1
HF_BKS_2217,HF,1
HF_BKS_2218,HF,1
Ctrl_BKS_db._2225,Ctrl,1
Ctrl_BKS_db._2226,Ctrl,1
Ctrl_BKS_db._2227,Ctrl,1
Ctrl_BKS_db._2231,Ctrl,1
HF_BKS_db._2239,HF,1
HF_BKS_db._2241,HF,1
HF_BKS_db._2242,HF,1
HF_BKS_db._2243,HF,1
Ctrl_BL6_2249,Ctrl,1
Ctrl_BL6_2250,Ctrl,1
Ctrl_BL6_2251,Ctrl,1
Ctrl_BL6_2252,Ctrl,1
HF_BL6_2260,HF,1
HF_BL6_2261,HF,1
HF_BL6_2262,HF,1
HF_BL6_2266,HF,1
Ctrl_BL6_db._2273,Ctrl,1
Ctrl_BL6_db._2274,Ctrl,1
Ctrl_BL6_db._2275,Ctrl,1
Ctrl_BL6_db._2279,Ctrl,1
HF_BL6_db._2286,HF,1
HF_BL6_db._2287,HF,1
HF_BL6_db._2288,HF,1
HF_BL6_db._2289,HF,1
Ctrl_BTBR_2292,Ctrl,1
Ctrl_BTBR_2293,Ctrl,1
Ctrl_BTBR_2297,Ctrl,1
Ctrl_BTBR_2298,Ctrl,1
HF_BTBR_2306,HF,1
HF_BTBR_2307,HF,1
HF_BTBR_2308,HF,1
HF_BTBR_2309,HF,1
Ctrl_BTBR_ob._2316,Ctrl,1
Ctrl_BTBR_ob._2317,Ctrl,1
Ctrl_BTBR_ob._2318,Ctrl,1
Ctrl_BTBR_ob._2320,Ctrl,1
HF_BTBR_ob._2329,HF,1
HF_BTBR_ob._2331,HF,1
HF_BTBR_ob._2333,HF,1
HF_BTBR_ob._2334,HF,1
