"","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db+_2225","Ctrl_BKS_db+_2226","Ctrl_BKS_db+_2227","Ctrl_BKS_db+_2231","HF_BKS_db+_2239","HF_BKS_db+_2241","HF_BKS_db+_2242","HF_BKS_db+_2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db+_2273","Ctrl_BL6_db+_2274","Ctrl_BL6_db+_2275","Ctrl_BL6_db+_2279","HF_BL6_db+_2286","HF_BL6_db+_2287","HF_BL6_db+_2288","HF_BL6_db+_2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob+_2316","Ctrl_BTBR_ob+_2317","Ctrl_BTBR_ob+_2318","Ctrl_BTBR_ob+_2320","HF_BTBR_ob+_2329","HF_BTBR_ob+_2331","HF_BTBR_ob+_2333","HF_BTBR_ob+_2334","Test Pool_Negatve_01","Test Pool_Negatve_02","Test Pool_Negatve_03","Test Pool_Negatve_04","Test Pool_Negatve_05","Test Pool_Negatve_06","Test Pool_Negatve_07"
"Label","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","HF_BKS","HF_BKS","HF_BKS","HF_BKS","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","HF_BL6","HF_BL6","HF_BL6","HF_BL6","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","QC","QC","QC","QC","QC","QC","QC"
"IS PC 34:0;[M-Ac-H]-","179060.0896","267237.3643","166468.5832","333330.4761","221879.5603","299607.7905","285296.7619","135901.8857","153633.0325","260831.4837","208457.7081","171958.5435","N/A","134945.5194","124188.8031","262086.4278","210286.5739","191329.5013","196787.7512","181129.3552","301784.7184","352725.3627","311602.5885","291798.7084","287607.8369","345736.1571","328720.2399","345828.4936","242366.7895","280658.7614","240216.0259","280273.9523","288518.8225","233269.892","247534.6998","295924.7711","326608.65","298337.4011","281997.0107","293466.8696","289036.8477","370259.7562","288998.0112","397008.0255","283110.8936","343006.0375","452304.4234","241157.2735","261398.9128","259731.571","245442.4028","244893.4181","212271.0494","254462.9408","265288.9061"
"IS PG 34:0 ;[M-H]-","1380863.909","1146668.723","2003524.401","751016.5821","1262725.733","1059702.08","752127.8541","1714570.573","1578724.488","1398304.56","1481637.266","1738078.626","1743129.486","1561102.556","1501477.277","898809.4036","1522122.727","1241214.986","1427901.854","1478491.992","442478.4564","649436.9217","835845.5058","771437.3229","775050.3786","500907.1038","1001618.08","644570.1982","563233.8047","906113.351","1265062.4","1314830.422","1137731.202","1226616.304","1499928.162","1262417.887","596979.6995","698202.065","915980.3095","761808.8776","999360.4295","490331.2932","594031.4757","434156.2302","675330.2482","707779.9175","407648.1732","782362.7338","961971.0209","1073675.116","1172757.478","948379.7994","1093578.678","1060159.427","1049422.016"
"IS PI 37:4 ;[M-H]-","88483.13929","72565.26986","25522.75254","61021.68861","89065.98886","32000.47406","24866.81534","34988.27013","27181.53387","62683.49638","55165.13309","30989.82835","27825.68376","58647.15956","44717.3161","65812.70631","27559.10731","48431.31236","46481.84747","58791.69874","74999.70335","51975.5488","40677.76585","85894.67521","66163.72667","73404.69977","65153.81509","29128.64738","80645.99585","83958.86637","45104.66716","28953.80929","46015.97503","52727.88996","90844.33726","58292.28195","121267.6955","105414.0632","100443.7274","81660.04967","74299.20732","82526.79923","86687.03456","57026.62207","66525.73478","76744.08924","80920.54595","68626.21806","59795.42237","60435.80716","56008.59727","50699.79868","48304.64304","52073.80418","59101.77903"
"IS PS 34:0 ;[M-H]-","212644.4257","219876.2268","197558.0173","79260.08409","166346.03","191932.765","180871.5207","301858.2279","208928.9914","165368.0902","176900.0721","123109.082","502233.235","217443.8422","292733.0775","179461.026","323917.7877","165134.9322","144512.4719","234108.2438","117266.3527","354882.5554","206369.9842","257733.5943","158903.2713","103527.5414","255165.1081","90741.42116","172720.0308","244520.3472","243809.1022","140855.1193","124660.049","108682.5691","95682.35723","144065.0705","166906.8557","164411.6095","173839.3423","178286.3341","142959.1747","112473.9346","127479.4726","103949.6714","199577.0307","135529.3189","98218.92021","153267.2168","196883.9703","85781.32994","168511.1264","156672.4402","127719.5402","157737.0781","121689.8839"
"CL 66:2; [M-2H](2-)@5.94","24542.96671","8008.398238","38748.75977","6639.678629","9709.283077","17925.67927","2645.814362","20617.70838","27151.04978","14877.69859","16833.34568","28422.82697","12176.94458","10425.93171","23224.54912","10222.49941","12947.55464","18627.31581","17012.4288","9003.694512","3300.233409","13536.5845","8917.949404","16307.96298","18058.14073","8350.28316","10507.70474","5042.240489","36837.47205","7703.980577","14345.66096","9449.105863","7389.206046","14214.80835","13266.25779","12530.94892","45043.65195","12996.80171","9590.305648","7094.520821","23067.85053","6031.987893","7218.687491","3461.619461","7667.17541","3169.42258","3129.552042","8646.723","9353.061501","11284.45787","6257.316342","9003.132319","12470.50765","14034.23548","15086.12487"
"CL 66:3; [M-2H](2-)@5.78","21419.23854","20978.73431","39783.26303","9024.662576","13335.50703","10570.71692","5498.755767","24737.34928","37623.65851","17589.49665","28377.66866","33113.22668","22089.70675","23827.33263","28566.22396","11798.69948","12483.31453","24042.55486","16594.06493","38384.19611","866.2049872","8022.052098","6558.858047","16658.59145","12657.49493","5098.403978","9706.892687","13252.26849","9765.059432","4609.918432","17406.59052","10492.60173","7869.634","17463.84346","16590.97605","12835.94313","7200.190777","10348.00898","13680.75302","7358.097913","10759.20767","4615.303099","6762.175475","2140.618675","7341.294371","6427.091405","5982.325142","8067.523091","9083.535746","10608.21094","14743.6704","15275.99431","11494.09711","15496.52463","13639.05527"
"CL 68:1; [M-2H](2-)@7.43","42238.56443","16320.87696","39264.49882","32037.31762","26571.22526","20390.70282","13502.12823","28149.84071","20791.29876","14788.15603","36232.92062","24616.40125","30590.34179","26698.42745","30262.75341","25192.55833","48552.59128","32878.51031","42641.6404","50085.80145","18113.4133","35023.00169","25674.8661","29212.4696","29057.57631","19957.392","19819.17208","22729.95999","18287.73996","25605.79117","20787.45278","15823.57527","37435.73318","19884.06514","19095.04937","33166.93452","51494.60713","19665.17681","18761.74209","24219.80229","34104.58163","29273.48809","28883.91657","24795.68108","36880.16249","30209.96514","21868.95992","24187.38674","19308.06789","12652.42501","21074.70634","21756.43746","16424.01544","20784.51615","16321.68634"
"CL 68:2; [M-2H](2-)@5.86","135624.4404","91709.67177","104920.2317","27875.7434","38043.46106","71853.4334","51823.5379","127975.4061","83520.94614","75049.77647","114816.4184","179426.8505","61485.44201","45715.66276","76174.87219","31764.1351","54179.80831","134461.8255","36821.82129","103474.9863","9838.363748","46103.92523","59178.83051","36426.23972","19677.31977","26286.7924","30541.49059","43691.54341","36646.48152","31158.80993","64154.74782","57089.4325","32068.34584","104213.386","91050.25083","75593.63702","53773.48296","51405.62007","75255.28894","61196.08894","83498.28908","18555.86484","60022.971","15703.72802","48545.37124","73734.63585","19986.47035","50662.71111","35781.18033","34403.90196","55628.15022","44718.90103","89505.30101","54597.99257","47391.01132"
"CL 68:2; [M-2H](2-)@7.68","72874.00351","55320.13886","45854.23182","28993.17951","37130.18069","23294.48458","44187.52038","51407.39019","44823.99376","38385.66749","40594.71649","42249.897","33469.01191","25834.11151","88765.53305","30932.2057","34227.67747","35513.00133","39113.04818","44764.1005","34991.24147","46197.83641","70785.61682","34267.83872","31516.72474","54058.56717","20915.97352","45605.90828","33951.11307","30634.05829","29434.03104","36339.93345","40575.52875","39947.41355","48210.11389","43081.72024","38991.34322","44818.5977","43984.07501","34442.93832","44156.25954","44740.44255","35109.78575","53720.3817","37721.50152","44436.23463","31427.07309","31905.81334","35206.98766","38210.48052","36008.18269","29423.15745","38825.52222","28563.82555","37027.42868"
"CL 68:3; [M-2H](2-)@6.15","28465.10245","21358.38019","42241.91559","17841.195","19996.9276","20318.84854","11523.44041","52573.76921","34217.73363","16383.60604","30771.43329","28216.17833","21769.34535","24330.88568","33515.62189","18692.28738","18785.30492","25614.83518","23808.68883","20293.52569","6665.588209","8691.417104","13136.67704","13441.26499","8657.467644","5001.287951","17597.40175","16573.7787","9901.543164","13582.19764","19071.97827","36610.94951","10710.3569","17247.98112","33578.19592","22823.02557","19674.40983","11115.52033","16754.69038","13003.91479","22258.6638","8724.035324","14200.89179","5936.123659","12971.41102","18114.00088","7278.760816","24373.22527","12942.59769","11034.87536","14896.83133","15833.79001","18981.77289","16035.69615","17831.33619"
