Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218,Ctrl_BKS_db+_2225,Ctrl_BKS_db+_2226,Ctrl_BKS_db+_2227,Ctrl_BKS_db+_2231,HF_BKS_db+_2239,HF_BKS_db+_2241,HF_BKS_db+_2242,HF_BKS_db+_2243,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266,Ctrl_BL6_db+_2273,Ctrl_BL6_db+_2274,Ctrl_BL6_db+_2275,Ctrl_BL6_db+_2279,HF_BL6_db+_2286,HF_BL6_db+_2287,HF_BL6_db+_2288,HF_BL6_db+_2289,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309,Ctrl_BTBR_ob+_2316,Ctrl_BTBR_ob+_2317,Ctrl_BTBR_ob+_2318,Ctrl_BTBR_ob+_2320,HF_BTBR_ob+_2329,HF_BTBR_ob+_2331,HF_BTBR_ob+_2333,HF_BTBR_ob+_2334,Test Pool_Negatve_01,Test Pool_Negatve_02,Test Pool_Negatve_03,Test Pool_Negatve_04,Test Pool_Negatve_05,Test Pool_Negatve_06,Test Pool_Negatve_07
IS PC 34:0;[M-Ac-H]-,179060.1,267237.4,166468.6,333330.5,221879.6,299607.8,285296.8,135901.9,153633,260831.5,208457.7,171958.5,292023.1,134945.5,124188.8,262086.4,210286.6,191329.5,196787.8,181129.4,301784.7,352725.4,311602.6,291798.7,287607.8,345736.2,328720.2,345828.5,242366.8,280658.8,240216,280274,288518.8,233269.9,247534.7,295924.8,326608.7,298337.4,281997,293466.9,289036.8,370259.8,288998,397008,283110.9,343006,452304.4,241157.3,261398.9,259731.6,245442.4,244893.4,212271,254462.9,265288.9
IS PG 34:0 ;[M-H]-,1380863.9,1146668.7,2003524.4,751016.6,1262725.7,1059702.1,752127.9,1714570.6,1578724.5,1398304.6,1481637.3,1738078.6,1743129.5,1561102.6,1501477.3,898809.4,1522122.7,1241215,1427901.9,1478492,442478.5,649436.9,835845.5,771437.3,775050.4,500907.1,1001618.1,644570.2,563233.8,906113.4,1265062.4,1314830.4,1137731.2,1226616.3,1499928.2,1262417.9,596979.7,698202.1,915980.3,761808.9,999360.4,490331.3,594031.5,434156.2,675330.2,707779.9,407648.2,782362.7,961971,1073675.1,1172757.5,948379.8,1093578.7,1060159.4,1049422
IS PI 37:4 ;[M-H]-,88483.14,72565.27,25522.75,61021.69,89065.99,32000.47,24866.82,34988.27,27181.53,62683.5,55165.13,30989.83,27825.68,58647.16,44717.32,65812.71,27559.11,48431.31,46481.85,58791.7,74999.7,51975.55,40677.77,85894.68,66163.73,73404.7,65153.82,29128.65,80646,83958.87,45104.67,28953.81,46015.98,52727.89,90844.34,58292.28,121267.7,105414.06,100443.73,81660.05,74299.21,82526.8,86687.03,57026.62,66525.73,76744.09,80920.55,68626.22,59795.42,60435.81,56008.6,50699.8,48304.64,52073.8,59101.78
IS PS 34:0 ;[M-H]-,212644.43,219876.23,197558.02,79260.08,166346.03,191932.77,180871.52,301858.23,208928.99,165368.09,176900.07,123109.08,502233.23,217443.84,292733.08,179461.03,323917.79,165134.93,144512.47,234108.24,117266.35,354882.56,206369.98,257733.59,158903.27,103527.54,255165.11,90741.42,172720.03,244520.35,243809.1,140855.12,124660.05,108682.57,95682.36,144065.07,166906.86,164411.61,173839.34,178286.33,142959.17,112473.93,127479.47,103949.67,199577.03,135529.32,98218.92,153267.22,196883.97,85781.33,168511.13,156672.44,127719.54,157737.08,121689.88
CL 66:2; [M-2H](2-)@5.94,24542.967,8008.398,38748.76,6639.679,9709.283,17925.679,2645.814,20617.708,27151.05,14877.699,16833.346,28422.827,12176.945,10425.932,23224.549,10222.499,12947.555,18627.316,17012.429,9003.695,3300.233,13536.585,8917.949,16307.963,18058.141,8350.283,10507.705,5042.24,36837.472,7703.981,14345.661,9449.106,7389.206,14214.808,13266.258,12530.949,45043.652,12996.802,9590.306,7094.521,23067.851,6031.988,7218.687,3461.619,7667.175,3169.423,3129.552,8646.723,9353.062,11284.458,6257.316,9003.132,12470.508,14034.235,15086.125
CL 66:3; [M-2H](2-)@5.78,21419.239,20978.734,39783.263,9024.663,13335.507,10570.717,5498.756,24737.349,37623.659,17589.497,28377.669,33113.227,22089.707,23827.333,28566.224,11798.699,12483.315,24042.555,16594.065,38384.196,866.205,8022.052,6558.858,16658.591,12657.495,5098.404,9706.893,13252.268,9765.059,4609.918,17406.591,10492.602,7869.634,17463.843,16590.976,12835.943,7200.191,10348.009,13680.753,7358.098,10759.208,4615.303,6762.175,2140.619,7341.294,6427.091,5982.325,8067.523,9083.536,10608.211,14743.67,15275.994,11494.097,15496.525,13639.055
CL 68:1; [M-2H](2-)@7.43,42238.56,16320.88,39264.5,32037.32,26571.23,20390.7,13502.13,28149.84,20791.3,14788.16,36232.92,24616.4,30590.34,26698.43,30262.75,25192.56,48552.59,32878.51,42641.64,50085.8,18113.41,35023,25674.87,29212.47,29057.58,19957.39,19819.17,22729.96,18287.74,25605.79,20787.45,15823.58,37435.73,19884.07,19095.05,33166.93,51494.61,19665.18,18761.74,24219.8,34104.58,29273.49,28883.92,24795.68,36880.16,30209.97,21868.96,24187.39,19308.07,12652.43,21074.71,21756.44,16424.02,20784.52,16321.69
CL 68:2; [M-2H](2-)@5.86,135624.44,91709.672,104920.232,27875.743,38043.461,71853.433,51823.538,127975.406,83520.946,75049.776,114816.418,179426.851,61485.442,45715.663,76174.872,31764.135,54179.808,134461.826,36821.821,103474.986,9838.364,46103.925,59178.831,36426.24,19677.32,26286.792,30541.491,43691.543,36646.482,31158.81,64154.748,57089.433,32068.346,104213.386,91050.251,75593.637,53773.483,51405.62,75255.289,61196.089,83498.289,18555.865,60022.971,15703.728,48545.371,73734.636,19986.47,50662.711,35781.18,34403.902,55628.15,44718.901,89505.301,54597.993,47391.011
CL 68:2; [M-2H](2-)@7.68,72874,55320.14,45854.23,28993.18,37130.18,23294.48,44187.52,51407.39,44823.99,38385.67,40594.72,42249.9,33469.01,25834.11,88765.53,30932.21,34227.68,35513,39113.05,44764.1,34991.24,46197.84,70785.62,34267.84,31516.72,54058.57,20915.97,45605.91,33951.11,30634.06,29434.03,36339.93,40575.53,39947.41,48210.11,43081.72,38991.34,44818.6,43984.08,34442.94,44156.26,44740.44,35109.79,53720.38,37721.5,44436.23,31427.07,31905.81,35206.99,38210.48,36008.18,29423.16,38825.52,28563.83,37027.43
CL 68:3; [M-2H](2-)@6.15,28465.102,21358.38,42241.916,17841.195,19996.928,20318.849,11523.44,52573.769,34217.734,16383.606,30771.433,28216.178,21769.345,24330.886,33515.622,18692.287,18785.305,25614.835,23808.689,20293.526,6665.588,8691.417,13136.677,13441.265,8657.468,5001.288,17597.402,16573.779,9901.543,13582.198,19071.978,36610.95,10710.357,17247.981,33578.196,22823.026,19674.41,11115.52,16754.69,13003.915,22258.664,8724.035,14200.892,5936.124,12971.411,18114.001,7278.761,24373.225,12942.598,11034.875,14896.831,15833.79,18981.773,16035.696,17831.336
CL 70:2; [M-2H](2-)@7.60,12414.265,11448.179,17238.688,9257.07,13270.868,10282.547,5415.497,15499.666,11677.875,8889.706,5598.214,16953.841,10915.805,8664.453,8904.139,15051.593,9245.324,15253.879,13943.562,10875.82,5536.293,5727.92,5874.076,19135.432,4253.187,6660.94,7149.9,7491.927,5545.146,3174.574,5229.098,9165.935,9897.853,18800.257,11656.844,2742.492,10286.022,6172.669,8218.173,7594.902,10663.149,3256.097,7646.277,10645.877,4961.23,6773.453,3219.461,11407.523,10391.788,5417.881,11096.404,6704.703,7745.874,6221.581,4898.568
CL 70:4; [M-2H](2-)@6.66,6636.2924,550.4223,14993.0492,3992.681,6542.8214,6431.5825,2296.3519,8931.9973,13154.0202,5555.9375,14830.2813,19154.4477,10973.2818,6826.305,7814.5104,5637.8669,13346.0076,15401.4853,8425.9379,7306.1493,3879.2272,1932.7005,6548.984,3585.8331,4175.7854,2987.9754,5351.0179,4767.17,5086.8444,4970.2129,2694.4297,7193.9868,2859.8627,2447.5457,4141.3128,9420.0665,3054.0257,867.5341,5914.5309,3263.5286,3443.9471,3879.9603,6155.4288,3967.2126,1361.2241,5632.1455,2395.895,2898.8003,6500.9985,7036.4323,4188.8214,6992.5828,7669.9353,10892.0346,8102.5458
CL 70:5; [M-2H](2-)@6.05,181248.05,164425.69,340093.46,70702.85,146585.28,195674.63,68994.75,280216.71,246165.84,149896.53,219800.67,226875.93,230245.32,184476,274849.27,144567.78,108770.09,263978.03,142246.76,240275.43,24578.24,111038.1,97447.14,123114.81,77712.17,66305.98,117899.57,82577.07,85157.18,117994.53,201857.51,184985.43,60212.56,91489.25,115235.14,89222.51,71743.47,79582.05,81238.47,72408.24,127663.85,26066.24,37731.71,35794.54,79501.39,83717.64,42391.33,102826.43,88448.75,85189.62,120614.59,124128.75,163080.43,114004.26,99617.56
