"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"CL 66:2; [M-2H](2-)@5.94",3628.28871133889,2063.37363013455,8578.07293158616,2541.11488071955,1774.1398359104,6055.74773262804,1859.23467516653,4245.93987167931,5677.2552005986,3804.76974027041,3435.31197924241,6055.74773262804,2150.94885171767,2150.94885171767,3717.17664290741,3538.58614975973,2063.37363013455,3946.94017216206,4602.31255163883,2063.37363013455,1774.1398359104,4773.6481004509,2749.68633097989,3538.58614975973,7162.38856922067,4363.57130645468,3435.31197924241,2256.58732703506,11602.2481944014,2749.68633097989,3804.76974027041,2392.17504053515,3343.59484127229,4043.82181246785,3538.58614975973,4602.31255163883,14268.7358721017,4688.51202374254,2749.68633097989,3135.73253240112,7870.47903401495,4773.6481004509,3717.17664290741,2947.35520937901,3628.28871133889,1774.1398359104,2392.17504053515,3628.28871133889,2828.12940306578,3538.58614975973,1859.23467516653,2541.11488071955,3804.76974027041,4043.82181246785,4773.6481004509
"CL 66:3; [M-2H](2-)@5.78",3241.46939879877,5185.65223828466,9049.94524219916,3241.46939879877,2541.11488071955,3135.73253240112,3241.46939879877,5185.65223828466,8265.72868343099,4688.51202374254,6460.51006415025,7030.53063733585,4245.93987167931,5003.77983540496,4602.31255163883,4043.82181246785,1859.23467516653,5280.24803221991,4498.82819411448,7870.47903401495,688.480172470233,2828.12940306578,2063.37363013455,3804.76974027041,5003.77983540496,3049.08056127081,3241.46939879877,5280.24803221991,3538.58614975973,1646.90039847202,4688.51202374254,2541.11488071955,3538.58614975973,4773.6481004509,4773.6481004509,5003.77983540496,3049.08056127081,3538.58614975973,4245.93987167931,3343.59484127229,3717.17664290741,3946.94017216206,3538.58614975973,1774.1398359104,3343.59484127229,3435.31197924241,3804.76974027041,3435.31197924241,2749.68633097989,3241.46939879877,4363.57130645468,4363.57130645468,3135.73253240112,4498.82819411448,3804.76974027041
"CL 68:1; [M-2H](2-)@7.43",7456.41353685867,3804.76974027041,8885.68014713116,12201.6725503748,5185.65223828466,6911.93799960321,7030.53063733585,5792.72250204158,4498.82819411448,3717.17664290741,8265.72868343099,4864.18372875202,6796.30135716033,6228.29332880372,5003.77983540496,8265.72868343099,9496.15783066653,8398.89310870596,11847.9394123135,10158.2965382829,10158.2965382829,11442.1078099229,8753.81242374466,6911.93799960321,11046.6297539126,9889.93645886648,7030.53063733585,9496.15783066653,6911.93799960321,7870.47903401495,5677.2552005986,3804.76974027041,13327.2888620542,6351.80732236277,5185.65223828466,10909.2919693929,16351.3443324326,6351.80732236277,6055.74773262804,8885.68014713116,11847.9394123135,19556.5892263911,14930.6557208288,17268.1846953721,14494.4863833648,11847.9394123135,12748.4946042775,8753.81242374466,5406.53447559045,4245.93987167931,6351.80732236277,6055.74773262804,4688.51202374254,6228.29332880372,5406.53447559045
"CL 68:2; [M-2H](2-)@7.68",12201.6725503748,15145.6612417453,10334.5302052566,10909.2919693929,6796.30135716033,7768.90997656208,19793.5331550723,9889.93645886648,9496.15783066653,9672.48043708287,9169.71387780517,8753.81242374466,7162.38856922067,5792.72250204158,17661.9587684826,9672.48043708287,7030.53063733585,9325.75432722336,10005.8608994594,9049.94524219916,20341.0251150825,16690.0619602998,20127.1140472304,8265.72868343099,12201.6725503748,25899.3638478129,7162.38856922067,18678.1725781107,11046.6297539126,10158.2965382829,7870.47903401495,9325.75432722336,15878.1777936166,13327.2888620542,12748.4946042775,14268.7358721017,12414.6183821176,16845.3498241992,14009.6985510391,14009.6985510391,14930.6557208288,30065.3748978623,18376.1441345449,32389.6703799936,14696.5427140939,18678.1725781107,19316.5689901647,12201.6725503748,11847.9394123135,12599.3536092146,11847.9394123135,8753.81242374466,11602.2481944014,8885.68014713116,11442.1078099229
"CL 68:3; [M-2H](2-)@6.15",4363.57130645468,5406.53447559045,9325.75432722336,6351.80732236277,3628.28871133889,6637.31067112476,6055.74773262804,10158.2965382829,7456.41353685867,4363.57130645468,6911.93799960321,5914.39893072014,4043.82181246785,5280.24803221991,6055.74773262804,6460.51006415025,3343.59484127229,6055.74773262804,5914.39893072014,4602.31255163883,4363.57130645468,3241.46939879877,3717.17664290741,2828.12940306578,3241.46939879877,2947.35520937901,5914.39893072014,6911.93799960321,3628.28871133889,4363.57130645468,5280.24803221991,9496.15783066653,4157.31489204331,4602.31255163883,8885.68014713116,8054.17680480829,6911.93799960321,3946.94017216206,5280.24803221991,5406.53447559045,7456.41353685867,5556.92724951589,7310.25331933384,4245.93987167931,6055.74773262804,8398.89310870596,4688.51202374254,8885.68014713116,4043.82181246785,3435.31197924241,4498.82819411448,4498.82819411448,5406.53447559045,4602.31255163883,5792.72250204158
"CL 70:4; [M-2H](2-)@6.66",1126.570173215,688.480172470233,2623.2585014247,1961.83040482426,1312.22118854744,2256.58732703506,1126.570173215,1489.43173771387,2623.2585014247,1126.570173215,3241.46939879877,3804.76974027041,1774.1398359104,1312.22118854744,1126.570173215,2256.58732703506,2256.58732703506,3135.73253240112,1859.23467516653,1489.43173771387,2749.68633097989,688.480172470233,1961.83040482426,1126.570173215,1774.1398359104,1774.1398359104,1859.23467516653,2063.37363013455,2063.37363013455,1859.23467516653,910.756814884661,1489.43173771387,910.756814884661,1126.570173215,1312.22118854744,3435.31197924241,1646.90039847202,688.480172470233,1961.83040482426,1126.570173215,1774.1398359104,3241.46939879877,3343.59484127229,3135.73253240112,910.756814884661,3049.08056127081,2150.94885171767,1646.90039847202,1646.90039847202,1774.1398359104,1126.570173215,1859.23467516653,1859.23467516653,3628.28871133889,2392.17504053515
"CL 70:5; [M-2H](2-)@6.05",27742.9274611009,44858.694141546,70053.9424846911,25199.037575366,28290.5274004056,62718.5724550291,29569.4391079015,60174.3336145958,53566.5277766455,41152.2975054835,53566.5277766455,53566.5277766455,47304.1027100833,37054.4680413184,54580.9183547546,45617.9631270709,22278.3900118118,67426.3489128938,39099.3621683586,47948.657253455,12414.6183821176,40108.6695219922,29569.4391079015,26589.9702786054,29569.4391079015,31022.6452160587,38084.1894922299,32794.3763122806,28804.924850053,32794.3763122806,48566.6813014139,44373.6680388861,25199.037575366,31022.6452160587,32794.3763122806,31424.8027390006,23137.5097155965,27443.4592701722,23137.5097155965,27973.8139930631,39529.5571134102,16845.3498241992,19793.5331550723,26262.5001672886,30522.5709214871,36085.5905827263,26262.5001672886,41152.2975054835,28290.5274004056,27973.8139930631,35319.8158065077,38529.9122494549,48566.6813014139,34074.5820450694,32389.6703799936
"CL 72:4; [M-2H](2-)@6.98",20127.1140472304,18376.1441345449,27742.9274611009,17933.4702484845,15613.281129908,24179.4044016469,27973.8139930631,26589.9702786054,27742.9274611009,21806.6280758857,32794.3763122806,31424.8027390006,21198.1136833904,23137.5097155965,26262.5001672886,25899.3638478129,17933.4702484845,32794.3763122806,37611.0880217125,32389.6703799936,20127.1140472304,25571.6772592526,18886.2657314994,27021.0168701469,23453.2051362693,33189.6166839195,29307.3780706243,37611.0880217125,32020.1889420112,19129.0511497299,24836.8574655198,25571.6772592526,21198.1136833904,28290.5274004056,16351.3443324326,36085.5905827263,22820.1915240062,24836.8574655198,27973.8139930631,26262.5001672886,40108.6695219922,39099.3621683586,25571.6772592526,38529.9122494549,27742.9274611009,38529.9122494549,38529.9122494549,36085.5905827263,25199.037575366,25571.6772592526,22549.7283127146,22820.1915240062,24521.3831944619,23801.3493557673,16690.0619602998
"CL 74:1; [M-2H](2-)@6.77",144260.22689235,117705.395683231,190009.985062836,122419.839304256,158320.829000671,134137.115998434,134137.115998434,151779.261715933,165677.411371203,124780.241024665,162047.200638106,148964.762988149,171961.163366291,144260.22689235,151779.261715933,114790.92565669,179446.13268741,148964.762988149,158320.829000671,144260.22689235,154835.564241008,105567.095642633,137879.890043343,101793.767943289,134137.115998434,111133.070680071,141492.913909371,124780.241024665,103497.764417755,124780.241024665,126746.998889819,124780.241024665,137879.890043343,141492.913909371,111133.070680071,114790.92565669,84289.0031649862,126746.998889819,96941.7394590062,87150.6999881462,90616.6046367737,122419.839304256,117705.395683231,113465.458756492,107052.309455445,111133.070680071,117705.395683231,96941.7394590062,144260.22689235,154835.564241008,148964.762988149,158320.829000671,144260.22689235,158320.829000671,148964.762988149
"CL 74:3; [M-2H](2-)@6.25",19556.5892263911,20127.1140472304,34447.6829730327,19129.0511497299,24836.8574655198,33189.6166839195,24521.3831944619,40551.3715814945,25199.037575366,22820.1915240062,25571.6772592526,26589.9702786054,43698.553634495,27973.8139930631,45617.9631270709,37611.0880217125,28290.5274004056,22549.7283127146,23801.3493557673,22078.0589945944,26262.5001672886,22078.0589945944,30065.3748978623,25899.3638478129,33667.4286484177,23801.3493557673,28290.5274004056,29307.3780706243,20127.1140472304,25899.3638478129,38529.9122494549,32794.3763122806,24836.8574655198,22820.1915240062,23137.5097155965,21806.6280758857,19129.0511497299,18678.1725781107,24179.4044016469,23137.5097155965,20127.1140472304,19793.5331550723,17083.3344340928,16690.0619602998,29569.4391079015,23137.5097155965,25571.6772592526,19793.5331550723,22549.7283127146,26262.5001672886,26262.5001672886,21545.0204093375,27973.8139930631,28804.924850053,27443.4592701722
