Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218,Ctrl_BKS_db+_2225,Ctrl_BKS_db+_2226,Ctrl_BKS_db+_2227,Ctrl_BKS_db+_2231,HF_BKS_db+_2239,HF_BKS_db+_2241,HF_BKS_db+_2242,HF_BKS_db+_2243,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266,Ctrl_BL6_db+_2273,Ctrl_BL6_db+_2274,Ctrl_BL6_db+_2275,Ctrl_BL6_db+_2279,HF_BL6_db+_2286,HF_BL6_db+_2287,HF_BL6_db+_2288,HF_BL6_db+_2289,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309,Ctrl_BTBR_ob+_2316,Ctrl_BTBR_ob+_2317,Ctrl_BTBR_ob+_2318,Ctrl_BTBR_ob+_2320,HF_BTBR_ob+_2329,HF_BTBR_ob+_2331,HF_BTBR_ob+_2333,HF_BTBR_ob+_2334,Tissue_Test Pool_Positive_01,Tissue_Test Pool_Positive_02,Tissue_Test Pool_Positive_03,Tissue_Test Pool_Positive_04,Tissue_Test Pool_Positive_05,Tissue_Test Pool_Positive_06,Tissue_Test Pool_Positive_07
IS CE 17:0; [M+NH4]+,25261.762,10942.756,21644.882,18726.689,15136.622,31673.385,29615.769,17815.572,18448.297,28761.782,32988.723,24768.376,25589.78,25843.046,22207.943,13788.28,27467.975,27182.158,14801.636,20326.875,32402.338,10075.489,5124.384,16669.141,36312.341,37304.987,22845.243,29880.102,34231.563,28050.45,28915.508,12767.597,32966.598,27254.786,21673.681,41441.038,24800.731,18150.314,17436.566,34682.573,29692.854,37738.693,35881.231,27478.718,26208.742,31359.133,25314.19,27010.87,34077.498,26800.136,30111.096,30558.114,32933.606,34762.726,28854.518
IS Ceramide;[M-H20]+,378429,264182.2,319307.5,500315.4,263583.4,492504.8,648710.5,190480.2,178254.6,477895.9,418044.9,264432.2,279706.2,287058.2,212364.7,528065.6,307515.8,461462.6,182983.5,217858.1,694051.3,595548,592984.4,228794.5,477526.1,714429.6,422306.4,715879.3,543885,664825.4,471073.3,462541.2,538691.5,526234.8,438619.2,618098.5,440067.4,338199.6,437043.9,491440.8,547031.6,656199.9,642182.9,709795.3,523541.4,607366.8,843369.3,620284.1,471791.7,593737.1,512389.8,497347.8,529759,504309.2,547341.7
IS D31-TAG,18380.241,39032.518,66625.264,20944.544,13125.798,913341.825,45889.39,17609.636,33256.444,26614.384,27046.828,48019.844,10337.882,8274.752,9564.597,3998.479,23925.052,49657.036,106651.889,52615.246,31145.488,21412.421,5069.941,50110.014,196683.786,257553.007,98787.22,33004.087,37343.863,7816.311,21749.38,6501.127,63635.761,28375.856,4487.018,36617.746,71223.423,66685.998,3506.21,24070.267,6561.045,145624.105,215717.326,33199.232,20817.644,13356.953,28515.656,18138.078,54543.967,45873.099,40370.993,44227.612,35622.312,28442.091,33121.76
IS d5-DAG,936517.6,629046.8,756038.8,1097704.6,641253,1395092.2,1276921.9,669207.5,462249.6,928421.9,1040640.6,616085.5,624737.2,883480.1,762865,1081211.5,643277.9,806701.7,462864.3,517769.2,924008.4,1012839.4,1019036.6,417895.4,1068408.8,1521448.9,868494,1133284.3,1215189.2,1124660.3,810494.2,909101.1,1305929.4,1348052.9,1172642.2,1337462.8,1361118.9,951826,958001.1,1512382,1108642,1761668.3,1718351.4,1248896,937203.4,1382715.8,1604333.9,1253613.9,1333769.4,1127000.8,1071222.6,1079832.9,1085336.9,846994.8,623774.4
IS DG 34:1; [M+NH4]+,518025.1,222483.1,356678.4,519143.1,480946.5,242263.5,327200.7,500300.6,625866,617860.8,696008.2,541355.3,537797.3,561073.8,438001.7,783581.4,525965.7,447427.4,287084.4,333642.3,284601.3,490614.3,861165.4,302876.5,259072.5,221537.5,256779.6,410528,438382.6,568261,422219.7,618246,631961,704485.6,789842.4,509247.4,339796,228516.1,955837.5,448200,600767.2,310741.7,291113.3,423165.9,460636.5,468934.5,442741.7,834469.4,382803.4,575754.4,527943.5,512935.5,515619.6,562823.5,526952.6
IS lysoPC 17:0;[M+H]+,1919489.6,512346.2,1055939.2,1283770.5,1190981.8,1543886.8,1590662.3,1053969.4,642684.2,1372086.5,1524762.6,1126898.2,1116908.6,1299503.2,1214023.5,1390774.5,1272673.4,1417251.1,460380.6,756768.3,1611116.2,1576839.7,1443045.4,551587.9,1131148.3,1631042.4,1176869.1,1471235.4,1567277.1,1837388.2,1164454.4,1289271.2,1357100.4,1668996.5,1562264,1828613.4,1528945,882196.5,1405836.8,1784246.6,1381564.1,1675914.6,1862577.9,1517658.2,1475008.3,1719274.4,1783244.8,1672389.3,1488143.4,1463353.3,1394557,1411338.3,1419358.2,1466083.9,1398460.4
IS MG 17:0; [M+NH4]+,84642.06,26678.03,69454.91,65561.86,63907.98,100696.34,88309.2,63231.77,46961.05,90099.6,97585.48,75228.45,76179.94,78256,78205.07,92385.54,84254.83,91555.01,26099.12,44317.85,96933.7,86608.04,83267.09,30553.88,79443.76,92386.93,71751.17,86191.82,88029.5,99840.13,72502,79564.23,86275.89,91657.96,90456.28,102335.43,87197.49,45330.66,89053.64,89254.14,83116.38,97646.52,94336.92,86411.43,82512.96,86208.55,91916.89,90293.96,102206.07,96009.28,103740.78,94234.9,118011.84,97578.34,93863.08
IS PC 34:0; [M+H]+,918238.5,700657.2,722090.5,940569.8,713503.7,1168568.9,1077402.6,685438.5,413992.4,703073.7,733822.6,652804.8,566340.8,662021.4,812764.6,829928.6,738281.8,737562.3,653506.8,831780,1061125.1,1278904.4,985886.1,552038.5,955137.5,1203356.8,1040477,1119376.8,923026.7,875247.2,731970.5,828421.5,890845.4,821344,1031113.6,977471.3,1153193.2,902669.7,1030941.3,1318512.3,994667.4,1459391.2,1084877.2,1286033.8,981515.9,1497284.9,1160171.5,1011155.6,1050461.8,801350.6,827865.3,775425.1,806564.6,869159.1,740129.6
IS PS 34:0;[M+H]+,76726.83,69980.52,44483.45,57334.74,79405.61,93056.58,137563.15,33630.55,76767.26,62543.68,69483.95,38111.59,104606.69,47494.31,56093.85,27128.92,55521.98,81193.51,56629.44,42103.82,93284.84,161182.53,56000.66,68392.15,98978.89,78818.81,96319.6,134094.6,119299.94,89040.04,90055.33,89385.14,72828.59,62857.44,41427.44,54263.61,54899.99,75389.61,59208.82,76244.23,57915.17,248775.37,108514.61,208799.18,57487.07,171656.74,140007.09,86979.25,71511.44,91739.72,88173.33,72460.41,50493.88,95517.14,60951.49
IS SM 35:1;[M+H]+,359079.2,623704.4,334222.9,1003283.9,348533.5,988676.6,1452842.8,313230.2,169756.9,613635.4,402604,307479.9,214391.2,345656.6,274014,769013.1,358854.7,553619.8,292015.6,345335.7,1616701.3,1173930,887608.7,311858,757487.1,1454682.7,891993,1264882.6,1117051.8,891596.1,570660.4,521230,833607.4,699966.3,710552.4,1004643.4,928345.6,1100804.1,755864.6,1287279,834037.5,1795111.6,1398274.9,1568067.1,1110024.7,1416401.6,1790507.7,1034758.2,950082.8,799356.6,783779,832346.3,811024.7,780378,778736.3
