Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218,Ctrl_BKS_db+_2225,Ctrl_BKS_db+_2226,Ctrl_BKS_db+_2227,Ctrl_BKS_db+_2231,HF_BKS_db+_2239,HF_BKS_db+_2241,HF_BKS_db+_2242,HF_BKS_db+_2243,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266,Ctrl_BL6_db+_2273,Ctrl_BL6_db+_2274,Ctrl_BL6_db+_2275,Ctrl_BL6_db+_2279,HF_BL6_db+_2286,HF_BL6_db+_2287,HF_BL6_db+_2288,HF_BL6_db+_2289,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309,Ctrl_BTBR_ob+_2316,Ctrl_BTBR_ob+_2317,Ctrl_BTBR_ob+_2318,Ctrl_BTBR_ob+_2320,HF_BTBR_ob+_2329,HF_BTBR_ob+_2331,HF_BTBR_ob+_2333,HF_BTBR_ob+_2334,Tissue_Test Pool_Positive_01,Tissue_Test Pool_Positive_02,Tissue_Test Pool_Positive_03,Tissue_Test Pool_Positive_04,Tissue_Test Pool_Positive_05,Tissue_Test Pool_Positive_06,Tissue_Test Pool_Positive_07
Label,Ctrl_BKS,Ctrl_BKS,Ctrl_BKS,Ctrl_BKS,HF_BKS,HF_BKS,HF_BKS,HF_BKS,Ctrl_BKS_db,Ctrl_BKS_db,Ctrl_BKS_db,Ctrl_BKS_db,HF_BKS_db,HF_BKS_db,HF_BKS_db,HF_BKS_db,Ctrl_BL6,Ctrl_BL6,Ctrl_BL6,Ctrl_BL6,HF_BL6,HF_BL6,HF_BL6,HF_BL6,Ctrl_BL6_db,Ctrl_BL6_db,Ctrl_BL6_db,Ctrl_BL6_db,HF_BL6_db,HF_BL6_db,HF_BL6_db,HF_BL6_db,Ctrl_BTBR,Ctrl_BTBR,Ctrl_BTBR,Ctrl_BTBR,HF_BTBR,HF_BTBR,HF_BTBR,HF_BTBR,Ctrl_BTBR_ob,Ctrl_BTBR_ob,Ctrl_BTBR_ob,Ctrl_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,QC,QC,QC,QC,QC,QC,QC
IS CE 17:0; [M+NH4]+,25261.76192,10942.75593,21644.88225,18726.68878,15136.62206,31673.38508,29615.76864,17815.5721,18448.29653,28761.78206,32988.72271,24768.37604,25589.78044,25843.04594,22207.94334,13788.27977,27467.97518,27182.15765,14801.63596,20326.87475,32402.33776,10075.48945,5124.38414,16669.14051,36312.34137,37304.98724,22845.24348,29880.10199,34231.5628,28050.45042,28915.50762,12767.59721,32966.59786,27254.78613,21673.68111,41441.03816,24800.73109,18150.31382,17436.56601,34682.57284,29692.85418,37738.69267,35881.23123,27478.7179,26208.74159,31359.13264,25314.19007,27010.87031,34077.49778,26800.13609,30111.09564,30558.11423,32933.60636,34762.72571,28854.51792
IS Ceramide;[M-H20]+,378429.011,264182.245,319307.4716,500315.4446,263583.4028,492504.7794,648710.5407,190480.213,178254.6405,477895.9206,418044.9271,264432.2274,279706.1803,287058.2418,212364.6779,528065.6119,307515.7849,461462.5576,182983.5021,217858.1137,694051.3335,595547.9928,592984.399,228794.4694,477526.135,714429.6012,422306.4291,715879.253,543884.9723,664825.4159,471073.3008,462541.2403,538691.5401,526234.7559,438619.2216,618098.4864,440067.389,338199.6237,437043.9173,491440.8323,547031.565,656199.8956,642182.8635,709795.321,523541.4264,607366.8005,843369.2736,620284.1378,471791.7251,593737.0896,512389.8359,497347.7808,529758.9584,504309.2367,547341.6929
IS D31-TAG,18380.24121,39032.51812,66625.26361,20944.54435,13125.79816,913341.8254,45889.38981,17609.63629,33256.44392,26614.38449,27046.82766,48019.84419,10337.88223,8274.752371,9564.597294,3998.479447,23925.05244,49657.03597,106651.8886,52615.24626,31145.48822,21412.42074,5069.940815,50110.01369,196683.7864,257553.0072,98787.21968,33004.08724,37343.86268,7816.31106,21749.37951,6501.126503,63635.76091,28375.85554,4487.017658,36617.74607,71223.42274,66685.99803,3506.210449,24070.26694,6561.04461,145624.1047,215717.3257,33199.23172,20817.64379,13356.95331,28515.65649,18138.0778,54543.96715,45873.09884,40370.99257,44227.61155,35622.31194,28442.0915,33121.75998
IS d5-DAG,936517.5532,629046.7917,756038.8254,1097704.562,641253.02,1395092.161,1276921.915,669207.5037,462249.5518,928421.9186,1040640.582,616085.5158,624737.164,883480.1137,762865.0473,1081211.504,643277.9435,806701.6526,462864.2931,517769.19,924008.3936,1012839.42,1019036.551,417895.4375,1068408.786,1521448.905,868493.9512,1133284.319,1215189.225,1124660.324,810494.1752,909101.1331,1305929.364,1348052.874,1172642.167,1337462.758,1361118.875,951825.9796,958001.1032,1512382.015,1108642.049,1761668.316,1718351.441,1248896.001,937203.4481,1382715.758,1604333.89,1253613.918,1333769.431,1127000.79,1071222.639,1079832.885,1085336.865,846994.7771,623774.3701
IS DG 34:1; [M+NH4]+,518025.131,222483.1084,356678.3857,519143.0874,480946.4872,242263.4568,327200.653,500300.6408,625866.0253,617860.8076,696008.2323,541355.3105,537797.3105,561073.8335,438001.7009,783581.4107,525965.6518,447427.4252,287084.4011,333642.2582,284601.3434,490614.2552,861165.4448,302876.4665,259072.493,221537.496,256779.6113,410527.9739,438382.5688,568260.9662,422219.7097,618246.0311,631961.0082,704485.6269,789842.3752,509247.3972,339795.9524,228516.1337,955837.5273,448199.981,600767.2194,310741.7471,291113.2766,423165.8935,460636.492,468934.543,442741.7278,834469.3945,382803.442,575754.3629,527943.5158,512935.4782,515619.5949,562823.4917,526952.6433
IS lysoPC 17:0;[M+H]+,1919489.584,512346.2315,1055939.169,1283770.505,1190981.782,1543886.79,1590662.322,1053969.359,642684.2204,1372086.505,1524762.61,1126898.233,1116908.598,1299503.198,1214023.475,1390774.516,1272673.429,1417251.05,460380.5621,756768.3031,1611116.211,1576839.663,1443045.389,551587.8881,1131148.295,1631042.402,1176869.117,1471235.411,1567277.056,1837388.206,1164454.367,1289271.227,1357100.443,1668996.522,1562263.994,1828613.371,1528944.981,882196.4573,1405836.753,1784246.575,1381564.051,1675914.584,1862577.913,1517658.16,1475008.265,1719274.417,1783244.763,1672389.335,1488143.419,1463353.264,1394557.02,1411338.312,1419358.199,1466083.927,1398460.409
IS MG 17:0; [M+NH4]+,84642.06166,26678.03091,69454.90724,65561.85754,63907.97936,100696.3366,88309.20106,63231.76584,46961.04983,90099.59956,97585.47713,75228.45224,76179.94104,78255.99539,78205.06902,92385.53912,84254.82744,91555.00759,26099.11835,44317.84603,96933.70427,86608.03983,83267.09239,30553.88245,79443.76242,92386.92993,71751.16725,86191.82075,88029.50486,99840.13096,72501.99865,79564.23077,86275.89367,91657.96092,90456.27751,102335.43,87197.48544,45330.65881,89053.64478,89254.14045,83116.38004,97646.52491,94336.9152,86411.42829,82512.96128,86208.55246,91916.89437,90293.96419,102206.0671,96009.27701,103740.7827,94234.89725,118011.8391,97578.33763,93863.07593
IS PC 34:0; [M+H]+,918238.543,700657.2233,722090.5107,940569.7718,713503.6617,1168568.905,1077402.558,685438.489,413992.3842,703073.6802,733822.5708,652804.7528,566340.8079,662021.4183,812764.5823,829928.5709,738281.7608,737562.2876,653506.756,831779.9961,1061125.116,1278904.376,985886.1205,552038.5,955137.5418,1203356.805,1040477.035,1119376.755,923026.7086,875247.2024,731970.5186,828421.4869,890845.3629,821344.0061,1031113.643,977471.2526,1153193.221,902669.7039,1030941.276,1318512.274,994667.4009,1459391.249,1084877.157,1286033.756,981515.9372,1497284.85,1160171.452,1011155.628,1050461.782,801350.6178,827865.2582,775425.1414,806564.6456,869159.1199,740129.5873
IS PS 34:0;[M+H]+,76726.83403,69980.52495,44483.44587,57334.73821,79405.60807,93056.58475,137563.1466,33630.54996,76767.25551,62543.68259,69483.95142,38111.58832,104606.6859,47494.30833,56093.84915,27128.91712,55521.98118,81193.50863,56629.43754,42103.82288,93284.83796,161182.534,56000.66485,68392.14809,98978.89387,78818.8111,96319.59977,134094.6022,119299.9397,89040.0422,90055.32627,89385.14376,72828.58946,62857.44096,41427.43546,54263.61497,54899.99336,75389.61275,59208.82469,76244.22502,57915.17082,248775.3651,108514.6102,208799.1833,57487.06959,171656.7351,140007.0894,86979.25488,71511.44184,91739.72259,88173.33006,72460.40852,50493.87926,95517.13874,60951.49465
