"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"IS CE 17:0; [M+NH4]+",17244.5331932727,20273.4056945455,20518.8130363636,21583.4031527273,11176.7533054545,40325.7905636364,36362.6618727273,12982.7572054545,15168.5086836364,26398.3215745455,23677.7103381818,19478.7636,17801.2039654545,19010.1250345455,14960.4471181818,15168.5086836364,17628.4040290909,19478.7636,22455.1957709091,18064.4312825455,47646.5150727273,11686.0769636364,4797.12763818182,24345.2378727273,36724.9901636364,49286.0710363636,26717.1308181818,32749.1110727273,35117.5425818182,22127.6094909091,25304.7201116364,12066.2771589091,35477.9694709091,26981.5140009091,19724.8928672727,45380.2613163636,32296.6482127273,37149.6829818182,17244.5331932727,37149.6829818182,35888.5268909091,74496.2867454545,54259.0311090909,49286.0710363636,37721.5597818182,44874.2713272727,49867.1029290909,28338.46846,34173.7103127273,22727.8978363636,26981.5140009091,27629.6864654545,30127.8273272727,30772.191804,27268.9427454545
"IS Ceramide;[M-H20]+",249845.734854545,493945.833636364,314010.530727273,501970.100963636,182931.081509091,653426.328,761795.710363636,155852.877163636,158552.247254545,407755.444363636,302115.793636364,202332.898,202332.898,208616.254927273,145129.163909091,589161.665636364,224636.7558,361393.256054545,283124.736218182,216264.997654545,935101.124,589161.665636364,545183.790545455,296689.507672727,578538.120545455,1033245.71090909,485883.588854545,790298.787272727,545183.790545455,600773.490727273,421090.204981818,407755.444363636,516807.886181818,454161.326545455,386929.186727273,589161.665636364,554925.877672727,653426.328,438339.015818182,501970.100963636,578538.120545455,980171.731818182,956432.847272727,1005739.01967273,673446.489636364,687745.783090909,1334212.05254545,638805.549909091,446894.067090909,516807.886181818,446894.067090909,413633.724363636,446894.067090909,438339.015818182,501970.100963636
"IS D31-TAG",12470.0289309091,75329.3198363636,58409.0806545455,26057.0556,9561.66465454546,1286915.13227273,59456.2329636364,12781.1845618182,28338.46846,24006.3551872727,20031.1379927273,35117.5425818182,7188.67688912727,7051.10208363636,7539.76609272727,4095.34489454545,15550.3520010909,37721.5597818182,166288.745436364,52044.4208545455,45934.1632363636,24691.6429563636,4639.68148521818,69354.2205818182,205506.971072727,347298.016309091,125527.029127273,35117.5425818182,37149.6829818182,6283.44562181818,19248.3127436364,5560.27774181818,68645.1984727273,28338.46846,4474.12623272727,39862.2790909091,92070.9993636364,123554.593418182,4095.34489454545,28338.46846,7539.76609272727,243274.044890909,319482.547563636,57713.8218545455,26717.1308181818,17244.5331932727,56509.5886181818,18566.9278965455,48161.4923818182,39378.2725654546,37149.6829818182,39378.2725654546,31937.1581127273,26057.0556,30458.3296163636
"IS d5-DAG",627076.909636364,1059684.85472727,743134.024,1112980.90527273,509721.681454545,2160207.03890909,1608154.68690909,516807.886181818,386929.186727273,790298.787272727,725389.384545455,485883.588854545,446894.067090909,687745.783090909,589161.665636364,1112980.90527273,501970.100963636,707677.198363636,834955.634363636,516807.886181818,1252841.52690909,1146694.22981818,935101.124,566335.208181818,1382832.90854545,1979433.65890909,1112980.90527273,1252841.52690909,1472054.51363636,861005.148181818,761795.710363636,790298.787272727,1334212.05254545,1252841.52690909,935101.124,1225464.05545455,1979433.65890909,1979433.65890909,912168.669090909,1671006.19952727,1186900.59272727,2657732.42963636,2548118.16727273,1608154.68690909,1146694.22981818,1608154.68690909,2548118.16727273,1186900.59272727,1286915.13227273,1033245.71090909,1005739.01967273,956432.847272727,935101.124,725389.384545455,600773.490727273
"IS DG 34:1; [M+NH4]+",324377.870090909,372476.228109091,361393.256054545,526060.892709091,357355.65,361393.256054545,386929.186727273,407755.444363636,566335.208181818,526060.892709091,501970.100963636,429170.376181818,378295.698545455,438339.015818182,342497.831745455,812795.232,394601.712327273,352403.601109091,461768.031818182,296689.507672727,378295.698545455,516807.886181818,725389.384545455,413633.724363636,296689.507672727,288986.679709091,347298.016309091,446894.067090909,413633.724363636,516807.886181818,352403.601109091,566335.208181818,612827.136872727,600773.490727273,673446.489636364,516807.886181818,446894.067090909,438339.015818182,885457.405636364,461768.031818182,653426.328,493945.833636364,468611.239090909,600773.490727273,534808.245272727,600773.490727273,743134.024,812795.232,372476.228109091,493945.833636364,477492.638545455,429170.376181818,421090.204981818,501970.100963636,485883.588854545
"IS lysoPC 17:0;[M+H]+",1186900.59272727,885457.405636364,1033245.71090909,1429341.83290909,885457.405636364,2351246.74832727,1979433.65890909,861005.148181818,600773.490727273,1186900.59272727,1112980.90527273,885457.405636364,812795.232,980171.731818182,956432.847272727,1252841.52690909,1059684.85472727,1086745.85254545,812795.232,885457.405636364,2235425.09818182,1904637.91254545,1252841.52690909,761795.710363636,1429341.83290909,2351246.74832727,1548754.91745455,1671006.19952727,1979433.65890909,1671006.19952727,1112980.90527273,1146694.22981818,1472054.51363636,1334212.05254545,1252841.52690909,1748195.25145455,2445926.33309091,1548754.91745455,1252841.52690909,2235425.09818182,1429341.83290909,2445926.33309091,2657732.42963636,2160207.03890909,1979433.65890909,2160207.03890909,2836002.89909091,1671006.19952727,1472054.51363636,1429341.83290909,1382832.90854545,1472054.51363636,1429341.83290909,1472054.51363636,1382832.90854545
"IS MG 17:0; [M+NH4]+",53176.8431454545,50849.4264909091,60209.6586363636,75329.3198363636,46501.1238072727,149480.446654545,106509.658654545,49286.0710363636,41644.1939272727,82465.2107636364,69354.2205818182,58409.0806545455,57235.7184,58891.8455090909,54657.5092,101727.941818182,62813.8803818182,69354.2205818182,37149.6829818182,44874.2713272727,131187.154527273,92070.9993636364,79774.9632181818,39378.2725654546,93458.7746181818,127089.103581818,82465.2107636364,94541.6636363636,90965.1124,89522.0010363636,60209.6586363636,66301.4464181818,90965.1124,86509.2381090909,83238.6674,117988.788109091,112541.002236364,87703.3255636364,83238.6674,105234.515672727,94541.6636363636,166288.745436364,145129.163909091,129919.826727273,116627.565981818,111179.989963636,145129.163909091,89522.0010363636,97749.9371272727,81817.6060727273,95569.2504363636,88543.1133454545,102872.202327273,90965.1124,90965.1124
"IS PC 34:0; [M+H]+",612827.136872727,1225464.05545455,673446.489636364,980171.731818182,526060.892709091,1671006.19952727,1252841.52690909,526060.892709091,361393.256054545,578538.120545455,526060.892709091,516807.886181818,413633.724363636,545183.790545455,673446.489636364,885457.405636364,612827.136872727,673446.489636364,1186900.59272727,935101.124,1472054.51363636,1472054.51363636,912168.669090909,790298.787272727,1252841.52690909,1548754.91745455,1382832.90854545,1225464.05545455,956432.847272727,743134.024,687745.783090909,743134.024,956432.847272727,707677.198363636,812795.232,1005739.01967273,1429341.83290909,1671006.19952727,980171.731818182,1472054.51363636,1059684.85472727,2235425.09818182,1472054.51363636,1671006.19952727,1225464.05545455,1843243.32909091,1843243.32909091,956432.847272727,956432.847272727,743134.024,743134.024,673446.489636364,687745.783090909,761795.710363636,707677.198363636
"IS PS 34:0;[M+H]+",48730.9416909091,122217.702981818,39862.2790909091,62813.8803818182,54259.0311090909,129919.826727273,155852.877163636,25001.248,64260.9531818182,50295.1535272727,48730.9416909091,27268.9427454545,71641.0117090909,38990.7674363636,39862.2790909091,28338.46846,42572.5076545455,59456.2329636364,87703.3255636364,41176.2133090909,125527.029127273,155852.877163636,51371.9604545455,95569.2504363636,111179.989963636,108642.957181818,123554.593418182,129919.826727273,125527.029127273,76699.4683454545,82465.2107636364,75329.3198363636,79774.9632181818,57235.7184,38134.6683763636,57235.7184,69354.2205818182,140396.293327273,58891.8455090909,90965.1124,64260.9531818182,402103.885290909,155852.877163636,357355.65,80698.3693636364,211913.229818182,216264.997654545,86509.2381090909,67947.4837090909,77483.1076749091,79774.9632181818,66301.4464181818,44874.2713272727,88543.1133454545,55207.9209454545
"IS SM 35:1;[M+H]+",220988.005963636,1033245.71090909,342497.831745455,1059684.85472727,260709.985581818,1382832.90854545,1843243.32909091,260709.985581818,151947.385872727,516807.886181818,296689.507672727,249845.734854545,155852.877163636,283124.736218182,195514.4102,790298.787272727,283124.736218182,438339.015818182,468611.239090909,324377.870090909,2351246.74832727,1334212.05254545,790298.787272727,438339.015818182,956432.847272727,1843243.32909091,1225464.05545455,1472054.51363636,1286915.13227273,761795.710363636,509721.681454545,477492.638545455,885457.405636364,578538.120545455,566335.208181818,1059684.85472727,1086745.85254545,2235425.09818182,707677.198363636,1429341.83290909,812795.232,2836002.89909091,1979433.65890909,2351246.74832727,1548754.91745455,1748195.25145455,2958039.20727273,980171.731818182,885457.405636364,725389.384545455,707677.198363636,725389.384545455,707677.198363636,653426.328,761795.710363636
