Sample_Name,Group,Weight
Ctrl_BKS_2202,Ctrl,15.1
Ctrl_BKS_2203,Ctrl,5.4
Ctrl_BKS_2206,Ctrl,11.9
Ctrl_BKS_2211,Ctrl,4.3
HF_BKS_2214,HF,12.7
HF_BKS_2216,HF,4.5
HF_BKS_2217,HF,3
HF_BKS_2218,HF,14.1
Ctrl_BKS_db._2225,Ctrl,15.6
Ctrl_BKS_db._2226,Ctrl,5.2
Ctrl_BKS_db._2227,Ctrl,7.6
Ctrl_BKS_db._2231,Ctrl,11.1
HF_BKS_db._2239,HF,13.8
HF_BKS_db._2241,HF,10.5
HF_BKS_db._2242,HF,14.5
HF_BKS_db._2243,HF,5.8
Ctrl_BL6_2249,Ctrl,12.5
Ctrl_BL6_2250,Ctrl,7.3
Ctrl_BL6_2251,Ctrl,5.9
Ctrl_BL6_2252,Ctrl,12.2
HF_BL6_2260,HF,1.3
HF_BL6_2261,HF,3.2
HF_BL6_2262,HF,5.5
HF_BL6_2266,HF,6.9
Ctrl_BL6_db._2273,Ctrl,2.4
Ctrl_BL6_db._2274,Ctrl,1.8
Ctrl_BL6_db._2275,Ctrl,3.6
Ctrl_BL6_db._2279,Ctrl,3
HF_BL6_db._2286,HF,2.9
HF_BL6_db._2287,HF,5.9
HF_BL6_db._2288,HF,7
HF_BL6_db._2289,HF,8.4
Ctrl_BTBR_2292,Ctrl,3.8
Ctrl_BTBR_2293,Ctrl,5.2
Ctrl_BTBR_2297,Ctrl,7.7
Ctrl_BTBR_2298,Ctrl,4.2
HF_BTBR_2306,HF,3.5
HF_BTBR_2307,HF,3.3
HF_BTBR_2308,HF,6.1
HF_BTBR_2309,HF,3.9
Ctrl_BTBR_ob._2316,Ctrl,4.7
Ctrl_BTBR_ob._2317,Ctrl,0.8
Ctrl_BTBR_ob._2318,Ctrl,1.9
Ctrl_BTBR_ob._2320,Ctrl,1.8
HF_BTBR_ob._2329,HF,3.3
HF_BTBR_ob._2331,HF,3.3
HF_BTBR_ob._2333,HF,2.7
HF_BTBR_ob._2334,HF,4.5
