"Class","N","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",4,7572.76075417778,8822.8156530406,4411.4078265203,7478.60413012872,9037.41221755959,4518.7061087798,0.987566407139283,-0.0180503319970189
"CL",22,21328.5996101834,26517.8788330123,5653.6307634295,19736.5236645395,24939.6959349361,5317.16103901948,0.925354876797266,-0.11192134459881
"DG",38,353467.131189738,1034985.75050574,167896.85929713,342171.995054428,1039120.84671876,168567.660481318,0.968044734181389,-0.0468543776659509
"lysoPC",16,660709.37358153,1299867.49934326,324966.874835814,631713.223047227,1200796.32828349,300199.082070873,0.956113608049599,-0.0647460415016878
"lysoPE",10,77350.4293650898,110429.720415543,34920.9437888711,74509.7131648596,102649.115465339,32460.5004672086,0.963274719693898,-0.0539807908806049
"MG",8,4832.36497964271,4293.09598316394,1517.83864098998,4544.61933495336,4612.66847858443,1630.82458028624,0.940454488454093,-0.0885699659929987
"PA",15,35801.8647870618,60941.114446613,15734.9280900702,42873.4822171347,73798.3478473577,19054.6514793626,1.19752092445834,0.260050864603244
"PC",64,331067.796807579,1006920.00188732,125865.000235916,348302.497133628,996360.968438117,124545.121054765,1.0520579183244,0.0732141306561691
"PE",26,410949.993550303,1002468.90164324,196600.326586493,418753.41143828,984738.55547897,193123.119622094,1.01898872858121,0.0271380933978111
"PG",20,80333.7414520932,134817.76684325,30146.1691236225,71101.1504172128,113599.218118502,25401.5573903797,0.885072064763892,-0.176133167098812
"PI",3,2296041.91753329,3218360.59443929,1858121.35554881,2204488.27362918,3066770.80528706,1770600.94997537,0.960125447534308,-0.0587051778954793
"plasmenyl-PC",4,44110.4284597043,65932.8689934584,32966.4344967292,35401.6503495907,49513.5721252376,24756.7860626188,0.802568725487007,-0.317303156641247
"plasmenyl-PE",11,101713.65633404,145524.411431358,43877.2609595566,102692.451590468,142435.853353185,42946.0256606001,1.0096230466164,0.0138167481388258
"PS",3,1593422.57655527,1890873.99162128,1091696.60806621,1635945.97966231,2000048.78000938,1154728.7015308,1.02668683356989,0.0379961889056911
"SM",21,251931.052440867,651463.637752018,142161.02059571,262304.078785922,713928.524061605,155791.976300019,1.04117406824031,0.0582112851537522
"TG",57,309153.927509177,824063.374804377,109149.860420062,272327.858446865,774170.868852489,102541.436569228,0.880881121714948,-0.182980759832966
