"Class","N","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",4,8535.23435023336,8362.10306475052,4181.05153237526,11960.9283605765,21481.4593880108,10740.7296940054,1.40135910389496,0.486826699539645
"CL",22,22784.7497399904,27922.4729502869,5953.09123542131,21509.8746139406,25085.8408250435,5348.31923428209,0.94404699895333,-0.0830694095915127
"DG",38,394736.392549122,1172563.0380768,190214.842402224,364795.278004335,1076200.2894274,174582.740372251,0.924149090101794,-0.113802478960808
"lysoPC",16,595774.616313888,1173499.51816982,293374.879542455,582299.268221449,1139456.04115595,284864.010288987,0.977381802239556,-0.0330058514273449
"lysoPE",10,46530.1377282122,65832.5750105612,20818.0881267257,42567.6577698399,56718.9203851358,17936.0974842784,0.914840571039837,-0.128407747567941
"MG",8,5004.21838401816,4317.86321510981,1526.59517982005,4840.23790763666,4074.04479994248,1440.39235244856,0.967231550704261,-0.0480667894006404
"PA",15,28061.3476362638,45447.0184086625,11734.3696954354,31254.1138160437,52505.2170139421,13556.7887389336,1.1137780772743,0.15546180116028
"PC",64,304690.209097674,923336.082159283,115417.01026991,308087.018794685,910974.383788085,113871.797973511,1.01114840449606,0.015994754627696
"PE",26,318276.717774034,746525.112877849,146405.6199212,321585.401104901,789936.632918168,154919.319451982,1.01039561848572,0.0149202880993187
"PG",20,86134.0233843206,127169.743406557,28436.0190938267,96499.3908699668,143924.961922006,32182.5998516673,1.12033998968558,0.163936613532472
"PI",3,1787501.38189547,2517453.10125868,1453452.22568395,2420963.80447885,3521881.98518447,2033359.51220035,1.35438429810424,0.437637152727131
"plasmenyl-PC",4,29964.1616066317,43802.2085488411,21901.1042744205,26809.9770448169,38778.8084928677,19389.4042464339,0.894734763374233,-0.16046802399267
"plasmenyl-PE",11,77717.748756204,104069.368784702,31378.0953116345,81030.5332244509,115554.459974928,34840.9805989978,1.04262584186064,0.0602215232109279
"PS",3,1409670.70054087,1853814.03633002,1070300.03290264,1767188.40767166,2030803.97419039,1172485.22117018,1.25361788891095,0.326097672079297
"SM",21,218237.883595487,576350.968796304,125770.0924462,221487.873468146,583088.63249449,127240.371203537,1.01489196018178,0.0213261542024454
"TG",57,284319.754348042,807888.139824617,107007.398208679,325549.498027317,884788.698638571,117193.126051226,1.14501188555757,0.195362573995557
