"Class","N","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",4,12567.2374079957,27016.9123293055,13508.4561646528,8479.10686623519,11290.6609333115,5645.33046665573,0.674699346480115,-0.567683330457255
"CL",22,22130.5171907305,30709.7688241463,6547.34471242318,22404.6514666196,29087.3911222842,6201.45262418681,1.01238716083888,0.01776111632305
"DG",38,458819.344915701,1233906.08554708,200165.998739344,379002.782924485,1043379.55657082,169258.514445703,0.826039239897611,-0.275717778301908
"lysoPC",16,570156.660470112,1171870.93771479,292967.734428698,682828.781538918,1391199.35093239,347799.837733098,1.19761607445909,0.260165490559381
"lysoPE",10,52442.6686038928,74339.968309445,23508.3621042583,54108.3274679204,72834.0577137771,23032.1513607692,1.03176151992967,0.0451095465616877
"MG",8,5535.59918369726,4735.96049896117,1674.41489212354,5626.5609756388,4986.63100999876,1763.04030122262,1.01643214924401,0.0235139129531207
"PA",15,35250.7659697416,58047.3371692409,14987.7580098771,33725.0421959698,53923.512780311,13922.9911311432,0.956717996565478,-0.0638343581715484
"PC",64,259755.249913568,808722.574190229,101090.321773779,340568.322750612,989686.090118221,123710.761264778,1.31111237545318,0.390791344263723
"PE",26,341005.260516493,851377.957808025,166968.95462715,369356.1911246,897847.375987762,176082.35732268,1.0831392764005,0.115218765063664
"PG",20,67689.4317904113,101713.086932044,22743.7376581396,80456.0204768043,110040.085860308,24605.7112233563,1.18860534574914,0.249269774592595
"PI",3,2404192.13435949,3442248.14439169,1987382.89278203,2312892.55168546,3304022.55966345,1907578.31423029,0.962024839292494,-0.0558539503084038
"plasmenyl-PC",4,25404.1469254916,45550.4514053947,22775.2257026974,20909.5662631569,30646.757678226,15323.378839113,0.823076890732961,-0.280900883320034
"plasmenyl-PE",11,104979.766388304,153883.955657723,46397.7583793049,94575.672154546,136655.882075733,41203.2987491146,0.900894290474275,-0.150570262495199
"PS",3,1708134.49513519,2068877.61518236,1194467.04804593,1836844.46670829,2284380.22118173,1318887.53563073,1.07535119274253,0.104807898219199
"SM",21,209018.007273836,512439.818748193,111823.536120145,166898.660261693,389925.533139517,85088.7271908499,0.798489385859652,-0.324654864545055
"TG",57,403606.068641241,1014215.86964934,134336.173639941,385986.269955088,1003567.76654097,132925.797929102,0.956344068994128,-0.0643983372179367
