"Class","N","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",4,10774.4257789066,11966.5827126598,5983.2913563299,10081.5530503393,13967.1377630821,6983.56888154103,0.935692839434312,-0.0958930819074227
"CL",22,21962.5804967817,32012.6796807582,6825.12624040034,22413.5884724497,27683.1836623395,5902.07458781471,1.02053529072934,0.0293260725028117
"DG",38,337557.449366048,978000.551583118,158652.639344483,349217.035662613,997300.069929093,161783.434637706,1.03454104277202,0.0489908815721029
"lysoPC",16,747051.667492914,1513818.12329685,378454.530824213,564162.183148978,1170417.01056887,292604.252642216,0.755184959351328,-0.405098063351451
"lysoPE",10,82460.0671065225,147052.129474992,46501.9663918956,66678.6727647201,97823.2296964888,30934.4213914726,0.80861773588644,-0.306470247455348
"MG",8,7423.64340057824,8447.39762828309,2986.60607316906,5535.44194839677,5982.16137852238,2115.01343845272,0.745650302648643,-0.423428905316574
"PA",15,40546.2838625985,66481.9779033323,17165.5728828357,34781.5425882828,63195.2022406683,16316.9310558879,0.857823190557956,-0.221247776290071
"PC",64,334921.781906649,1004232.87996006,125529.109995007,333423.490977294,1032741.06895425,129092.633619281,0.99552644524693,-0.00646845456202133
"PE",26,429660.363968756,1016804.30077178,199411.729659245,443078.522865953,1101115.08999535,215946.435792223,1.03122968749841,0.0443657023558625
"PG",20,82191.992983156,128709.927057996,28780.4146280719,69695.0164085071,109480.414017977,24480.5647949017,0.847953844151097,-0.237942356781163
"PI",3,2064304.69595759,2938747.10649763,1696686.43301664,2048417.50769466,2974569.75210566,1717368.64710152,0.992303855000647,-0.0111461365950558
"plasmenyl-PC",4,40209.524106526,78440.2112398024,39220.1056199012,23387.3410552748,41447.7351113547,20723.8675556773,0.581636852834053,-0.781809412774736
"plasmenyl-PE",11,144073.997824031,229273.696752642,69128.6205842035,110686.864707452,155218.75838664,46800.2165448468,0.768263991970593,-0.380325957816581
"PS",3,1594068.57165561,1944230.33730576,1122501.90861012,1741149.31609666,2125770.4919636,1227314.16577055,1.09226751411847,0.127326239065985
"SM",21,282213.928086459,729035.879374178,159088.671503375,226935.074239787,535121.225078222,116773.024757069,0.804124288898537,-0.314509587115862
"TG",57,300827.165853141,821941.492492974,108868.810242128,393907.739490668,997238.713225007,132087.494338443,1.30941545246937,0.388922909447184
