"Class","N","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",6,921380.700893452,1069812.70008058,436749.205924425,1104353.79120208,1199142.04869977,489547.691405016,1.19858576387719,0.261333143608212
"CerP",2,27259.7662459091,20295.9950671751,14351.4357429282,19957.1415454545,15636.6441578347,11056.7771190059,0.732109782799387,-0.449868092246124
"CL",4,14844.4880995455,10341.8503670272,5170.9251835136,15519.2278515909,14916.5794427871,7458.28972139355,1.04545389154013,0.0641294350376986
"DG",9,32114.1457638145,37668.9113340331,12556.303778011,24308.5631753125,26232.7855805995,8744.26186019983,0.756942543453946,-0.401744299854682
"lysoPC",19,3830088.67943158,7713692.76449923,1769642.48641963,4109109.94382165,8677316.4165349,1990712.91372643,1.07284981830538,0.101448136159428
"lysoPE",7,214976.676096103,224594.982453643,84888.9241836078,158294.124077474,152129.39337871,57499.5059975974,0.736331619560024,-0.441572439821266
"MG",2,34038.0340874554,23662.6774756971,16732.0397040956,26145.8339214286,22187.1799775888,15688.7054175594,0.768135840461614,-0.380566628953109
"PA",10,36837.8702028636,29798.480616129,9423.10695593453,38116.3816124545,31887.9258915714,10083.8475676021,1.03470644210836,0.0492215169161687
"PC",44,3397515.61227286,10004213.6908914,1508191.96069196,3312131.54970603,9629018.21790542,1451629.11492222,0.97486867690662,-0.0367202062157605
"PE",11,171570.337900073,191003.478003119,57589.7154717498,188948.715335613,207804.25181377,62655.339373346,1.10129010438658,0.139194557030953
"PG",9,38134.5741118181,62761.0822119091,20920.360737303,42376.3784917677,74400.5115944296,24800.1705314765,1.11123250957285,0.152160711697486
"PI",6,1396640.8912447,2768866.65517184,1130385.0784963,1365759.82398818,2781547.68286556,1135562.08637358,0.977889042594912,-0.0322573176233856
"plasmenyl-PC",5,148077.630838839,248534.667357188,111148.082195194,128441.548927946,202575.372822743,90594.4608398034,0.867393327407677,-0.205241749856604
"plasmenyl-PE",8,151948.199689286,124886.304392098,44153.9763564901,176075.934299944,134792.043079714,47656.1838558276,1.1587892101387,0.212618156383132
"PS",2,5206.76395022728,3902.25895192535,2759.31376685232,8855.0743784091,8508.76998993861,6016.60895944218,1.70068673422819,0.76611742166142
"SM",22,112259.625411086,192231.80661655,40983.9588769817,104021.688035629,170289.098089363,36305.757700203,0.926617095458051,-0.109954795523907
"TG",35,447119.28937296,1217700.83544276,205829.008412184,368724.639649787,1003321.63792466,169592.310230642,0.824667260871,-0.27811596088949
