"Class","N","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",6,1440657.09283363,1740511.09511319,710560.679113346,1280688.78701146,1435839.50001903,586179.021263256,0.888961567177981,-0.169807047081243
"CerP",2,23070.3786106818,15356.1083547557,10858.4083502832,19177.6639247727,11977.4294586587,8469.32159140106,0.831267845595446,-0.266614687385335
"CL",4,14274.7782397727,14088.5659136509,7044.28295682543,15486.6671269318,13533.0083309677,6766.50416548384,1.08489721288857,0.117558362964226
"DG",9,17617.4514571379,17791.9622037234,5930.65406790779,21020.3318435466,26355.7858455487,8785.26194851623,1.19315395275461,0.254780206105867
"lysoPC",19,3250381.38346597,6257514.74643928,1435572.33776023,3216493.63609959,6118319.04374424,1403638.65347482,0.989574224262184,-0.0151201723958591
"lysoPE",7,194610.933311907,204411.692192527,77260.3575164728,161668.842641129,161692.917218488,61114.1782458103,0.830728468795835,-0.267551098921932
"MG",2,35290.6717513393,33078.0918212246,23389.7430354992,31513.621833125,30418.7233117469,21509.2855287736,0.892973136220595,-0.16331132023995
"PA",10,41514.7181848182,33234.4548199545,10509.6574025017,43115.8467518182,35917.1915407713,11358.013242537,1.03856773301151,0.0545953085207988
"PC",44,3416293.06717533,9785286.68373184,1475187.47254544,3304463.9048571,9357423.50242286,1410684.67099954,0.967265934122363,-0.0480155049847359
"PE",11,106654.995568673,123072.587218814,37107.7812530086,103287.183138474,125210.644388727,37752.4297450934,0.968423303453889,-0.0462902991390545
"PG",9,42141.0667566414,82123.0013353136,27374.3337784379,49013.7120771464,103075.376068288,34358.4586894293,1.16308664800048,0.21795857917062
"PI",6,1378684.377685,2776176.74761507,1133369.41123938,1332877.05796871,2795482.09621754,1141250.78680315,0.966774614656036,-0.0487485032388396
"plasmenyl-PC",5,138454.433235241,221416.5358959,99020.485121151,146263.554848143,225512.65333579,100852.324529034,1.05640210595232,0.0791590826531734
"plasmenyl-PE",8,176149.621503237,158113.788857951,55901.6661502774,193200.537759821,159518.485584873,56398.3014408361,1.09679791594824,0.133297734933284
"PS",2,4704.48859636363,3900.01368617928,2757.72612421771,4196.70916477273,3522.59236164572,2490.84894627562,0.892064903296101,-0.164779415843744
"SM",22,111463.734215233,177882.447348179,37924.6652017208,97929.167814651,152365.112425902,32484.3511168053,0.878574260086716,-0.186763862004855
"TG",35,302048.458773198,792783.725075377,134004.907665395,318767.434231835,893885.748612659,151094.268736235,1.05535196414027,0.0777242238021257
