"Class","N","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CE",6,1297543.81914271,1498080.82361668,611588.935218204,1040504.37392894,1107271.24908865,452041.594520227,0.801903071463443,-0.318500230738362
"CerP",2,25756.4784025,19740.1993874167,13958.4288488169,18158.1469025,13431.6355390748,9497.60057210599,0.704993385304472,-0.504318373593243
"CL",4,12954.2015661364,10119.3266624483,5059.66333122415,16762.2157161364,16366.238042515,8183.1190212575,1.29395977286277,0.37179276694905
"DG",9,23313.1943731845,24188.0639039412,8062.68796798039,25449.0912515625,28156.7648934131,9385.58829780436,1.09161751256339,0.126467444728074
"lysoPC",19,3582870.97151262,7173553.18202548,1645725.96771388,3223894.74817317,6318800.98339223,1449632.36478695,0.899807660897178,-0.15231144491715
"lysoPE",7,242852.559087577,297088.418397246,112288.86749666,140466.261206945,136821.860211574,51713.8022910098,0.578401404270525,-0.789857039950227
"MG",2,36925.5711259598,31666.8583544306,22391.8502812917,41481.6769800669,35407.4341434497,25036.8367872494,1.12338619864715,0.16785398391876
"PA",10,38037.3333294091,34273.1714761349,10838.1284502101,43452.9914930454,35598.3056966448,11257.1726844345,1.14237744051971,0.192039394658487
"PC",44,3356385.08059523,9454603.53725475,1425335.11248368,3468761.07115631,9935524.58145573,1497836.68782007,1.03348125672789,0.0475122242051334
"PE",11,187421.15773916,252980.640949648,76276.5332048729,170401.675076794,212630.230748676,64110.4267709134,0.90919124143896,-0.137344308656636
"PG",9,39636.0920108333,74366.9072898301,24788.96909661,38941.9015160101,70621.6793263825,23540.5597754608,0.982485899602981,-0.0254913925734506
"PI",6,1378306.77408651,2776066.54224625,1133324.42008596,1383761.43185803,2775074.14072346,1132919.27386082,1.00395750632157,0.00569820682202337
"plasmenyl-PC",5,187607.053133009,306115.082306818,136898.826595198,150324.964296348,239825.706834895,107253.316646952,0.801275654544669,-0.319629451465674
"plasmenyl-PE",8,194325.64510692,156577.582423233,55358.5351566319,184131.094839062,138059.830862965,48811.5213063352,0.94753883224086,-0.0777430255526302
"PS",2,5055.48239068182,4671.87110123946,3303.51173651588,6401.06865431818,6362.1222500899,4498.69978577638,1.26616377224783,0.340464022561439
"SM",22,125947.962061794,211520.530102853,45096.3285418468,103196.057083793,207962.661174269,44337.7883375733,0.819354719159025,-0.287439929003234
"TG",35,188473.635198636,486317.911033807,82202.7303321813,339771.907381459,872040.141250909,147401.687134452,1.80275563223135,0.850203849315308
