"Class","N","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CL",10,14565.726876525,20951.4093581548,6625.41737623356,17695.928427045,30365.3255039099,9602.35904847553,1.21490184300825,0.280839757184365
"DG",30,205908.017835718,766398.523317966,139924.586419966,225553.375298167,819215.29884943,149567.566211056,1.095408414247,0.131468867408787
"lysoPC",16,102824.742371578,215155.272532661,53788.8181331651,110535.034697312,196081.045499757,49020.2613749391,1.0749847959538,0.104316255203408
"lysoPE",9,17809.4693957611,20311.8922545402,6770.63075151339,18748.0730102694,20543.9978914341,6847.99929714469,1.05270250301403,0.0740977838784538
"MG",10,95021.06689379,227275.717402818,71870.8923841674,116535.614426485,280798.125560337,88796.163947661,1.22641871151313,0.294451613525888
"PA",14,58167.0035876589,123811.715970458,33090.072973573,54065.4886117857,105544.638111131,28207.9910587782,0.929487256985962,-0.105493008558291
"PC",42,155306.610025292,300007.51392404,46292.1644122783,213845.177267128,485893.785285615,74975.0387953318,1.37692257420533,0.461447437504466
"PE",16,105317.793361641,231659.405058784,57914.8512646959,146152.497645333,371365.670999025,92841.4177497563,1.38772844531098,0.472725284823901
"PG",6,30355.4050093292,43958.845019532,17946.1233299899,31618.3185611667,50390.6038650286,20571.8778833397,1.04160423988576,0.05880722616775
"PI",9,65552.5178849167,105069.081192823,35023.0270642744,53809.9426157778,89849.6984757176,29949.8994919059,0.820867669953517,-0.284778427438744
"plasmenyl-PC",3,23131.3922314167,38998.4106819962,22515.7429052181,27357.840278775,43617.2038420147,25182.404379486,1.18271481478828,0.242102241986319
"plasmenyl-PE",12,364682.979146833,1047279.44225753,302323.533952074,399769.191949042,1089934.12293202,314636.879636879,1.09621017379065,0.132524429335051
"PS",17,95368.9405492353,190987.428347235,46321.2553082785,86612.3983548529,190240.379430983,46140.0693324427,0.908182452861981,-0.138945932396817
"SM",15,364149.577150715,1182395.22253958,305293.133702067,391311.953140505,1248137.12142358,322267.619003786,1.07459126055376,0.103788010041138
"TG",44,587795.034792205,1128664.69222014,170152.60446437,509770.730521239,1087017.43053423,163874.043529921,0.867259334202187,-0.20546463174845
