"Class","N","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CL",10,14028.529237119,16386.2896754512,5181.79977737272,15618.30274778,20781.5982952835,6571.71840317682,1.11332431816548,0.154873919771029
"DG",30,281672.224022172,1006634.34727498,183785.446387333,259313.437631937,924696.373321199,168825.687503746,0.920621259451997,-0.119320336496939
"lysoPC",16,77677.7867127593,134334.800429074,33583.7001072684,72284.0292652569,115784.60560916,28946.1514022899,0.930562421050336,-0.103825167043212
"lysoPE",9,11470.1880208282,12345.4849024013,4115.16163413378,11685.0429427711,12646.7532574619,4215.58441915397,1.01873159546756,0.0267739956700643
"MG",10,124689.908703454,280500.648109179,88702.0933178407,136778.41880044,312264.509311102,98746.7081857939,1.09694858407296,0.133495905648716
"PA",14,48542.2148948119,76083.2486452195,20334.1035216532,70958.5378870444,175744.755751119,46969.7616816397,1.46179027967321,0.547736345368033
"PC",42,154417.426068607,309987.346411418,47832.0859971413,149563.592882732,292747.197522946,45171.8732698048,0.968566804217303,-0.0460765367256067
"PE",16,106048.76782054,185785.556094254,46446.3890235635,89756.7943371907,155145.156616473,38786.2891541183,0.846372816788225,-0.240634802164382
"PG",6,32425.8070105524,55513.3247599109,22663.2199311989,31086.5463348042,48604.5182042424,19842.7114657017,0.958697691770249,-0.0608521360995547
"PI",9,62108.348781028,100740.006914423,33580.0023048078,85480.7424855706,120429.88942134,40143.29647378,1.3763164560524,0.460812226643406
"plasmenyl-PC",3,17402.4014519679,25148.8192067711,14519.6775388305,11444.0724183876,17149.7171486924,9901.39381232351,0.65761455107068,-0.604685872927903
"plasmenyl-PE",12,384395.674128023,1031670.89394307,297817.734166565,308952.252295892,797484.262457073,230213.87680204,0.803734987384367,-0.315208209667181
"PS",17,80988.9322208127,151771.685980884,36810.0407221919,93301.2168945753,174244.925143827,42260.6018291671,1.15202428697533,0.204171131996828
"SM",15,285718.113387807,902852.149194862,233115.422527952,258396.147441358,780903.485844181,201628.413044655,0.904374400269944,-0.145007939956603
"TG",44,600246.665585718,1180428.26920854,177956.257313335,634223.584544815,1219314.34563287,183818.553907361,1.05660492745252,0.0794360429933954
