"Class","N","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CL",10,16774.5615454573,23300.6532380811,7368.31352021138,18686.447684482,32560.0974904789,10296.4068907046,1.11397532709536,0.155717279472055
"DG",30,198718.181936946,688595.186135792,125719.705478681,207633.594764209,750714.440725149,137061.077810013,1.04486460544457,0.0633160086134665
"lysoPC",16,100060.2167373,173635.865177274,43408.9662943185,123852.826326681,222833.581134451,55708.3952836127,1.23778291078308,0.30775830889799
"lysoPE",9,16371.490264732,15065.1067284837,5021.70224282791,20654.6199050931,21090.695281263,7030.231760421,1.26162124346052,0.335278857867183
"MG",10,77408.2072866314,168008.771249491,53129.0384034606,92784.6614126577,217658.01212177,68829.5069289333,1.19864113464209,0.261399789888532
"PA",14,50236.3372488904,92412.0833699405,24698.1681691648,44465.2529733929,91680.6335055867,24502.6799700209,0.885121316729257,-0.176052887094438
"PC",42,178464.391790728,346842.664387194,53518.9850247217,168340.984218636,328673.034629194,50715.3502854913,0.943274916242324,-0.084249791116778
"PE",16,116910.853628988,232885.18933717,58221.2973342925,113542.886777559,247017.528972891,61754.3822432228,0.971192008723868,-0.0421715441976782
"PG",6,33967.0782077184,53397.6102847511,21799.4831136052,33081.0379038756,47487.4720883862,19386.6792985341,0.973914733012229,-0.0381326261169616
"PI",9,45410.6570947038,68345.2728630733,22781.7576210244,50934.8994803516,77842.702712599,25947.5675708663,1.12165079166608,0.165623585439825
"plasmenyl-PC",3,30047.3204988669,43725.5224530866,25244.9421587466,30405.8738085885,46471.9408636677,26830.5875674029,1.01193295454532,0.0171137076713541
"plasmenyl-PE",12,452215.728484176,1268799.31329539,366270.812539352,397521.33765842,1098150.65559256,317008.788308563,0.879052435860445,-0.185978869564716
"PS",17,72832.1847114124,151946.624149207,36852.4694601887,74477.5237111642,153267.268916459,37172.7728642651,1.02259082308558,0.0322289841901727
"SM",15,417074.383586859,1386097.28984763,357888.781320206,396254.988209407,1280869.52669618,330719.089703925,0.950082296595623,-0.073875609077396
"TG",44,572308.159752851,1131230.76940062,170539.455154859,565336.422975895,1146308.5456324,172812.515447303,0.987818211817971,-0.0176825278137763
