"Class","N","Ctrl.mean","Ctrl.SD","Ctrl.SE","Case.mean","Case.SD","Case.SE","FC","logFC"
"CL",10,16647.3863471338,21666.8083679949,6851.64640692595,17610.8018344874,28501.2690973939,9012.89265531361,1.05787187653751,0.0811649069632078
"DG",30,281556.040213809,1053732.83570525,192384.414566549,240539.267694873,849842.002012517,155159.211605869,0.854321106065463,-0.227149670173939
"lysoPC",16,64608.9837076788,104469.442482456,26117.360620614,82973.2450825485,131437.123073673,32859.2807684183,1.28423696397947,0.360911429263908
"lysoPE",9,10813.1025736312,10104.8324979189,3368.27749930631,14665.5422349999,12642.0989373427,4214.03297911422,1.35627514259998,0.439649882455243
"MG",10,135776.128982777,294207.43397338,93036.5595909483,105106.222180245,235241.154513499,74389.7847670255,0.774114146335529,-0.369381781475875
"PA",14,56906.6788999111,121863.09154083,32569.2811884896,51557.3651439609,110316.214415578,29483.2484677847,0.905998489819469,-0.142419449397065
"PC",42,181926.590374801,374954.763741377,57856.7761295391,203643.001488501,419890.168781147,64790.4596590792,1.11936908765761,0.162685812128982
"PE",16,108090.786587785,184268.678143498,46067.1695358744,116203.847302923,207374.79125758,51843.697814395,1.07505783768674,0.104414278325639
"PG",6,42914.7672972189,79849.0863045498,32598.2529789339,36821.8729542413,61428.5733585204,25078.11005925,0.858023362895587,-0.220911163858671
"PI",9,58641.0711348069,100721.847994575,33573.9493315251,55159.1045194599,93038.9675536885,31012.9891845628,0.940622390622052,-0.0883124202983943
"plasmenyl-PC",3,9970.80087922191,14402.5032240128,8315.28911338825,17431.8129211866,25578.2992204287,14767.6379403273,1.74828613391655,0.805941323396711
"plasmenyl-PE",12,349329.595253083,920085.15669776,265605.706448415,399033.7085708,1065926.66911553,307706.524675126,1.14228428965976,0.191921750735973
"PS",17,86995.0802234232,166236.705876194,40318.3233636638,76445.9566951078,161406.751614687,39146.8873879523,0.878738849355356,-0.186493617480906
"SM",15,305951.109430184,927347.429668454,239440.076750278,365270.050221936,1202946.41639095,310599.429137469,1.19388372509003,0.255662336263976
"TG",44,597511.838193398,1184414.57271555,178557.215178482,579175.378265906,1143304.33190943,172359.613187796,0.969311972156178,-0.0449670244525606
