Class	Carbon	Saturation	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
CE	22	6	 [M+NH4]+	10.5	16.53	37007.69478	48391.45313	34771.36221	32088.42261	72379.935	39454.21992	84298.4157	49500.36198	21397.73668	11874.36261	46459.80832	28523.08738	31375.56862	49967.12037	22304.63106	53936.60053	10570.51407	16943.49924	16707.84683	30157.86525	13531.25273	14959.36468	4896.023038	6010.567452	10006.15854	11187.53808	27087.24618	8934.993797	24649.09177	23275.16165	25383.046	7149.156982	24652.4427	14172.43283	31944.91693	27308.49025	50572.84726	54160.70674	73521.29774	12995.02519	65247.28302	12258.9631	14723.18423	33252.37753	29949.73635	45018.53677	40228.24254	25672.27162
CE	16	2	 [M+NH4]+	10.09	17.38	894.4546302	492.278493	2139.483493	5372.410825	941.0677201	919.1708591	755.8885648	5577.642974	1354.996053	2438.198783	3155.444049	707.1037924	791.5820468	6468.266654	929.9734017	1676.418926	2842.097032	1125.021508	2694.048795	3868.440829	135.368398	786.9349959	39.9460492	228.357861	877.9117948	6327.548505	1691.36558	2000.996571	1713.084195	872.5836308	4374.255824	235.5628189	9757.13464	10579.96442	9889.646784	7013.248241	2403.591153	1646.387621	2207.147642	8587.51703	870.0396398	7173.93684	14406.46714	16661.24202	735.7225786	3296.607105	34.36911048	199.7463573
CE	18	2	 [M+NH4]+	10.68	21.91	126572.3582	144513.7837	79250.19245	76133.27891	178031.7216	314979.9028	237352.0698	240322.2998	104412.4816	180623.4591	133368.0951	137390.9757	84527.65243	249078.6881	164804.5374	828169.7934	75316.81518	90863.99362	82780.11995	123094.972	69003.79003	196816.8322	63774.01526	200261.0278	77465.72911	94492.26419	131766.078	33126.76731	291856.4218	148556.1729	153308.9515	100624.1938	133988.4845	191638.0456	110284.281	67620.01843	299372.7538	171595.547	418091.7597	65481.19874	848804.6634	66259.07109	58281.89392	86042.10555	165978.8312	466983.9128	300222.8637	149188.5345
CE	16	0	 [M+NH4]+	10.97	22.17	15588.54386	13231.77819	17648.32973	13404.60307	11595.5266	18400.47136	16110.81765	12168.85694	15460.67337	12418.25855	17615.29807	11029.37273	12475.46322	22158.5269	20177.23525	94340.87004	20157.70074	17256.47371	24222.58853	20880.6295	26208.8793	31110.06612	33799.8114	60945.89342	20298.27692	20966.67895	30806.72136	22402.6306	19512.99384	19758.16387	25996.51896	17000.89587	20477.75249	145766.9701	32723.42936	47246.85386	16609.19508	21910.69883	23559.41651	23373.81197	83636.10526	19227.41964	26936.62631	57474.0998	20492.83792	31290.83123	39489.00197	20763.10669
CE	20	4	 [M+NH4]+	10.57	34.74	14261.99032	46876.8726	32376.00759	8697.431236	4987.365914	18767.03891	31122.86074	31415.51331	8834.483905	20920.306	4620.131676	21828.31632	4967.709906	33968.02183	13071.2171	77458.2199	31652.21758	23124.16547	21057.83033	32459.44707	7087.813205	22452.93975	17365.24791	28392.52936	10109.10164	18813.20728	7234.465233	21225.32777	41290.62953	10708.09483	26082.98822	28551.05794	55812.7883	103875.5815	18695.98596	22139.14348	40495.02556	39090.71451	59523.50806	16401.26454	152321.0375	24464.27954	7990.64512	28398.20717	18111.23595	54318.8582	50425.93814	18975.40565
CE	18	0	 [M+NH4]+	11.28	35.97	37097.11944	73710.40958	50550.00597	15286.44384	34141.34565	94209.92025	52806.82252	25451.17211	21946.19808	50916.13267	30210.6412	46437.24559	6213.189888	61147.1989	7091.185853	269160.3449	153758.9043	7445.251757	107.5888136	76743.23322	55080.83366	89303.27011	52348.35222	146365.6412	33170.74557	67620.08701	52458.88934	72244.80024	71708.30705	35349.67917	27257.25909	36856.55258	71237.2408	515914.7474	1043.5622	124466.3458	126692.4394	18930.65858	127661.4765	159.6233377	319204.8008	65656.68673	1160.026304	125694.6876	47195.81825	179575.7902	54157.26791	32657.35177
DG	38	4	 [M+NH4]+	7.79	3.28	1910164.391	2687537.07	2589346.463	1654410.363	3413145.246	4861345.822	3680765.589	2758496.032	2194927.531	3055637.549	2494803.813	1672273.051	1496979.353	3910168.919	3950306.092	4404796.322	5433319.835	4257584.44	3634343.412	3615765.981	6138132.314	6217844.246	4920331.347	9822995.183	3843258.905	3027925.507	2389652.474	4807768.797	4715436.868	3814050.11	3782002.023	5569726.777	2763543.117	3637411.937	2499390.232	2163021.147	4491732.921	4873256.792	5453809.547	2621513.801	6289410.54	3288537.908	1840021.686	2574341.088	3576536.714	5505523.547	7098111.491	3574409.365
DG	40	6	 [M+NH4]+	7.74	3.92	306397.0424	1509476.537	530095.4162	829115.1426	501518.3394	600045.9731	869595.7682	1052224.967	284808.4983	662637.0812	1063963.095	496925.5507	296760.3827	1222201.462	1052860.184	2510444.978	2029581.489	1175285.523	1982057.158	2008461.635	1742530.349	2025519.103	2156447.096	8084809.463	2332220.59	1297147.511	612127.5264	1971496.156	565824.0629	580487.9696	1635724.854	2197460.429	477567.3934	1176482.405	339762.0666	352826.2419	1090165.92	538002.6548	478217.2218	479827.5522	3012901.18	816190.6946	397819.2391	685994.0772	1742465.082	1796219.224	2960062.754	2006765.962
DG	34	2	 [M+NH4]+	7.58	4.33	21802550.86	37412638.91	29973713.85	23956447.83	23970064.96	14682681.29	17858604.66	20798245.92	29897050.39	33330382.56	23236603.9	22313392.91	14675863.6	18716445.62	19578611.23	27707061.06	46842663.21	34381316.54	27393543.8	27782664.93	31023114.08	25720974.96	32000043.64	50921999.32	20445855.17	43191315.13	29312048.03	42353328.03	17045111.34	19111461	23358646.1	29744643.38	47147295.27	41310017.95	30477404.32	27055228.63	26888555.53	24104309.83	16082632.61	56431857.15	22932674.6	53281545.38	41086831.54	42723594.2	22491150.6	20394100.93	25437281	18021343.86
DG	37	4	 [M+NH4]+	7.76	4.68	56526.69674	54858.35421	49354.30551	37131.88766	33359.58701	55649.15682	64287.08409	51244.27114	60658.36891	81375.98078	56037.88923	34901.33905	26315.25299	82498.18947	99566.36202	75578.66803	110544.8828	86266.45051	68650.02266	72277.05714	147236.9509	152596.6092	74346.71123	202627.9358	100655.5888	44422.15866	52332.01587	85381.31835	94563.18358	69033.57783	91161.11089	82235.90334	65249.72685	107851.3705	46733.42075	44128.63886	66152.34627	26675.11861	38767.85846	59595.74692	113385.3842	97067.16407	53318.81731	60617.28464	87537.66259	75054.08051	123573.4899	96984.42802
