Class	Carbon	Saturation	Adduct	RT	Class.1	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
CE	16	0	 [M+NH4]+	11.01	CE	60.58271542	572.0414419	6390.312368	986.2232358	369.7743645	787.3384626	718.1761894	7001.843942	1218.783404	921.5462628	966.2630571	902.4052044	182.9634616	866.0005218	394.0975823	486.462402	3259.440233	593.040721	124.9332425	468.4455153	160.7384096	7076.341456	517.2856136	439.345155	415.4318931	902.4052044	1627.852423	1580.165531	941.7722162	660.6016777	211.4682283	297.1848254	211.4682283	439.345155	941.7722162	297.1848254	1233.028538	593.040721	2237.996123	921.5462628	3130.667038	486.462402	36925.99255	572.0414419	4996.445978	29830.08109	986.2232358	58899.00316	1256.068293
CE	18	2	 [M+NH4]+	13.05	CE	76.19748913	50.05390291	50.05390291	50.05390291	19.58724319	660.6016777	50.05390291	91.19475576	19.58724319	19.58724319	19.58724319	19.58724319	50.05390291	50.05390291	50.05390291	19.58724319	19.58724319	19.58724319	50.05390291	19.58724319	19.58724319	50.05390291	19.58724319	124.9332425	91.19475576	50.05390291	19.58724319	19.58724319	19.58724319	50.05390291	19.58724319	19.58724319	19.58724319	19.58724319	50.05390291	19.58724319	50.05390291	19.58724319	50.05390291	19.58724319	19.58724319	91.19475576	182.9634616	19.58724319	124.9332425	50.05390291	91.19475576	124.9332425	19.58724319
CE	22	4	 [M+NH4]+	10.91	CE	78.27317423	369.7743645	320.4901795	1437.682294	245.1736324	160.7384096	1547.623228	394.0975823	468.4455153	902.4052044	275.7432142	593.040721	1810.048109	787.3384626	182.9634616	369.7743645	211.4682283	394.0975823	369.7743645	2872.255076	739.5076125	486.462402	572.0414419	182.9634616	1394.770282	160.7384096	468.4455153	660.6016777	339.0038411	546.8052098	124.9332425	468.4455153	160.7384096	297.1848254	124.9332425	91.19475576	369.7743645	517.2856136	593.040721	275.7432142	297.1848254	517.2856136	339.0038411	91.19475576	468.4455153	517.2856136	19.58724319	546.8052098	275.7432142
DG	34	2	 [M+NH4]+	7.62	DG	5.374206995	169170.5188	200880.9441	120405.1651	268561.4321	132184.5353	66431.73261	123518.6453	155761.5367	155761.5367	299460.4494	222801.3405	153621.1533	130490.0362	226198.4777	171923.3079	399448.7542	236812.3042	120405.1651	101230.3089	101230.3089	158437.9124	268561.4321	399448.7542	107976.7383	85222.35717	96567.18597	89892.23749	299460.4494	153621.1533	236812.3042	138530.4909	260417.1582	198169.6381	231444.6655	382724.2116	186913.6971	153621.1533	117112.8993	382724.2116	189438.5936	343459.0345	180586.0403	124942.0614	375459.9512	268561.4321	279768.6265	314826.9665	391527.6722
DG	40	2	 [M+NH4]+	9.03	DG	9.891706843	12915.88073	7530.809589	19542.91673	8295.391711	10086.74601	12446.06247	6790.29513	15721.38306	15406.17715	9337.008436	9793.243288	13793.05002	11115.01877	7374.181445	7875.490429	8984.995884	8358.676685	6790.29513	9337.008436	9054.47894	2660.892641	3046.664351	6390.312368	6932.82616	6231.117745	6033.81833	7200.131385	7461.35657	4281.418378	5147.345466	10934.42132	9607.234258	12915.88073	7948.616223	8807.138823	5194.374936	9986.22697	5339.378486	10696.32158	8894.3843	8046.838572	5723.206757	7604.121685	4430.950426	8358.676685	4686.688052	4092.482947	7001.843942
DG	32	2	 [M+NH4]+	7.09	DG	11.1554564	20470.26498	25252.55163	15537.39923	49992.58667	8121.861752	1779.687037	11622.4413	9533.543017	22468.11183	58122.70206	35305.14154	23062.94212	8709.591127	15537.39923	8627.711884	29540.51647	51129.81649	24580.71733	16466.50135	21578.76444	16769.01906	18600.08183	34390.73834	9259.423345	18600.08183	26696.97761	30703.47362	77564.55512	12915.88073	19408.08598	12305.90809	19542.91673	66431.73261	45422.88187	115371.6908	43602.71871	12078.49421	9337.008436	27804.34076	16466.50135	78917.75005	39142.90233	31012.7822	77564.55512	21730.22341	23243.56693	14732.83801	27467.08531
DG	38	4	 [M+NH4]+	8.13	DG	11.86881889	977996.2115	534418.5089	880423.239	484291.1482	773041.6783	1042328.166	520465.6053	1089010.409	1771600.023	736091.9139	736091.9139	1527238.999	1771600.023	578458.1021	977996.2115	715296.0689	1392216.64	1013253.079	1089010.409	880423.239	484291.1482	343459.0345	773041.6783	880423.239	715296.0689	578458.1021	520465.6053	520465.6053	399448.7542	773041.6783	1238563.389	1238563.389	1238563.389	1238563.389	1013253.079	1129376.353	621994.1168	736091.9139	977996.2115	773041.6783	807201.0077	444839.6687	736091.9139	694218.5985	880423.239	444839.6687	673759.7284	807201.0077
DG	42	2	 [M+NH4]+	9.39	DG	12.40624709	35722.42618	17130.56278	35305.14154	18758.21968	30135.59375	48750.50814	13690.83598	35305.14154	28816.39338	14558.08559	18181.43836	34390.73834	31387.51938	21730.22341	31735.47788	17463.65618	34390.73834	33114.19408	21578.76444	33709.44587	12656.18091	11196.72951	18914.86071	15537.39923	19718.04588	19227.61365	20831.16733	13793.05002	19885.58665	24384.40584	28541.66799	26696.97761	25252.55163	25532.13449	20831.16733	22327.21182	19885.58665	17646.00525	22709.49399	20275.01639	15019.40266	11729.33191	19059.34626	11196.72951	21239.9287	12446.06247	16337.11783	19059.34626
DG	38	0	 [M+NH4]+	9.28	DG	13.64058836	45422.88187	70745.84126	45422.88187	109969.6471	41906.14201	118653.7689	120405.1651	48177.30966	33353.91111	69968.40419	44979.14152	38334.3873	33709.44587	45422.88187	42525.83699	63518.89008	34025.85466	49992.58667	48177.30966	32089.70639	101230.3089	73072.94312	65541.65096	34984.47131	111645.8634	169170.5188	94315.78286	89892.23749	91685.51901	54974.6959	54974.6959	49992.58667	109969.6471	82082.74546	64495.07466	94315.78286	107976.7383	113034.0706	77564.55512	115371.6908	79906.4642	236812.3042	166501.1962	160819.3174	98002.17611	111645.8634	186913.6971	82082.74546
DG	35	0	 [M+NH4]+	8.75	DG	14.0078184	18414.14302	30416.9084	12078.49421	34984.47131	18181.43836	30135.59375	42984.45277	15019.40266	11622.4413	19885.58665	14869.87986	11471.68216	16945.26735	17130.56278	11966.49557	22327.21182	11855.75068	12806.8901	23908.99422	7461.35657	51699.90556	31387.51938	23062.94212	16055.98323	37258.37254	61696.74295	22880.89744	24942.44013	38334.3873	23062.94212	19718.04588	16055.98323	43602.71871	24942.44013	25252.55163	39142.90233	33709.44587	39142.90233	34680.75675	34680.75675	26961.89479	86274.81925	61696.74295	58899.00316	36062.8865	38012.66924	69107.74852	37667.00398
DG	36	2	 [M+NH4]+	8.12	DG	14.1419606	285905.1615	273770.6121	292577.8048	426803.3436	382724.2116	314826.9665	382724.2116	368098.6606	418784.4128	484291.1482	409670.8792	343459.0345	473714.663	375459.9512	399448.7542	880423.239	334428.9576	273770.6121	314826.9665	242014.7298	375459.9512	484291.1482	736091.9139	361550.5895	253340.3771	186913.6971	150334.73	368098.6606	505407.2398	520465.6053	505407.2398	553364.3953	368098.6606	368098.6606	314826.9665	253340.3771	273770.6121	253340.3771	621994.1168	314826.9665	375459.9512	253340.3771	211876.145	426803.3436	520465.6053	382724.2116	553364.3953	736091.9139
DG	32	0	 [M+NH4]+	7.99	DG	14.47554139	13326.90369	29540.51647	14732.83801	45851.00436	12446.06247	36062.8865	52416.19861	13690.83598	18600.08183	33709.44587	22327.21182	18600.08183	15406.17715	19227.61365	13793.05002	40876.3725	12522.3119	19408.08598	30416.9084	18001.09703	75955.92836	46543.75452	40359.47195	32828.0275	44028.93936	69968.40419	37258.37254	37667.00398	49992.58667	32089.70639	22082.21869	23062.94212	69107.74852	35722.42618	36925.99255	38012.66924	31735.47788	42525.83699	46543.75452	51129.81649	35305.14154	94315.78286	57314.43958	86274.81925	51699.90556	45422.88187	99507.87234	38686.89145
DG	36	4	 [M+NH4]+	7.5	DG	14.54328112	57314.43958	34680.75675	51699.90556	71783.0883	48177.30966	53203.45962	32828.0275	56645.59666	98002.17611	42984.45277	40876.3725	78917.75005	94315.78286	34984.47131	70745.84126	82082.74546	68180.49027	62545.24944	58122.70206	66431.73261	41906.14201	89892.23749	130490.0362	36062.8865	47675.58453	33353.91111	38686.89145	68180.49027	50374.41382	85222.35717	48177.30966	48750.50814	96567.18597	83895.46567	88000.9002	86274.81925	55730.22699	86274.81925	74111.75373	65541.65096	62545.24944	45851.00436	67436.52072	88000.9002	67436.52072	43602.71871	74998.71264	75955.92836
DG	40	6	 [M+NH4]+	8.07	DG	16.76476039	9986.22697	8442.776165	8046.838572	11024.14349	7813.504373	11855.75068	10824.47854	10086.74601	21239.9287	12078.49421	8627.711884	13073.99457	17646.00525	6860.866275	6629.200142	12305.90809	16945.26735	15922.77687	20275.01639	14204.14243	10627.44419	9337.008436	19542.91673	13519.95059	16055.98323	11309.78534	9337.008436	16200.60125	11196.72951	12915.88073	17862.50742	12305.90809	22880.89744	19408.08598	15721.38306	20275.01639	11622.4413	15721.38306	19885.58665	16602.55902	13793.05002	9054.47894	17130.56278	18001.09703	18181.43836	17646.00525	18758.21968	13793.05002
DG	34	0	 [M+NH4]+	8.5	DG	16.93627163	353931.1357	652889.5402	343459.0345	1129376.353	409670.8792	1129376.353	1348516.389	279768.6265	444839.6687	1013253.079	520465.6053	391527.6722	391527.6722	343459.0345	242014.7298	736091.9139	285905.1615	435164.3255	773041.6783	343459.0345	1392216.64	880423.239	694218.5985	851263.203	1392216.64	1771600.023	807201.0077	1042328.166	1348516.389	736091.9139	736091.9139	694218.5985	1527238.999	807201.0077	534418.5089	977996.2115	673759.7284	1042328.166	880423.239	935802.9037	773041.6783	1527238.999	1450031.999	1527238.999	1170241.598	977996.2115	1957907.916	1170241.598
DG	36	0	 [M+NH4]+	8.93	DG	18.11377767	4005902.501	3610773.105	3757901.423	8279131.616	3757901.423	6781914.969	5995165.944	3610773.105	2896139.481	5995165.944	4754888.155	2509585.327	3270246.353	3610773.105	3481367.83	6781914.969	2366880.507	4255723.599	3481367.83	2896139.481	8279131.616	8279131.616	5995165.944	2509585.327	8279131.616	8279131.616	6781914.969	8279131.616	5483044.94	5483044.94	5083865.409	5995165.944	8279131.616	6781914.969	5483044.94	6781914.969	6781914.969	4510552.265	5483044.94	8279131.616	8279131.616	8279131.616	8279131.616	8279131.616	5483044.94	8279131.616	8279131.616	5995165.944
DG	38	2	 [M+NH4]+	8.61	DG	19.10420271	28816.39338	14204.14243	22880.89744	23474.77635	23908.99422	23908.99422	22082.21869	22468.11183	32488.07954	26696.97761	26696.97761	21392.72294	29540.51647	16200.60125	19885.58665	31012.7822	18001.09703	13174.93997	20831.16733	17862.50742	11024.14349	10447.42966	22082.21869	17463.65618	13519.95059	11966.49557	9986.22697	16945.26735	20470.26498	17862.50742	27804.34076	17862.50742	30703.47362	21392.72294	21239.9287	15922.77687	13174.93997	20831.16733	22327.21182	16055.98323	16055.98323	7746.09192	15196.55845	23243.56693	15922.77687	11622.4413	27804.34076	23474.77635
DG	40	0	 [M+NH4]+	9.64	DG	19.22282838	22468.11183	37667.00398	34680.75675	50374.41382	26696.97761	96567.18597	65541.65096	29114.57555	21053.77263	36595.13001	26961.89479	25883.40532	22880.89744	26961.89479	24942.44013	42525.83699	21239.9287	24942.44013	28239.96359	25883.40532	63518.89008	45422.88187	34984.47131	22082.21869	69107.74852	107976.7383	60797.1668	44461.71636	66431.73261	32828.0275	36925.99255	32089.70639	63518.89008	46543.75452	30416.9084	51699.90556	62545.24944	63518.89008	50374.41382	82082.74546	38012.66924	130490.0362	94315.78286	83895.46567	60024.92445	54202.25526	94315.78286	46543.75452
DG	38	6	 [M+NH4]+	7.49	DG	19.32416611	7746.09192	6327.856484	7283.003449	8709.591127	7283.003449	10172.95485	5244.072797	10447.42966	16466.50135	8295.391711	8894.3843	9793.243288	13073.99457	7283.003449	12078.49421	9884.422386	13793.05002	12305.90809	11309.78534	10696.32158	8807.138823	13943.38698	13174.93997	8121.861752	8627.711884	7461.35657	7132.635791	13326.90369	9986.22697	9439.727599	9533.543017	13519.95059	14732.83801	10341.29307	11855.75068	10517.24599	7001.843942	5487.494193	15196.55845	10627.44419	12915.88073	7076.341456	10172.95485	15922.77687	11471.68216	8442.776165	8709.591127	10341.29307
DG	40	4	 [M+NH4]+	8.49	DG	20.8415632	30703.47362	15406.17715	29830.08109	20275.01639	24580.71733	36925.99255	21392.72294	26696.97761	71783.0883	34025.85466	34390.73834	44461.71636	53203.45962	16769.01906	24123.14184	25252.55163	35722.42618	33709.44587	52416.19861	35722.42618	21730.22341	12806.8901	22468.11183	44461.71636	36595.13001	32488.07954	25532.13449	17862.50742	20275.01639	35305.14154	45422.88187	37258.37254	68180.49027	38334.3873	33709.44587	35305.14154	14732.83801	25883.40532	35305.14154	28239.96359	22082.21869	18600.08183	30135.59375	34984.47131	28239.96359	21730.22341	36595.13001	34025.85466
DG	37	0	 [M+NH4]+	9.14	DG	22.05176526	2872.255076	9681.99512	5723.206757	11729.33191	4565.825721	9337.008436	15019.40266	2965.684274	5147.345466	3501.577631	3434.39012	2777.236643	2081.005034	3353.687486	2383.173868	8627.711884	2601.313645	3461.308373	5876.33717	2631.220818	14063.56143	5194.374936	4798.527859	6860.866275	12522.3119	20078.83511	8807.138823	14558.08559	9259.423345	4092.482947	6290.853212	3434.39012	12522.3119	8121.861752	6574.562853	13943.38698	12522.3119	15196.55845	9681.99512	9793.243288	7948.616223	34390.73834	32488.07954	23908.99422	9259.423345	17331.87007	19227.61365	9439.727599
DG	39	4	 [M+NH4]+	8.4	DG	22.2159632	2264.273456	1779.687037	2460.117207	2694.215394	2353.453936	3501.577631	685.6612332	2574.884081	5339.378486	2284.431709	1509.169743	4211.337463	5593.616175	2109.421401	3328.644581	1218.783404	4245.932772	2694.215394	2905.640596	2109.421401	1730.820619	787.3384626	1078.864738	2529.955592	2406.789102	2777.236643	1078.864738	685.6612332	1527.841542	2406.789102	1653.849199	1653.849199	4602.288706	4641.788098	1872.004713	4522.233182	2012.546104	1527.841542	2872.255076	2305.655716	1872.004713	2109.421401	2965.684274	1479.481756	2965.684274	2489.813076	5593.616175	2872.255076
