SampleID	Label	Species
Ctrl_BKS_2202	Ctrl_BKS	mouse BKS
Ctrl_BKS_2203	Ctrl_BKS	mouse BKS
Ctrl_BKS_2206	Ctrl_BKS	mouse BKS
Ctrl_BKS_2211	Ctrl_BKS	mouse BKS
HF_BKS_2214	HF_BKS	mouse BKS
HF_BKS_2216	HF_BKS	mouse BKS
HF_BKS_2217	HF_BKS	mouse BKS
HF_BKS_2218	HF_BKS	mouse BKS
Ctrl_BKS_db+_2225	Ctrl_BKS_db	mouse BKS db+
Ctrl_BKS_db+_2226	Ctrl_BKS_db	mouse BKS db+
Ctrl_BKS_db+_2227	Ctrl_BKS_db	mouse BKS db+
Ctrl_BKS_db+_2231	Ctrl_BKS_db	mouse BKS db+
HF_BKS_db+_2239	HF_BKS_db	mouse BKS db+
HF_BKS_db+_2241	HF_BKS_db	mouse BKS db+
HF_BKS_db+_2242	HF_BKS_db	mouse BKS db+
HF_BKS_db+_2243	HF_BKS_db	mouse BKS db+
Ctrl_BL6_2249	Ctrl_BL6	mouse BL6
Ctrl_BL6_2250	Ctrl_BL6	mouse BL6
Ctrl_BL6_2251	Ctrl_BL6	mouse BL6
Ctrl_BL6_2252	Ctrl_BL6	mouse BL6
HF_BL6_2260	HF_BL6	mouse BL6
HF_BL6_2261	HF_BL6	mouse BL6
HF_BL6_2262	HF_BL6	mouse BL6
HF_BL6_2266	HF_BL6	mouse BL6
Ctrl_BL6_db+_2273	Ctrl_BL6_db	mouse BL6 db+
Ctrl_BL6_db+_2274	Ctrl_BL6_db	mouse BL6 db+
Ctrl_BL6_db+_2275	Ctrl_BL6_db	mouse BL6 db+
Ctrl_BL6_db+_2279	Ctrl_BL6_db	mouse BL6 db+
HF_BL6_db+_2286	HF_BL6_db	mouse BL6 db+
HF_BL6_db+_2287	HF_BL6_db	mouse BL6 db+
HF_BL6_db+_2288	HF_BL6_db	mouse BL6 db+
HF_BL6_db+_2289	HF_BL6_db	mouse BL6 db+
Ctrl_BTBR_2292	Ctrl_BTBR	mouse BTBR
Ctrl_BTBR_2293	Ctrl_BTBR	mouse BTBR
Ctrl_BTBR_2297	Ctrl_BTBR	mouse BTBR
Ctrl_BTBR_2298	Ctrl_BTBR	mouse BTBR
HF_BTBR_2306	HF_BTBR	mouse BTBR
HF_BTBR_2307	HF_BTBR	mouse BTBR
HF_BTBR_2308	HF_BTBR	mouse BTBR
HF_BTBR_2309	HF_BTBR	mouse BTBR
Ctrl_BTBR_ob+_2316	Ctrl_BTBR_ob	mouse BTBR ob+
Ctrl_BTBR_ob+_2317	Ctrl_BTBR_ob	mouse BTBR ob+
Ctrl_BTBR_ob+_2318	Ctrl_BTBR_ob	mouse BTBR ob+
Ctrl_BTBR_ob+_2320	Ctrl_BTBR_ob	mouse BTBR ob+
HF_BTBR_ob+_2329	HF_BTBR_ob	mouse BTBR ob+
HF_BTBR_ob+_2331	HF_BTBR_ob	mouse BTBR ob+
HF_BTBR_ob+_2333	HF_BTBR_ob	mouse BTBR ob+
HF_BTBR_ob+_2334	HF_BTBR_ob	mouse BTBR ob+
